Year,Utility-scale solar,Onshore wind,Offshore wind,Hydro
2026,369.92743431421854,182.49856599999998,19.94248399999985,70.83333333333326
2027,421.4172436284371,215.57947414499995,18.746041229999946,70.83333333333326
2028,472.9070529426557,249.53324132283728,21.69854272372504,70.83333333333326
2029,524.3968622568742,288.8347268311843,25.116063202711757,70.83333333333326
2030,575.8866715710928,389.8139917009785,33.896868843563425,70.83333333333371
