scenario,year,status,model_technology,date_known,mean_mw,p10_mw,p50_mw,p90_mw
central,2028,pre-construction,utility-scale solar,unknown,420917.496,401225.02,421175.35,440412.43
central,2029,announced,hydropower,known,462.817,62.0,363.5,977.2
central,2029,announced,hydropower,unknown,97.021,0.0,0.0,36.900000000000205
central,2029,announced,offshore wind,known,2114.092,250.0,1885.5,4410.0
central,2029,announced,offshore wind,unknown,194.219,0.0,0.0,500.60000000000014
central,2029,announced,onshore wind,known,10776.642699999999,7181.65,10375.45,14763.970000000001
central,2029,announced,onshore wind,unknown,12181.3712,6802.139999999999,11270.25,17963.800000000003
central,2029,announced,utility-scale solar,known,30064.5593,20094.13,29351.25,41471.2
central,2029,announced,utility-scale solar,unknown,82019.4247,65850.53,80517.5,98992.79000000001
central,2029,construction,hydropower,known,8382.164,4151.9,8259.0,12576.4
central,2029,construction,hydropower,unknown,5696.939,3364.9,5609.0,7944.200000000001
central,2029,construction,offshore wind,known,0.0,0.0,0.0,0.0
central,2029,construction,offshore wind,unknown,55.3455,0.0,0.0,0.0
central,2029,construction,onshore wind,known,2885.3141,1589.88,2593.8,3525.6
central,2029,construction,onshore wind,unknown,0.0,0.0,0.0,0.0
central,2029,construction,utility-scale solar,known,3134.275,2448.0,3010.5,3917.8
central,2029,construction,utility-scale solar,unknown,0.0,0.0,0.0,0.0
central,2029,pre-construction,hydropower,known,3938.89,2012.4,3493.5,6648.5
central,2029,pre-construction,hydropower,unknown,1476.809,74.80000000000001,994.5,3436.9
central,2029,pre-construction,offshore wind,known,14428.493,9755.8,14307.75,19152.25
central,2029,pre-construction,offshore wind,unknown,16390.2799,10733.31,15686.8,23420.15
central,2029,pre-construction,onshore wind,known,33222.3514,24047.13,33148.15,42320.57
central,2029,pre-construction,onshore wind,unknown,151876.74490000002,140297.07,151724.4,164217.9
central,2029,pre-construction,utility-scale solar,known,32219.5887,25856.99,31264.0,40251.51
central,2029,pre-construction,utility-scale solar,unknown,179289.96469999998,164983.41999999998,178561.2,195017.25
central,2030,announced,hydropower,known,743.193,240.0,660.0,1367.3000000000002
central,2030,announced,hydropower,unknown,833.73,0.0,134.5,2577.5000000000005
central,2030,announced,offshore wind,known,2876.219,562.0,2529.0,5406.8
central,2030,announced,offshore wind,unknown,2225.38,0.0,1600.0,5492.500000000001
central,2030,announced,onshore wind,known,10325.6401,6645.530000000001,9972.5,14136.760000000002
central,2030,announced,onshore wind,unknown,32965.4289,23084.15,30760.25,45673.48
central,2030,announced,utility-scale solar,known,19251.1886,10528.550000000001,18054.800000000003,29853.960000000003
central,2030,announced,utility-scale solar,unknown,133044.7359,111460.31,130552.3,158962.51
central,2030,construction,hydropower,known,7357.849,3854.0,6907.0,11366.7
central,2030,construction,hydropower,unknown,2617.03,1203.3,2366.5,4478.200000000001
central,2030,construction,offshore wind,known,128.6,0.0,200.0,200.0
central,2030,construction,offshore wind,unknown,0.0,0.0,0.0,0.0
central,2030,construction,onshore wind,known,1796.5918000000001,650.0,1903.2,2997.0
central,2030,construction,onshore wind,unknown,0.0,0.0,0.0,0.0
central,2030,construction,utility-scale solar,known,5922.569,5154.0,5970.0,6556.6
central,2030,construction,utility-scale solar,unknown,0.0,0.0,0.0,0.0
central,2030,pre-construction,hydropower,known,5718.612,3125.2000000000003,5366.0,8775.300000000001
central,2030,pre-construction,hydropower,unknown,5154.896,1941.5,4599.5,8894.7
central,2030,pre-construction,offshore wind,known,20852.1955,15020.9,20678.25,26971.9
central,2030,pre-construction,offshore wind,unknown,41949.6097,32283.88,41354.05,52594.05
central,2030,pre-construction,onshore wind,known,27520.7095,17482.41,27506.9,38201.12
central,2030,pre-construction,onshore wind,unknown,131086.9547,118492.75,131076.95,143845.00999999998
central,2030,pre-construction,utility-scale solar,known,13615.471700000002,6541.42,14375.100000000002,19799.18
central,2030,pre-construction,utility-scale solar,unknown,13768.0826,10248.17,13025.7,18014.960000000003
