province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,1140.0,682.0,,,18559.0,13058.0,,,False
北京,Beijing,4.0,0.0,,,43.0,5.0,,,False
天津,Tianjin,10.0,5.0,,,138.0,102.0,,,False
河北,Hebei,85.0,44.0,,,1319.0,899.0,,,False
山西,Shanxi,112.0,104.0,,,976.0,785.0,,,False
山东,Shandong,76.0,4.0,,,1437.0,652.0,,,False
内蒙古*,,50.0,44.0,,,978.0,956.0,,,True
辽宁,Liaoning,8.0,3.0,,,310.0,222.0,,,False
吉林,Jilin,6.0,2.0,,,271.0,205.0,,,False
黑龙江,Heilongjiang,6.0,4.0,,,221.0,145.0,,,False
上海,Shanghai,12.0,0.0,,,100.0,6.0,,,False
江苏,Jiangsu,73.0,21.0,,,1405.0,813.0,,,False
浙江,Zhejiang,98.0,31.0,,,1236.0,393.0,,,False
安徽,Anhui,36.0,21.0,,,1154.0,698.0,,,False
福建,Fujian,9.0,3.0,,,157.0,40.0,,,False
江西,Jiangxi,30.0,16.0,,,567.0,311.0,,,False
河南,Henan,21.0,0.0,,,1012.0,600.0,,,False
湖北,Hubei,41.0,19.0,,,551.0,355.0,,,False
湖南,Hunan,19.0,12.0,,,311.0,138.0,,,False
重庆,Chongqing,20.0,20.0,,,63.0,58.0,,,False
四川,Sichuan,5.0,1.0,,,185.0,168.0,,,False
陕西,Shaanxi,89.0,66.0,,,805.0,679.0,,,False
甘肃,Gansu,37.0,34.0,,,866.0,813.0,,,False
青海,Qinghai,123.0,122.0,,,1079.0,1068.0,,,False
宁夏,Ningxia,16.0,4.0,,,832.0,766.0,,,False
新疆(含兵团),,74.0,70.0,,,1066.0,1061.0,,,True
西藏,Tibet,4.0,4.0,,,102.0,102.0,,,False
广东,Guangdong,33.0,0.0,,,560.0,282.0,,,False
广西,Guangxi,10.0,10.0,,,134.0,104.0,,,False
海南,Hainan,4.0,4.0,,,140.0,127.0,,,False
贵州*,,8.0,0.0,,,178.0,160.0,,,True
云南,Yunnan,21.0,15.0,,,364.0,346.0,,,False
