province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,520.0,240.0,280.0,14040.0,17966.0,12625.0,5341.0,3012.0,False
北京,Beijing,2.5,0.0,2.5,42.0,42.0,5.0,37.0,0.0,False
天津,Tianjin,4.0,0.0,4.0,132.0,132.0,97.0,35.0,0.0,False
河北,Hebei,37.0,13.0,24.0,1271.0,1271.0,869.0,402.0,0.0,False
山西,Shanxi,26.0,21.0,5.0,890.0,890.0,702.0,188.0,0.0,False
内蒙古,Inner Mongolia,43.0,42.0,1.0,988.0,988.0,955.0,33.0,0.0,False
辽宁,Liaoning,3.0,1.0,2.0,305.0,305.0,220.0,85.0,0.0,False
吉林,Jilin,3.0,0.0,3.0,268.0,268.0,203.0,65.0,0.0,False
黑龙江,Heilongjiang,1.5,0.0,1.5,216.0,216.0,141.0,75.0,0.0,False
上海,Shanghai,9.0,0.4,8.6,97.0,97.0,6.0,91.0,0.0,False
江苏,Jiangsu,36.0,3.0,33.0,1369.0,1369.0,795.0,574.0,0.0,False
浙江,Zhejiang,73.0,28.0,45.0,1211.0,1211.0,390.0,821.0,0.0,False
安徽,Anhui,20.0,12.0,8.0,1138.0,1138.0,689.0,449.0,0.0,False
福建,Fujian,9.0,3.0,6.0,157.0,157.0,40.0,117.0,0.0,False
江西,Jiangxi,19.0,6.0,13.0,555.0,555.0,300.0,255.0,0.0,False
山东,Shandong,35.0,6.0,29.0,1396.0,1396.0,654.0,742.0,0.0,False
河南,Henan,13.0,0.0,13.0,1004.0,1004.0,600.0,404.0,0.0,False
湖北,Hubei,38.0,17.0,21.0,548.0,548.0,352.0,196.0,0.0,False
湖南,Hunan,9.0,5.0,4.0,301.0,301.0,131.0,170.0,0.0,False
广东,Guangdong,24.0,0.3,23.7,552.0,552.0,282.0,270.0,0.0,False
广西,Guangxi,6.0,6.0,0.0,130.0,130.0,100.0,30.0,0.0,False
海南,Hainan,0.1,0.1,0.0,136.0,136.0,123.0,13.0,0.0,False
重庆,Chongqing,0.3,0.0,0.3,43.0,43.0,39.0,4.0,0.0,False
四川,Sichuan,0.7,0.0,0.7,181.0,181.0,167.0,14.0,0.0,False
贵州,Guizhou,8.0,0.0,8.0,186.0,186.0,168.0,18.0,0.0,False
云南,Yunnan,17.0,13.0,4.0,360.0,360.0,344.0,16.0,0.0,False
西藏,Tibet,4.0,4.0,0.0,102.0,102.0,102.0,0.0,0.0,False
陕西,Shaanxi,23.0,10.0,13.0,739.0,739.0,624.0,115.0,0.0,False
甘肃,Gansu,19.0,19.0,0.0,847.0,847.0,798.0,49.0,0.0,False
青海,Qinghai,16.0,15.0,1.0,972.0,972.0,962.0,10.0,0.0,False
宁夏,Ningxia,9.0,5.0,4.0,825.0,825.0,766.0,59.0,0.0,False
新疆自治区,,12.0,10.0,2.0,966.0,966.0,962.0,4.0,0.0,True
新疆兵团,Xinjiang Production and Construction Corps,0.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,False
