province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,21161.0,9880.0,11281.0,2563.0,109851.0,60595.0,49256.0,17966.0,False
北京,Beijing,51.0,1.6,49.4,15.4,181.3,8.1,173.2,55.2,False
天津,Tianjin,224.1,81.2,143.0,26.8,948.3,432.5,515.8,72.0,False
河北,Hebei,948.7,487.3,461.5,122.3,8072.9,4703.1,3369.8,1958.9,False
山西,Shanxi,1220.6,728.1,492.5,120.5,4749.4,3332.6,1416.8,687.9,False
内蒙古,Inner Mongolia,185.3,64.0,121.3,38.9,4996.1,4566.1,430.1,169.7,False
辽宁,Liaoning,281.4,67.0,214.4,48.9,1495.3,609.1,886.2,419.3,False
吉林,Jilin,105.6,46.9,58.7,44.2,687.5,427.7,259.7,151.6,False
黑龙江,Heilongjiang,142.2,30.2,112.1,51.0,858.5,500.5,358.0,140.6,False
上海,Shanghai,134.1,15.1,119.0,2.7,545.5,54.9,490.6,25.6,False
江苏,Jiangsu,2207.4,831.3,1376.1,316.4,8372.1,2426.3,5945.7,1998.5,False
浙江,Zhejiang,1219.7,169.8,1049.9,132.9,5947.2,1003.7,4943.5,585.0,False
安徽,Anhui,1063.8,144.9,918.9,238.2,5375.1,1556.4,3818.7,1745.1,False
福建,Fujian,331.4,30.6,300.9,59.8,1589.8,107.1,1482.7,569.4,False
江西,Jiangxi,204.1,17.6,186.5,72.3,2769.4,1393.5,1375.9,750.8,False
山东,Shandong,1504.9,596.4,908.5,114.9,9118.4,3189.3,5929.1,2878.2,False
河南,Henan,718.1,47.5,670.6,199.3,5067.2,677.5,4389.7,2507.1,False
湖北,Hubei,772.9,56.4,716.4,26.1,4282.8,2204.3,2078.6,345.4,False
湖南,Hunan,667.1,138.7,528.4,234.7,2540.5,624.8,1915.7,1135.7,False
广东,Guangdong,1559.0,407.9,1151.1,265.2,5742.2,1563.2,4179.0,622.6,False
广西,Guangxi,663.2,359.9,303.4,8.8,2792.0,1275.3,1516.7,50.4,False
海南,Hainan,215.5,133.2,82.4,2.3,956.4,607.5,348.9,26.8,False
重庆,Chongqing,192.1,34.1,157.9,40.0,501.8,140.4,361.4,46.1,False
四川,Sichuan,488.0,157.9,330.1,59.7,1570.3,1047.2,523.1,83.6,False
贵州,Guizhou,663.9,545.1,118.8,83.5,2649.5,2421.2,228.2,137.8,False
云南,Yunnan,1361.4,1186.3,175.1,68.1,5084.4,4619.4,465.0,125.5,False
西藏,Tibet,102.1,84.1,18.1,0.0,511.9,506.5,5.4,0.0,False
陕西,Shaanxi,563.3,204.5,358.7,135.6,3996.4,2728.6,1267.8,568.6,False
甘肃,Gansu,396.3,330.8,65.5,17.1,3535.1,3285.7,249.5,62.5,False
青海,Qinghai,222.3,217.5,4.9,1.0,3864.4,3821.7,42.7,6.3,False
宁夏,Ningxia,792.2,714.0,78.2,14.9,3416.2,3163.3,252.9,31.8,False
新疆,Xinjiang,1959.5,1950.7,8.7,1.4,7633.5,7598.0,35.6,7.6,False
