province_cn,province_en,new_capacity_total_10kw,new_capacity_utility_10kw,new_capacity_distributed_10kw,new_capacity_residential_10kw,cum_capacity_total_10kw,cum_capacity_utility_10kw,cum_capacity_distributed_10kw,cum_capacity_residential_10kw,province_translation_missing
总计,Total,31657.4,16357.0,15300.3,4594.7,119991.4,66691.4,53300.0,20583.2,False
北京,Beijing,79.8,1.6,78.2,33.2,210.2,8.1,202.1,73.0,False
天津,Tianjin,303.7,122.8,180.9,30.1,1027.9,474.0,553.8,75.3,False
河北,Hebei,1338.8,657.9,680.9,284.4,8462.9,4873.2,3589.7,2336.0,False
山西,Shanxi,1473.3,935.1,538.2,196.5,4950.5,3436.4,1514.1,776.7,False
内蒙古,Inner Mongolia,1244.6,1054.4,190.2,54.3,6055.5,5563.9,491.6,185.0,False
辽宁,Liaoning,340.7,67.0,273.7,141.2,1554.6,609.1,945.6,683.4,False
吉林,Jilin,141.5,56.3,85.2,61.0,724.5,438.3,286.2,168.4,False
黑龙江,Heilongjiang,200.1,67.5,132.6,65.1,917.1,537.8,379.3,154.7,False
上海,Shanghai,213.7,22.2,191.5,27.4,625.1,62.0,563.2,50.2,False
江苏,Jiangsu,2803.9,972.3,1831.6,513.9,8968.4,2567.1,6401.3,2228.0,False
浙江,Zhejiang,1701.9,311.4,1390.5,160.7,6429.4,1145.3,5284.1,612.8,False
安徽,Anhui,1314.2,217.7,1096.5,313.9,5625.5,1659.6,3965.8,1812.9,False
福建,Fujian,476.7,61.3,415.4,107.1,1734.4,137.2,1597.2,616.6,False
江西,Jiangxi,303.4,21.9,281.5,109.9,2872.3,1400.2,1472.1,784.3,False
山东,Shandong,1871.4,823.1,1048.3,179.8,9484.9,3416.0,6068.9,2940.3,False
河南,Henan,1216.7,47.5,1169.2,591.5,5565.8,677.5,4888.3,2897.7,False
湖北,Hubei,974.6,80.4,894.2,177.3,4484.5,2228.2,2256.3,496.7,False
湖南,Hunan,901.0,258.0,643.0,299.6,2743.9,713.5,2030.4,1200.6,False
广东,Guangdong,2132.5,508.8,1623.7,471.5,6248.0,1608.9,4639.1,850.1,False
广西,Guangxi,1145.0,472.5,672.5,27.5,3273.8,1391.2,1882.6,69.1,False
海南,Hainan,219.3,127.0,92.2,9.5,960.1,598.3,361.7,34.0,False
重庆,Chongqing,275.3,51.4,223.9,45.4,585.0,154.9,430.1,51.7,False
四川,Sichuan,897.8,432.6,465.1,151.2,1980.1,1321.9,658.2,175.1,False
贵州,Guizhou,886.3,697.7,188.5,130.7,2871.9,2573.9,298.0,183.0,False
云南,Yunnan,1762.9,1531.4,231.5,155.1,5486.1,4964.6,521.4,363.8,False
西藏,Tibet,376.5,375.9,0.6,0.0,574.5,568.5,6.0,0.0,False
陕西,Shaanxi,759.9,293.2,466.7,207.2,4193.0,2817.3,1375.8,640.2,False
甘肃,Gansu,714.2,613.8,100.3,24.4,3853.0,3568.7,284.3,69.9,False
青海,Qinghai,615.5,604.9,10.6,1.9,4257.6,4209.2,48.4,7.3,False
宁夏,Ningxia,1556.9,1467.2,89.7,21.6,4180.9,3916.4,264.5,38.6,False
新疆,Xinjiang,3415.4,3402.1,13.3,1.7,9090.1,9050.1,40.1,8.0,False
