name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,1.2000000000000002,0.9299999999999999,265.20000000000005,199.65999999999997,,180.0,,,,2022-11-01
PRAGATI CCGT-III,,,1500.0,7.92,6.92,2552.92,1686.2100000000003,,750.0,,,,2022-11-01
PRAGATI CCPP,,,330.4,1.57,0.0,1057.57,764.4000000000001,,330.4,,,,2022-11-01
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2022-11-01
PANIPAT TPS,,,710.0,5.5,14.239999999999998,1572.5,3117.8599999999997,0.0,0.0,,,,2022-11-01
PANIPAT TPS,Unit 6, ,210.0,0.0,4.02,278.0,805.1,,0.0,,,,2022-11-01
PANIPAT TPS,Unit 7, ,250.0,2.47,5.26,602.47,1161.92,,0.0,,,,2022-11-01
PANIPAT TPS,Unit 8, ,250.0,3.03,4.96,692.03,1150.84,,0.0,,,,2022-11-01
RAJIV GANDHI TPS,,,1200.0,14.7,20.259999999999998,3563.7,3908.2,3.0,0.0,,,,2022-11-01
RAJIV GANDHI TPS,Unit 1, ,600.0,8.73,9.45,2114.73,2392.58,,0.0,,,,2022-11-01
RAJIV GANDHI TPS,Unit 2, ,600.0,5.97,10.81,1448.97,1515.62,,0.0,,,,2022-11-01
YAMUNA NAGAR TPS,,,600.0,9.94,12.29,2415.94,2678.37,4.0,0.0,,,,2022-11-01
YAMUNA NAGAR TPS,Unit 1, ,300.0,4.97,6.1,1207.97,1337.04,,0.0,,,,2022-11-01
YAMUNA NAGAR TPS,Unit 2, ,300.0,4.97,6.19,1207.97,1341.33,,0.0,,,,2022-11-01
MAHATMA GANDHI TPS,,,1320.0,21.060000000000002,22.25,4644.0599999999995,4816.48,21.0,0.0,,,,2022-11-01
MAHATMA GANDHI TPS,Unit 1, ,660.0,10.83,11.14,2476.83,2481.34,,0.0,,,,2022-11-01
MAHATMA GANDHI TPS,Unit 2, ,660.0,10.23,11.11,2167.23,2335.14,,0.0,,,,2022-11-01
INDIRA GANDHI STPP,,,1500.0,13.36,7.97,3022.36,5356.57,21.0,1000.0,,,,2022-11-01
INDIRA GANDHI STPP,Unit 1, ,500.0,4.6,0.0,829.6,1747.9,,500.0,44856.96527777778,,RESERVE SHUT DOWN,2022-11-01
INDIRA GANDHI STPP,Unit 2, ,500.0,4.53,0.0,1168.53,1744.92,,500.0,44845.57916666667,,RESERVE SHUT DOWN,2022-11-01
INDIRA GANDHI STPP,Unit 3, ,500.0,4.23,7.97,1024.23,1863.75,,0.0,,,,2022-11-01
FARIDABAD CCPP,,,431.59,0.97,0.0,199.97,2.5900000000000003,,431.59,,,,2022-11-01
BASSI  HPS,,,66.0,0.43,0.54,252.43,252.38,,16.5,,,,2022-11-01
GIRI BATA HPS,,,60.0,0.33,0.88,133.33,169.03,,0.0,,,,2022-11-01
KASHANG INTEGRATED HEP,,,195.0,0.13,0.0,88.13,140.42000000000002,,130.0,,,,2022-11-01
LARJI  HPS,,,126.0,0.77,1.25,524.77,495.46000000000004,,42.0,,,,2022-11-01
SAINJ HPS,,,100.0,0.47,0.75,302.47,358.15999999999997,,0.0,,,,2022-11-01
SANJAY HPS,,,120.0,0.9,1.28,414.9,524.0699999999999,,40.0,,,,2022-11-01
SAWRA KUDDU HPS,,,111.0,0.57,0.77,250.57,265.16999999999996,,0.0,,,,2022-11-01
SHANAN HPS,,,110.0,0.53,0.8300000000000001,413.53,413.74999999999994,,15.0,,,,2022-11-01
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2022-11-01
ALLAIN DUHANGAN  HPS,,,192.0,0.67,0.93,588.67,553.47,,0.0,,,,2022-11-01
BAJOLI HOLI HPS,,,180.0,0.37,0.63,363.37,367.26,,180.0,,,,2022-11-01
BASPA  HPS,,,300.0,2.07,1.9300000000000002,1055.07,1180.4,,0.0,,,,2022-11-01
BUDHIL HPS,,,70.0,0.27,0.39,261.27,230.42000000000002,,0.0,,,,2022-11-01
CHANJU-I HPS ,,,36.0,0.2,0.23,127.2,115.87,,12.0,,,,2022-11-01
KARCHAM WANGTOO HPS,,,1045.0,4.4,6.34,3477.4,3687.71,,0.0,,,,2022-11-01
MALANA  HPS,,,86.0,0.37,0.48,296.37,279.1,,0.0,,,,2022-11-01
MALANA-II  HPS,,,100.0,0.27,0.45000000000000007,318.27,305.65999999999997,,0.0,,,,2022-11-01
SORANG HPS,,,100.0,0.63,0.63,335.63,269.28999999999996,,0.0,,,,2022-11-01
TIDONG HPS,,,0.0,0.33,0.0,0.33,0.0,,0.0,,,,2022-11-01
BAIRA SIUL  HPS,,,180.0,0.7,0.97,493.7,447.03999999999996,,0.0,,,,2022-11-01
BHAKRA LEFT HPS,,,612.0,5.07,5.7299999999999995,1316.07,1375.6299999999999,,234.0,,,,2022-11-01
BHAKRA RIGHT HPS,,,785.0,6.7,4.44,1740.7,1731.37,,0.0,,,,2022-11-01
CHAMERA-I HPS,,,540.0,2.47,1.9,1888.47,1611.09,,0.0,,,,2022-11-01
CHAMERA-II HPS,,,300.0,1.63,1.81,1139.63,1120.3600000000001,,100.0,,,,2022-11-01
CHAMERA-III HPS,,,231.0,1.67,1.46,820.67,854.78,,0.0,,,,2022-11-01
DEHAR HPS,,,990.0,4.27,4.69,2494.27,2480.17,,330.0,,,,2022-11-01
KOLDAM,,,800.0,2.8,5.21,2699.8,2677.09,,0.0,,,,2022-11-01
NATHPA JHAKRI HPS,,,1500.0,9.8,12.620000000000001,5814.8,5972.530000000001,,500.0,,,,2022-11-01
PARBATI-II HPS,,,0.0,0.27,0.0,297.27,0.0,,0.0,,,,2022-11-01
PARBATI-III HPS,,,520.0,0.5,0.95,569.5,583.5799999999999,,260.0,,,,2022-11-01
PONG HPS,,,396.0,3.33,5.85,716.33,828.2899999999998,,66.0,,,,2022-11-01
RAMPUR HPS,,,412.02000000000004,2.8,3.63,1624.8,1664.6299999999999,,0.0,,,,2022-11-01
PAMPORE GPS (Liq.),,,175.0,0.0,0.0,0.0,0.0,,175.0,,,,2022-11-01
BAGLIHAR  HPS,,,450.0,4.77,4.16,1935.77,2075.1099999999997,,150.0,,,,2022-11-01
BAGLIHAR II  HPS,,,450.0,0.0,4.62,1302.0,1578.53,,150.0,,,,2022-11-01
LOWER JHELUM  HPS,,,105.0,1.0,1.22,413.0,414.12,,35.0,,,,2022-11-01
UPPER SINDH-II HPS,,,105.0,0.43,0.26,359.43,213.14,,0.0,,,,2022-11-01
DULHASTI  HPS,,,390.0,4.9,4.41,1735.9,1758.77,,0.0,,,,2022-11-01
KISHANGANGA HPS,,,330.0,1.77,1.1600000000000001,1378.77,1239.66,,0.0,,,,2022-11-01
SALAL HPS,,,690.0,5.33,3.31,2780.33,2726.7799999999997,,0.0,,,,2022-11-01
SEWA-II HPS,,,120.0,0.5,0.5599999999999999,384.5,344.07,,0.0,,,,2022-11-01
URI-I HPS,,,480.0,5.7,2.6,1972.7,2002.6599999999999,,0.0,,,,2022-11-01
URI-II HPS,,,240.0,3.27,1.99,1048.27,1061.7,,120.0,,,,2022-11-01
CHUTAK HPS,,,44.0,0.27,0.24,142.27,144.62,,22.0,,,,2022-11-01
NIMMO BAZGO HPS,,,45.0,0.63,0.5399999999999999,164.63,179.12,,30.0,,,,2022-11-01
GH TPS (LEH.MOH.),,,920.0,5.73,4.72,1810.73,2101.15,21.0,670.0,,,,2022-11-01
GH TPS (LEH.MOH.),Unit 1,L,210.0,1.73,0.0,421.73,515.08,,210.0,44845.299305555556,,RSD/LOW SCHEDULE,2022-11-01
GH TPS (LEH.MOH.),Unit 2,L,210.0,0.0,0.0,421.0,143.97,,210.0,44694.9,,ASH HANDLING SYSTEM PROBLEM,2022-11-01
GH TPS (LEH.MOH.),Unit 3, ,250.0,2.0,4.72,484.0,611.75,,0.0,,,,2022-11-01
GH TPS (LEH.MOH.),Unit 4,L,250.0,2.0,0.0,484.0,830.35,,250.0,44847.9375,,RSD/LOW SCHEDULE,2022-11-01
ROPAR TPS,,,840.0,8.059999999999999,3.23,1935.06,2087.05,33.0,630.0,,,,2022-11-01
ROPAR TPS,Unit 3,L,210.0,2.0,0.0,484.0,529.64,,210.0,44847.9375,,RSD/LOW SCHEDULE,2022-11-01
ROPAR TPS,Unit 4,L,210.0,2.0,0.0,484.0,549.88,,210.0,44843.805555555555,,RSD/LOW SCHEDULE,2022-11-01
ROPAR TPS,Unit 5,L,210.0,2.03,0.0,476.03,334.36,,210.0,44841.006944444445,,RSD/LOW SCHEDULE,2022-11-01
ROPAR TPS,Unit 6,*,210.0,2.03,3.23,491.03,673.17,,0.0,44845.46527777778,01/11/2022 01:05:00,RSD/LOW SCHEDULE,2022-11-01
ANANDPUR SAHIB-I HPS ,,,67.0,0.4,0.0,240.4,166.94,,0.0,,,,2022-11-01
ANANDPUR SAHIB-II HPS ,,,67.0,0.4,0.0,240.4,176.85,,0.0,,,,2022-11-01
MUKERIAN-I HPS,,,45.0,0.8,0.97,120.8,566.0799999999999,,0.0,,,,2022-11-01
MUKERIAN-II HPS,,,45.0,0.8,1.0,120.8,17.29,,0.0,,,,2022-11-01
MUKERIAN-III HPS,,,58.5,1.07,1.28,159.07,22.35,,0.0,,,,2022-11-01
MUKERIAN-IV HPS,,,58.5,1.07,1.29,159.07,21.9,,0.0,,,,2022-11-01
RANJIT SAGAR HPS,,,600.0,3.33,5.470000000000001,1192.33,1064.28,,150.0,,,,2022-11-01
GOINDWAL SAHIB TPP,,,540.0,7.46,0.0,1807.46,1091.62,0.0,540.0,,,,2022-11-01
GOINDWAL SAHIB TPP,Unit 1,L,270.0,3.73,0.0,903.73,503.28,,270.0,44840.822916666664,,FURNACE FIRE OUT /FLAME FAILURE,2022-11-01
GOINDWAL SAHIB TPP,Unit 2,S,270.0,3.73,0.0,903.73,588.34,,270.0,44856.75,,COAL SHORTAGE,2022-11-01
RAJPURA TPP,,,1400.0,26.0,33.03,5762.0,6544.51,14.0,0.0,,,,2022-11-01
RAJPURA TPP,Unit 1, ,700.0,14.53,16.57,2984.53,3215.29,,0.0,,,,2022-11-01
RAJPURA TPP,Unit 2, ,700.0,11.47,16.46,2777.47,3329.22,,0.0,,,,2022-11-01
TALWANDI SABO TPP,,,1980.0,31.17,31.36,7086.17,6646.77,10.0,660.0,,,,2022-11-01
TALWANDI SABO TPP,Unit 1,*,660.0,9.97,6.07,2418.97,2315.07,,660.0,44863.75,01/11/2022 09:05:00,ABNORMAL SOUND,2022-11-01
TALWANDI SABO TPP,Unit 2, ,660.0,11.23,12.48,2248.23,2054.44,,0.0,,,,2022-11-01
TALWANDI SABO TPP,Unit 3, ,660.0,9.97,12.81,2418.97,2277.26,,0.0,,,,2022-11-01
GANGUWAL  HPS,,,77.65,1.4,1.46,293.4,354.84999999999997,,0.0,,,,2022-11-01
KOTLA  HPS,,,77.65,1.4,1.45,293.4,356.98,,0.0,,,,2022-11-01
CHHABRA-II TPP,,,1320.0,11.3,12.91,4852.3,4631.52,3.0,660.0,,,,2022-11-01
CHHABRA-II TPP,Unit 5,S,660.0,11.3,4.78,2398.3,2307.54,,660.0,44866.6875,04/11/2022,AIR PREHEATERS PROBLEM,2022-11-01
CHHABRA-II TPP,Unit 6, ,660.0,0.0,8.13,2454.0,2323.98,,0.0,,,,2022-11-01
CHHABRA-I PH-1 TPP,,,500.0,10.06,8.98,2069.06,1856.96,3.0,0.0,,,,2022-11-01
CHHABRA-I PH-1 TPP,Unit 1, ,250.0,5.03,4.43,1035.03,982.4,,0.0,,,,2022-11-01
CHHABRA-I PH-1 TPP,Unit 2, ,250.0,5.03,4.55,1034.03,874.56,,0.0,,,,2022-11-01
CHHABRA-I PH-2 TPP,,,500.0,10.7,7.98,1915.7,1108.4299999999998,1.0,0.0,,,,2022-11-01
CHHABRA-I PH-2 TPP,Unit 3, ,250.0,5.5,4.42,959.5,1063.85,,0.0,,,,2022-11-01
CHHABRA-I PH-2 TPP,Unit 4, ,250.0,5.2,3.56,956.2,44.58,,0.0,,,,2022-11-01
GIRAL TPS,,,250.0,0.0,0.0,0.0,0.0,,250.0,,,,2022-11-01
GIRAL TPS,Unit 1,P,125.0,0.0,0.0,0.0,0.0,,125.0,41831.34722222222,,UNIT LIKELY TO BE SCRAPPED.,2022-11-01
GIRAL TPS,Unit 2,P,125.0,0.0,0.0,0.0,0.0,,125.0,42396.64375,,UNIT LIKELY TO BE SCRAPPED.,2022-11-01
KALISINDH TPS,,,1200.0,22.060000000000002,15.66,4984.0599999999995,3402.44,6.0,0.0,,,,2022-11-01
KALISINDH TPS,Unit 1,S,600.0,11.23,7.04,2356.23,2007.28,,0.0,44866.92986111111,,I.D. FANS PROBLEM,2022-11-01
KALISINDH TPS,Unit 2, ,600.0,10.83,8.62,2627.83,1395.16,,0.0,,,,2022-11-01
KOTA TPS,,,1240.0,21.689999999999998,23.549999999999997,4903.6900000000005,4563.72,2.0,210.0,,,,2022-11-01
KOTA TPS,Unit 1, ,110.0,1.8,2.21,439.8,409.16,,0.0,,,,2022-11-01
KOTA TPS,Unit 2, ,110.0,1.8,2.29,439.8,418.23,,0.0,,,,2022-11-01
KOTA TPS,Unit 3,L,210.0,3.63,0.0,821.63,124.81,,210.0,44781.98888888889,,SEAL OIL SYSTEM PROBLEM,2022-11-01
KOTA TPS,Unit 4, ,210.0,3.63,4.85,821.63,923.73,,0.0,,,,2022-11-01
KOTA TPS,Unit 5, ,210.0,3.83,4.35,731.83,901.3,,0.0,,,,2022-11-01
KOTA TPS,Unit 6, ,195.0,3.5,4.92,795.5,957.34,,0.0,,,,2022-11-01
KOTA TPS,Unit 7, ,195.0,3.5,4.93,853.5,829.15,,0.0,,,,2022-11-01
SURATGARH STPS,,,1320.0,19.43,13.08,4410.43,2133.85,6.0,660.0,,,,2022-11-01
SURATGARH STPS,Unit 7, ,660.0,10.7,10.98,2295.7,196.46,,0.0,,,,2022-11-01
SURATGARH STPS,Unit 8,*,660.0,8.73,2.1,2114.73,1937.39,,660.0,44850.478472222225,01/11/2022 17:37:00,ESP PROBLEM,2022-11-01
SURATGARH TPS,,,1500.0,12.870000000000001,9.18,2964.87,3869.8100000000004,5.0,1000.0,,,,2022-11-01
SURATGARH TPS,Unit 1,L,250.0,2.47,0.0,602.47,412.25,,250.0,44742.76666666667,,STATOR EARTH FAULT,2022-11-01
SURATGARH TPS,Unit 2, ,250.0,2.1,3.51,466.1,694.31,,0.0,,,,2022-11-01
SURATGARH TPS,Unit 3,L,250.0,2.1,0.0,466.1,605.84,,250.0,44849.30486111111,,FURNACE FIRE OUT /FLAME FAILURE,2022-11-01
SURATGARH TPS,Unit 4, ,250.0,2.2,5.67,462.2,640.16,,0.0,,,,2022-11-01
SURATGARH TPS,Unit 5,L,250.0,2.0,0.0,484.0,694.53,,250.0,44850.50763888889,,BOILER MISC. PROBLEM,2022-11-01
SURATGARH TPS,Unit 6,S,250.0,2.0,0.0,484.0,822.72,,250.0,44854.25069444445,,FURNACE FIRE OUT /FLAME FAILURE,2022-11-01
DHOLPUR CCPP,,,330.0,0.6900000000000001,0.0,147.69,0.0,,330.0,,,,2022-11-01
RAMGARH CCPP,,,273.5,2.27,3.93,464.27,782.6400000000001,,0.0,,,,2022-11-01
JAWAHAR SAGAR  HPS,,,99.0,1.5,0.91,48.5,129.3,,0.0,,,,2022-11-01
MAHI BAJAJ-I HPS,,,50.0,0.57,0.22999999999999998,23.57,72.45,,0.0,,,,2022-11-01
MAHI BAJAJ-II HPS,,,90.0,0.07,0.25,11.07,49.879999999999995,,0.0,,,,2022-11-01
R P SAGAR  HPS,,,172.0,0.53,1.02,30.53,139.25,,43.0,,,,2022-11-01
JALIPA KAPURDI TPP,,,1080.0,19.76,25.529999999999998,4227.760000000001,4171.450000000001,,0.0,,,,2022-11-01
JALIPA KAPURDI TPP,Unit 1, ,135.0,2.47,3.18,528.47,503.66,,0.0,,,,2022-11-01
JALIPA KAPURDI TPP,Unit 2, ,135.0,2.47,3.14,528.47,551.22,,0.0,,,,2022-11-01
JALIPA KAPURDI TPP,Unit 3, ,135.0,2.47,3.13,528.47,513.45,,0.0,,,,2022-11-01
JALIPA KAPURDI TPP,Unit 4, ,135.0,2.47,3.27,528.47,512.47,,0.0,,,,2022-11-01
JALIPA KAPURDI TPP,Unit 5, ,135.0,2.47,3.22,528.47,497.14,,0.0,,,,2022-11-01
JALIPA KAPURDI TPP,Unit 6, ,135.0,2.47,3.17,528.47,532.02,,0.0,,,,2022-11-01
JALIPA KAPURDI TPP,Unit 7, ,135.0,2.47,3.22,528.47,517.47,,0.0,,,,2022-11-01
JALIPA KAPURDI TPP,Unit 8, ,135.0,2.47,3.2,528.47,544.02,,0.0,,,,2022-11-01
KAWAI TPS,,,1320.0,23.4,28.64,5277.4,5240.52,4.0,0.0,,,,2022-11-01
KAWAI TPS,Unit 1, ,660.0,11.2,14.3,2717.2,2734.01,,0.0,,,,2022-11-01
KAWAI TPS,Unit 2, ,660.0,12.2,14.34,2560.2,2506.51,,0.0,,,,2022-11-01
BARSINGSAR LIGNITE,,,250.0,3.86,5.91,823.86,938.6700000000001,,0.0,,,,2022-11-01
