name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,,,135.0,0.0,0.0,0.0,0.0,,135.0,,,,2019-02-18
RAJGHAT TPS,Unit 1,L,67.5,0.0,0.0,0.0,0.0,,67.5,42132.569444444445,21/08/2018,RSD/LOW SCHEDULE,2019-02-18
RAJGHAT TPS,Unit 2,L,67.5,0.0,0.0,0.0,0.0,,67.5,42145.430555555555,18/09/2018,RSD/LOW SCHEDULE,2019-02-18
I.P.CCPP,,,270.0,1.59,0.99,561.6199999999997,551.28,,180.0,,,,2019-02-18
PRAGATI CCGT-III,,,1500.0,7.790000000000001,4.27,2441.2200000000003,3365.68,,500.0,,,,2019-02-18
PRAGATI CCPP,,,330.4,4.61,3.9499999999999997,1796.9799999999982,1503.92,,104.6,,,,2019-02-18
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2019-02-18
BADARPUR TPS,,,0.0,0.0,0.0,0.0,1400.33,,0.0,,,,2019-02-18
BADARPUR TPS,Unit 1,L,0.0,0.0,0.0,0.0,0.0,,0.0,41929.76111111111,12/11/2015,POLLUTION PROBLEM,2019-02-18
BADARPUR TPS,Unit 2,L,0.0,0.0,0.0,0.0,0.0,,0.0,42271.82777777778,12/10/2015,POLLUTION PROBLEM,2019-02-18
BADARPUR TPS,Unit 3,L,0.0,0.0,0.0,0.0,0.0,,0.0,42286.82777777778,,POLLUTION PROBLEM,2019-02-18
BADARPUR TPS,Unit 4,L,0.0,0.0,0.0,0.0,606.38,,0.0,43388.75347222222,,POLLUTION PROBLEM,2019-02-18
BADARPUR TPS,Unit 5,L,0.0,0.0,0.0,0.0,793.95,,0.0,43388.83541666667,,POLLUTION PROBLEM,2019-02-18
PANIPAT TPS,,,920.0,4.43,0.0,1416.739999999999,3131.14,,920.0,,,,2019-02-18
PANIPAT TPS,Unit 5,L,210.0,0.0,0.0,0.0,176.76,,210.0,43469.46805555555,,RSD/LOW SCHEDULE,2019-02-18
PANIPAT TPS,Unit 6,L,210.0,0.0,0.0,0.0,324.01,,210.0,43469.865277777775,,RSD/LOW SCHEDULE,2019-02-18
PANIPAT TPS,Unit 7,S,250.0,2.25,0.0,705.5,1196.33,,250.0,43510.28333333333,,RSD/LOW SCHEDULE,2019-02-18
PANIPAT TPS,Unit 8,S,250.0,2.18,0.0,711.2399999999991,1434.04,,250.0,43507.683333333334,,BOILER MISC. PROBLEM,2019-02-18
RAJIV GANDHI TPS,,,1200.0,13.72,0.0,4438.960000000005,3788.1800000000003,,1200.0,,,,2019-02-18
RAJIV GANDHI TPS,Unit 1,L,600.0,6.86,0.0,2219.4800000000023,1575.8,,600.0,43452.479166666664,,RSD/LOW SCHEDULE,2019-02-18
RAJIV GANDHI TPS,Unit 2,L,600.0,6.86,0.0,2219.4800000000023,2212.38,,600.0,43486.95138888889,,RSD/LOW SCHEDULE,2019-02-18
YAMUNA NAGAR TPS,,,600.0,10.969999999999999,12.54,3150.4600000000005,2862.96,,0.0,,,,2019-02-18
YAMUNA NAGAR TPS,Unit 1, ,300.0,6.04,6.34,1552.7199999999993,1153.07,,0.0,,,,2019-02-18
YAMUNA NAGAR TPS,Unit 2, ,300.0,4.93,6.2,1597.7400000000011,1709.89,,0.0,,,,2019-02-18
MAHATMA GANDHI TPS,,,1320.0,14.43,16.43,4554.739999999997,6118.16,,0.0,,,,2019-02-18
MAHATMA GANDHI TPS,Unit 1, ,660.0,7.18,9.73,2207.239999999997,2928.48,,0.0,,,,2019-02-18
MAHATMA GANDHI TPS,Unit 2,*,660.0,7.25,6.7,2347.5,3189.68,,0.0,43513.12847222222,18/02/2019 06:08:00,BOILER MISC. PROBLEM,2019-02-18
INDIRA GANDHI STPP,,,1500.0,21.68,24.12,6611.240000000005,6811.58,,0.0,,,,2019-02-18
INDIRA GANDHI STPP,Unit 1, ,500.0,7.36,8.24,2332.4800000000023,2058.54,,0.0,,,,2019-02-18
INDIRA GANDHI STPP,Unit 2, ,500.0,7.36,7.61,2196.4800000000023,2251.38,,0.0,,,,2019-02-18
INDIRA GANDHI STPP,Unit 3, ,500.0,6.96,8.27,2082.2800000000007,2501.66,,0.0,,,,2019-02-18
FARIDABAD CCPP,,,431.59,2.62,4.27,833.8099999999995,479.14,,293.83,,,,2019-02-18
BASSI  HPS,,,66.0,0.25,0.45,279.5,226.13,,0.0,,,,2019-02-18
BHAKRA LEFT HPS,,,594.0,11.43,5.65,4198.740000000001,1964.58,,126.0,,,,2019-02-18
BHAKRA RIGHT HPS,,,785.0,0.0,4.6499999999999995,0.0,1753.9600000000003,,157.0,,,,2019-02-18
DEHAR H P S,,,990.0,3.57,4.77,2706.260000000003,2915.7699999999995,,0.0,,,,2019-02-18
GIRI BATA HPS,,,60.0,0.39,0.61,168.01999999999975,188.72,,0.0,,,,2019-02-18
KASHANG INTEGRATED HEP,,,195.0,0.14,0.13,173.51999999999975,112.62,,65.0,,,,2019-02-18
LARJI  HPS,,,126.0,0.5,0.99,530.0,538.76,,0.0,,,,2019-02-18
PONG H P S,,,396.0,2.39,6.32,908.0199999999998,1353.0,,66.0,,,,2019-02-18
SAINJ HPS,,,100.0,0.29,0.36,235.21999999999986,398.38,,50.0,,,,2019-02-18
SANJAY  HPS,,,120.0,0.64,0.65,455.51999999999975,566.5099999999999,,40.0,,,,2019-02-18
SAWRA KUDDU HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-02-18
SHANAN  HPS,,,110.0,0.43,0.72,454.7400000000001,433.52,,0.0,,,,2019-02-18
UHL-III HPS,,,0.0,0.25,0.0,10.5,0.0,,0.0,,,,2019-02-18
ALLAIN DUHANGAN  HPS,,,192.0,0.29,0.36,632.2199999999993,568.87,,0.0,,,,2019-02-18
BASPA  HPS,,,300.0,0.89,1.0,1174.0200000000018,1236.94,,0.0,,,,2019-02-18
BUDHIL HPS,,,70.0,0.14,0.25,242.51999999999975,276.75,,70.0,,,,2019-02-18
CHANJU-I HPS ,,,36.0,0.18,0.16,115.24000000000012,131.38,,0.0,,,,2019-02-18
KARCHAM WANGTOO HPS,,,1000.0,3.21,3.56,3970.7800000000007,3822.3999999999996,,0.0,,,,2019-02-18
MALANA  HPS,,,86.0,0.21,0.26,330.77999999999963,308.53,,0.0,,,,2019-02-18
MALANA-II  HPS,,,100.0,0.14,0.24,323.51999999999975,339.13,,50.0,,,,2019-02-18
SORANG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-02-18
TIDONG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-02-18
BAIRA SIUL  HPS,,,180.0,0.0,0.0,500.0,366.66999999999996,,180.0,,,,2019-02-18
CHAMERA- I  HPS,,,540.0,2.46,5.15,2253.2800000000007,2201.9300000000003,,180.0,,,,2019-02-18
CHAMERA- II  HPS,,,300.0,1.43,2.24,1375.7400000000011,1379.93,,100.0,,,,2019-02-18
CHAMERA-III HPS,,,231.0,0.79,1.08,1002.2199999999993,976.3299999999999,,154.0,,,,2019-02-18
KOLDAM,,,800.0,2.04,3.55,2907.7199999999993,2868.78,,0.0,,,,2019-02-18
NATHPA JHAKRI HPS,,,1500.0,5.25,6.76,6328.5,6151.95,,500.0,,,,2019-02-18
PARBATI-II HPS,,,0.0,0.36,0.0,186.48000000000025,0.0,,0.0,,,,2019-02-18
