name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,,,135.0,0.0,0.0,0.0,0.0,,135.0,,,,2019-03-11
RAJGHAT TPS,Unit 1,L,67.5,0.0,0.0,0.0,0.0,,67.5,42132.569444444445,,RSD/LOW SCHEDULE,2019-03-11
RAJGHAT TPS,Unit 2,L,67.5,0.0,0.0,0.0,0.0,,67.5,42145.430555555555,,RSD/LOW SCHEDULE,2019-03-11
I.P.CCPP,,,270.0,1.69,0.95,596.5900000000001,583.79,,180.0,,,,2019-03-11
PRAGATI CCGT-III,,,1500.0,7.78,5.619999999999999,2604.5800000000004,3469.24,,500.0,,,,2019-03-11
PRAGATI CCPP,,,330.4,4.57,0.0,1882.5199999999995,1517.9099999999999,,104.6,,,,2019-03-11
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2019-03-11
BADARPUR TPS,,,0.0,0.0,0.0,0.0,1400.33,,0.0,,,,2019-03-11
BADARPUR TPS,Unit 1,L,0.0,0.0,0.0,0.0,0.0,,0.0,41929.76111111111,,POLLUTION PROBLEM,2019-03-11
BADARPUR TPS,Unit 2,L,0.0,0.0,0.0,0.0,0.0,,0.0,42271.82777777778,,POLLUTION PROBLEM,2019-03-11
BADARPUR TPS,Unit 3,L,0.0,0.0,0.0,0.0,0.0,,0.0,42286.82777777778,,POLLUTION PROBLEM,2019-03-11
BADARPUR TPS,Unit 4,L,0.0,0.0,0.0,0.0,606.38,,0.0,43388.75347222222,,POLLUTION PROBLEM,2019-03-11
BADARPUR TPS,Unit 5,L,0.0,0.0,0.0,0.0,793.95,,0.0,43388.83541666667,,POLLUTION PROBLEM,2019-03-11
PANIPAT TPS,,,920.0,4.48,8.69,1510.2800000000002,3160.96,,420.0,,,,2019-03-11
PANIPAT TPS,Unit 5,L,210.0,0.0,0.0,0.0,176.75,,210.0,43469.46805555555,,RSD/LOW SCHEDULE,2019-03-11
PANIPAT TPS,Unit 6,L,210.0,0.0,0.0,0.0,324.01,,210.0,43469.865277777775,,RSD/LOW SCHEDULE,2019-03-11
PANIPAT TPS,Unit 7,*,250.0,2.32,3.42,753.5200000000006,1199.77,,0.0,43510.28333333333,11/03/2019 06:48:00,RSD/LOW SCHEDULE,2019-03-11
PANIPAT TPS,Unit 8, ,250.0,2.16,5.27,756.7599999999996,1460.43,,0.0,,,,2019-03-11
RAJIV GANDHI TPS,,,1200.0,13.68,0.0,4726.480000000003,3805.2799999999997,0.0,1200.0,,,,2019-03-11
RAJIV GANDHI TPS,Unit 1,L,600.0,6.84,0.0,2363.2400000000016,1575.8,,600.0,43452.479166666664,,RSD/LOW SCHEDULE,2019-03-11
RAJIV GANDHI TPS,Unit 2,L,600.0,6.84,0.0,2363.2400000000016,2229.48,,600.0,43486.95138888889,,RSD/LOW SCHEDULE,2019-03-11
YAMUNA NAGAR TPS,,,600.0,10.97,12.469999999999999,3380.67,3059.51,,0.0,,,,2019-03-11
YAMUNA NAGAR TPS,Unit 1, ,300.0,6.03,6.27,1679.3299999999997,1214.56,,0.0,,,,2019-03-11
YAMUNA NAGAR TPS,Unit 2, ,300.0,4.94,6.2,1701.3400000000006,1844.95,,0.0,,,,2019-03-11
MAHATMA GANDHI TPS,,,1320.0,7.13,20.060000000000002,4828.3200000000015,6517.58,,0.0,,,,2019-03-11
MAHATMA GANDHI TPS,Unit 1, ,660.0,7.13,10.0,2357.430000000001,3135.81,,0.0,,,,2019-03-11
MAHATMA GANDHI TPS,Unit 2, ,660.0,0.0,10.06,2470.89,3381.77,,0.0,,,,2019-03-11
INDIRA GANDHI STPP,,,1500.0,21.669999999999998,13.98,7066.369999999995,7261.220000000001,,500.0,,,,2019-03-11
INDIRA GANDHI STPP,Unit 1, ,500.0,7.35,7.55,2486.849999999999,2233.09,,0.0,,,,2019-03-11
