name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,,,135.0,0.0,0.0,0.0,0.0,,135.0,,,,2019-04-04
RAJGHAT TPS,Unit 1,L,67.5,0.0,0.0,0.0,0.0,,67.5,42132.569444444445,,RSD/LOW SCHEDULE,2019-04-04
RAJGHAT TPS,Unit 2,L,67.5,0.0,0.0,0.0,0.0,,67.5,42145.430555555555,,RSD/LOW SCHEDULE,2019-04-04
I.P.CCPP,,,270.0,1.46,0.91,5.84,3.74,,180.0,,,,2019-04-04
PRAGATI CCGT-III,,,1500.0,10.07,10.36,40.28,28.63,,500.0,,,,2019-04-04
PRAGATI CCPP,,,330.4,5.76,3.71,23.04,13.920000000000002,,104.6,,,,2019-04-04
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2019-04-04
PANIPAT TPS,,,920.0,5.73,11.01,22.92,42.79,,420.0,,,,2019-04-04
PANIPAT TPS,Unit 5,L,210.0,0.0,0.0,0.0,0.0,,210.0,43469.46805555555,,RSD/LOW SCHEDULE,2019-04-04
PANIPAT TPS,Unit 6,L,210.0,0.0,0.0,0.0,0.0,,210.0,43469.865277777775,,RSD/LOW SCHEDULE,2019-04-04
PANIPAT TPS,Unit 7, ,250.0,3.0,5.52,12.0,21.46,,0.0,,,,2019-04-04
PANIPAT TPS,Unit 8, ,250.0,2.73,5.49,10.92,21.33,,0.0,,,,2019-04-04
RAJIV GANDHI TPS,,,1200.0,16.130000000000003,0.0,64.52000000000001,0.0,0.0,1200.0,,,,2019-04-04
RAJIV GANDHI TPS,Unit 1,S,600.0,9.3,0.0,37.2,0.0,,600.0,43555.82152777778,,RSD/LOW SCHEDULE,2019-04-04
RAJIV GANDHI TPS,Unit 2,L,600.0,6.83,0.0,27.32,0.0,,600.0,43486.95138888889,,RSD/LOW SCHEDULE,2019-04-04
YAMUNA NAGAR TPS,,,600.0,5.33,6.66,21.32,40.67,,300.0,,,,2019-04-04
YAMUNA NAGAR TPS,Unit 1, ,300.0,5.33,6.66,21.32,25.92,,0.0,,,,2019-04-04
YAMUNA NAGAR TPS,Unit 2,S,300.0,0.0,0.0,0.0,14.75,,300.0,43558.427777777775,,RSD/LOW SCHEDULE,2019-04-04
MAHATMA GANDHI TPS,,,1320.0,10.73,11.83,42.92,57.290000000000006,,660.0,,,,2019-04-04
MAHATMA GANDHI TPS,Unit 1,S,660.0,10.73,0.0,42.92,14.45,,660.0,43557.5375,,RSD/LOW SCHEDULE,2019-04-04
MAHATMA GANDHI TPS,Unit 2, ,660.0,0.0,11.83,0.0,42.84,,0.0,,,,2019-04-04
INDIRA GANDHI STPP,,,1500.0,23.24,0.0,92.96,15.29,,1500.0,,,,2019-04-04
INDIRA GANDHI STPP,Unit 1,S,500.0,7.77,0.0,31.08,15.29,,500.0,43558.001388888886,,RESERVE SHUT DOWN / STANDBY UNIT,2019-04-04
INDIRA GANDHI STPP,Unit 2,L,500.0,7.47,0.0,29.88,0.0,,500.0,43535.88611111111,,RSD/LOW SCHEDULE,2019-04-04
INDIRA GANDHI STPP,Unit 3,L,500.0,8.0,0.0,32.0,0.0,,500.0,43533.8,,RSD/LOW SCHEDULE,2019-04-04
FARIDABAD CCPP,,,431.59,1.09,0.0,4.36,0.0,,293.83,,,,2019-04-04
BASSI  HPS,,,66.0,1.0,0.86,4.0,3.73,,0.0,,,,2019-04-04
BHAKRA LEFT HPS,,,594.0,2.93,4.88,11.72,21.46,,0.0,,,,2019-04-04
BHAKRA RIGHT HPS,,,785.0,3.87,6.26,15.48,23.85,,157.0,,,,2019-04-04
DEHAR H P S,,,990.0,7.47,12.849999999999998,29.88,46.7,,0.0,,,,2019-04-04
GIRI BATA HPS,,,60.0,0.43,0.39,1.72,1.7799999999999998,,0.0,,,,2019-04-04
KASHANG INTEGRATED HEP,,,195.0,0.3,0.24,1.2,0.86,,65.0,,,,2019-04-04
LARJI  HPS,,,126.0,1.4,2.15,5.6,8.860000000000001,,0.0,,,,2019-04-04
PONG H P S,,,396.0,0.47,0.59,1.88,2.2600000000000002,,132.0,,,,2019-04-04
SAINJ HPS,,,100.0,0.77,0.0,3.08,0.0,,50.0,,,,2019-04-04
SANJAY  HPS,,,120.0,1.17,1.09,4.68,5.859999999999999,,0.0,,,,2019-04-04
SAWRA KUDDU HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-04-04
SHANAN  HPS,,,110.0,1.67,1.28,6.68,5.48,,0.0,,,,2019-04-04
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-04-04
ALLAIN DUHANGAN  HPS,,,192.0,1.1,0.99,4.4,3.4899999999999993,,0.0,,,,2019-04-04
BASPA  HPS,,,300.0,1.4,1.43,5.6,5.06,,0.0,,,,2019-04-04
BUDHIL HPS,,,70.0,0.47,0.83,1.88,2.9000000000000004,,35.0,,,,2019-04-04
CHANJU-I HPS ,,,36.0,0.33,0.89,1.32,2.9600000000000004,,0.0,,,,2019-04-04
KARCHAM WANGTOO HPS,,,1000.0,7.93,6.050000000000001,31.72,22.909999999999997,,0.0,,,,2019-04-04
MALANA  HPS,,,86.0,0.6,0.8,2.4,2.7800000000000002,,0.0,,,,2019-04-04
MALANA-II  HPS,,,100.0,0.6,0.71,2.4,2.4699999999999998,,0.0,,,,2019-04-04
SORANG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-04-04
TIDONG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2019-04-04
BAIRA SIUL  HPS,,,180.0,0.67,0.0,2.68,0.0,,180.0,,,,2019-04-04
CHAMERA- I  HPS,,,540.0,8.13,11.059999999999999,32.52,41.480000000000004,,0.0,,,,2019-04-04
CHAMERA- II  HPS,,,300.0,4.53,5.88,18.12,20.25,,0.0,,,,2019-04-04
CHAMERA-III HPS,,,231.0,2.8,3.9699999999999998,11.2,13.33,,0.0,,,,2019-04-04
KOLDAM,,,800.0,6.77,4.7,27.08,21.010000000000005,,0.0,,,,2019-04-04
NATHPA JHAKRI HPS,,,1500.0,11.77,11.509999999999998,47.08,43.95000000000001,,500.0,,,,2019-04-04
PARBATI-II HPS,,,0.0,0.27,0.0,1.08,0.0,,0.0,,,,2019-04-04
PARBATI-III HPS,,,520.0,1.3,0.0,5.2,0.0,,520.0,,,,2019-04-04
