name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,1.0,1.65,61.0,43.37,,180.0,,,,2024-05-30
PRAGATI CCGT-III,,,1500.0,11.99,23.71,755.7000000000002,783.72,,0.0,,,,2024-05-30
PRAGATI CCPP,,,330.4,4.220000000000001,7.039999999999999,265.5999999999998,193.73000000000002,,0.0,,,,2024-05-30
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2024-05-30
PANIPAT TPS,,,710.0,11.16,15.7,704.8,773.84,35.0,0.0,,,,2024-05-30
PANIPAT TPS,Unit 6, ,210.0,3.1,4.34,194.99999999999983,187.82,,0.0,,,,2024-05-30
PANIPAT TPS,Unit 7, ,250.0,4.03,5.68,254.90000000000003,267.05,,0.0,,,,2024-05-30
PANIPAT TPS,Unit 8, ,250.0,4.03,5.68,254.90000000000003,318.97,,0.0,,,,2024-05-30
RAJIV GANDHI TPS,,,1200.0,20.97,0.0,1334.1000000000008,971.74,36.0,1200.0,,,,2024-05-30
RAJIV GANDHI TPS,Unit 1,S,600.0,11.0,0.0,704.0,582.78,,600.0,45440.955555555556,,WATER WALL TUBE LEAKAGE,2024-05-30
RAJIV GANDHI TPS,Unit 2,L,600.0,9.97,0.0,630.1000000000008,388.96,,600.0,45422.81597222222,,GRID DISTURBANCE,2024-05-30
YAMUNA NAGAR TPS,,,600.0,11.33,13.09,723.8999999999999,717.99,35.0,0.0,,,,2024-05-30
YAMUNA NAGAR TPS,Unit 1, ,300.0,5.68,6.6,362.4000000000002,353.26,,0.0,,,,2024-05-30
YAMUNA NAGAR TPS,Unit 2, ,300.0,5.65,6.49,361.49999999999966,364.73,,0.0,,,,2024-05-30
MAHATMA GANDHI TPS,,,1320.0,23.490000000000002,31.22,1494.6999999999994,1379.56,32.0,0.0,,,,2024-05-30
MAHATMA GANDHI TPS,Unit 1, ,660.0,12.65,15.44,808.4999999999993,652.29,,0.0,,,,2024-05-30
MAHATMA GANDHI TPS,Unit 2, ,660.0,10.84,15.78,686.2000000000002,727.27,,0.0,,,,2024-05-30
INDIRA GANDHI STPP,,,1500.0,23.17,25.5,1465.0999999999988,1419.12,49.0,0.0,,,,2024-05-30
INDIRA GANDHI STPP,Unit 1, ,500.0,7.84,8.41,495.19999999999925,470.9,,0.0,,,,2024-05-30
INDIRA GANDHI STPP,Unit 2, ,500.0,7.68,8.54,485.4000000000002,463.59,,0.0,,,,2024-05-30
INDIRA GANDHI STPP,Unit 3, ,500.0,7.65,8.55,484.4999999999993,484.63,,0.0,,,,2024-05-30
FARIDABAD CCPP,,,431.59,0.42000000000000004,5.04,25.599999999999998,96.49000000000001,,137.76,,,,2024-05-30
BASSI  HPS,,,66.0,1.26,1.6,67.79999999999997,78.09,,0.0,,,,2024-05-30
GIRI BATA HPS,,,60.0,0.19,0.07,14.699999999999985,11.37,,30.0,,,,2024-05-30
KASHANG INTEGRATED HEP,,,195.0,0.61,0.8200000000000001,28.299999999999983,32.88,,0.0,,,,2024-05-30
LARJI  HPS,,,126.0,1.94,1.02,100.19999999999993,24.49,,84.0,,,,2024-05-30
SAINJ HPS,,,100.0,1.03,2.46,47.900000000000034,61.989999999999995,,0.0,,,,2024-05-30
SANJAY HPS,,,120.0,1.71,3.04,93.2999999999999,82.38,,0.0,,,,2024-05-30
SAWRA KUDDU HPS,,,111.0,0.81,0.94,42.300000000000004,38.92,,0.0,,,,2024-05-30
SHANAN HPS,,,110.0,2.1,2.6500000000000004,107.9999999999999,123.19000000000001,,0.0,,,,2024-05-30
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2024-05-30
ALLAIN DUHANGAN  HPS,,,192.0,1.74,3.7,83.19999999999997,117.53,,0.0,,,,2024-05-30
BAJOLI HOLI HPS,,,180.0,3.26,4.78,153.80000000000004,168.62,,0.0,,,,2024-05-30
BASPA  HPS,,,300.0,2.71,7.92,129.29999999999987,192.13,,0.0,,,,2024-05-30
BUDHIL HPS,,,70.0,1.03,1.7,55.900000000000034,49.81,,0.0,,,,2024-05-30
CHANJU-I HPS ,,,36.0,0.48,0.77,24.400000000000013,39.39,,0.0,,,,2024-05-30
KARCHAM WANGTOO HPS,,,1045.0,18.65,27.020000000000003,797.4999999999993,672.2099999999999,,0.0,,,,2024-05-30
MALANA  HPS,,,86.0,0.84,1.76,42.20000000000004,56.25,,0.0,,,,2024-05-30
MALANA-II  HPS,,,100.0,0.94,2.06,40.2,59.95,,50.0,,,,2024-05-30
SORANG HPS,,,100.0,1.06,2.16,56.80000000000005,62.05,,0.0,,,,2024-05-30
TIDONG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2024-05-30
BAIRA SIUL  HPS,,,180.0,2.39,3.0,140.69999999999993,170.85,,60.0,,,,2024-05-30
BHAKRA LEFT HPS,,,630.0,4.68,6.25,258.4000000000002,302.09999999999997,,126.0,,,,2024-05-30
BHAKRA RIGHT HPS,,,785.0,5.97,9.31,331.1000000000003,355.13,,157.0,,,,2024-05-30
CHAMERA-I HPS,,,540.0,8.39,12.98,461.6999999999996,528.18,,0.0,,,,2024-05-30
CHAMERA-II HPS,,,300.0,6.77,7.23,310.1,307.9,,100.0,,,,2024-05-30
CHAMERA-III HPS,,,231.0,4.48,5.57,218.39999999999984,217.36,,77.0,,,,2024-05-30
DEHAR HPS,,,990.0,10.23,14.58,511.90000000000043,629.63,,0.0,,,,2024-05-30
KOLDAM,,,800.0,10.52,21.06,448.5999999999998,499.03,,600.0,,,,2024-05-30
NATHPA JHAKRI HPS,,,1500.0,20.03,39.31,946.8999999999992,1145.15,,500.0,,,,2024-05-30
PARBATI-II HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2024-05-30
PARBATI-III HPS,,,520.0,1.42,3.2500000000000004,69.60000000000005,88.8,,260.0,,,,2024-05-30
PONG HPS,,,396.0,0.81,4.1,44.30000000000002,138.3,,0.0,,,,2024-05-30
RAMPUR HPS,,,412.02000000000004,5.71,10.88,270.30000000000007,321.66,,0.0,,,,2024-05-30
PAMPORE GPS (Liq.),,,175.0,0.0,0.0,0.0,0.0,,175.0,,,,2024-05-30
BAGLIHAR  HPS,,,450.0,9.39,10.8,521.6999999999996,586.45,,0.0,,,,2024-05-30
BAGLIHAR II  HPS,,,450.0,10.13,0.0,303.8999999999999,0.0,,150.0,,,,2024-05-30
LOWER JHELUM  HPS,,,105.0,1.77,0.0,108.09999999999992,0.0,,35.0,,,,2024-05-30
UPPER SINDH-II HPS,,,105.0,2.19,0.0,93.69999999999995,0.0,,0.0,,,,2024-05-30
DULHASTI  HPS,,,390.0,8.58,9.41,425.3999999999998,426.45,,0.0,,,,2024-05-30
KISHANGANGA HPS,,,330.0,8.0,5.67,474.0,309.53,,110.0,,,,2024-05-30
SALAL HPS,,,690.0,13.06,15.15,669.7999999999994,721.45,,115.0,,,,2024-05-30
SEWA-II HPS,,,120.0,1.61,2.14,109.29999999999998,145.85000000000002,,40.0,,,,2024-05-30
URI-I HPS,,,480.0,11.55,7.25,684.4999999999995,467.87,,120.0,,,,2024-05-30
URI-II HPS,,,240.0,5.84,5.859999999999999,346.19999999999965,324.37,,60.0,,,,2024-05-30
CHUTAK HPS,,,44.0,0.45,0.8700000000000001,18.499999999999986,22.310000000000002,,22.0,,,,2024-05-30
NIMMO BAZGO HPS,,,45.0,0.65,1.1,31.499999999999968,33.81,,45.0,,,,2024-05-30
GH TPS (LEH.MOH.),,,920.0,10.77,15.16,681.1000000000001,805.62,45.0,210.0,,,,2024-05-30
GH TPS (LEH.MOH.),Unit 1, ,210.0,3.06,4.51,194.80000000000007,249.36,,0.0,,,,2024-05-30
GH TPS (LEH.MOH.),Unit 2,L,210.0,0.68,0.0,41.39999999999999,0.0,,210.0,44681.62569444445,,ASH HANDLING SYSTEM PROBLEM,2024-05-30
GH TPS (LEH.MOH.),Unit 3, ,250.0,3.55,5.32,224.5000000000003,259.45,,0.0,,,,2024-05-30
GH TPS (LEH.MOH.),Unit 4, ,250.0,3.48,5.33,220.39999999999975,296.81,,0.0,,,,2024-05-30
GOINDWAL SAHIB TPP,,,540.0,8.06,12.379999999999999,509.80000000000007,570.87,19.0,0.0,,,,2024-05-30
GOINDWAL SAHIB TPP,Unit 1, ,270.0,4.03,6.12,254.90000000000003,301.97,,0.0,,,,2024-05-30
GOINDWAL SAHIB TPP,Unit 2, ,270.0,4.03,6.26,254.90000000000003,268.9,,0.0,,,,2024-05-30
ROPAR TPS,,,840.0,9.85,18.25,624.4999999999998,868.8900000000001,23.0,0.0,,,,2024-05-30
