name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,,,135.0,0.0,0.0,0.0,0.0,,135.0,,,,2018-06-04
RAJGHAT TPS,Unit 1,L,67.5,0.0,0.0,0.0,0.0,,67.5,42132.569444444445,43333.0,RSD/LOW SCHEDULE,2018-06-04
RAJGHAT TPS,Unit 2,L,67.5,0.0,0.0,0.0,0.0,,67.5,42145.430555555555,43361.0,RSD/LOW SCHEDULE,2018-06-04
I.P.CCPP,,,270.0,1.76,2.167,115.04,128.85999999999999,,0.0,,,,2018-06-04
PRAGATI CCGT-III,,,1500.0,7.6899999999999995,11.043,438.76,692.7,,500.0,,,,2018-06-04
PRAGATI CCPP,,,330.4,5.970000000000001,6.688000000000001,278.88,341.59,,0.0,,,,2018-06-04
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2018-06-04
BADARPUR TPS,,,705.0,0.0,8.06,0.0,338.93,,285.0,,,,2018-06-04
BADARPUR TPS,Unit 1,L,95.0,0.0,0.0,0.0,0.0,,95.0,41929.76111111111,,POLLUTION PROBLEM,2018-06-04
BADARPUR TPS,Unit 2,L,95.0,0.0,0.0,0.0,0.0,,95.0,42271.82777777778,,POLLUTION PROBLEM,2018-06-04
BADARPUR TPS,Unit 3,L,95.0,0.0,0.0,0.0,0.0,,95.0,42286.82777777778,,POLLUTION PROBLEM,2018-06-04
BADARPUR TPS,Unit 4, ,210.0,0.0,3.95,0.0,100.91,,0.0,,,,2018-06-04
BADARPUR TPS,Unit 5, ,210.0,0.0,4.11,0.0,238.02,,0.0,,,,2018-06-04
PANIPAT TPS,,,920.0,4.53,1.294,294.12,907.46,1.0,920.0,,,,2018-06-04
PANIPAT TPS,Unit 5,S,210.0,0.0,0.0,0.0,120.85,,210.0,43248.78472222222,,RSD/LOW SCHEDULE,2018-06-04
PANIPAT TPS,Unit 6,S,210.0,0.0,0.0,0.0,191.9,,210.0,43252.816666666666,,RESERVE SHUT DOWN / STANDBY UNIT,2018-06-04
