name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,1,L,67.5,0.00,0.00,0.00,0.00,,67.5,08/05/2015 13:40,,RSD/LOW SCHEDULE,2018-01-24
RAJGHAT TPS,2,L,67.5,0.00,0.00,0.00,0.00,,67.5,21/05/2015 10:20,,RSD/LOW SCHEDULE,2018-01-24
I.P.CCPP,,,270.00,1.99,0.95,578.76,487.45,,,,,,2018-01-24
PRAGATI CCGT-III,,,1500.00,6.06,11.24,1803.44,2453.25,,,,,,2018-01-24
PRAGATI CCPP,,,330.40,5.45,6.67,1638.80,1629.11,,,,,,2018-01-24
RITHALA CCPP,,,108.00,0.0,0.00,0.00,0.00,108.00,,,,,2018-01-24
BADARPUR TPS,1,L,95.0,0.00,0.00,0.00,0.00,,95.0,17/10/2014 18:16,,POLLUTION PROBLEM,2018-01-24
BADARPUR TPS,2,L,95.0,0.00,0.00,0.00,0.00,,95.0,24/09/2015 19:52,,POLLUTION PROBLEM,2018-01-24
BADARPUR TPS,3,L,95.0,0.00,0.00,0.00,0.00,,95.0,09/10/2015 19:52,,POLLUTION PROBLEM,2018-01-24
BADARPUR TPS,4,L,210.0,0.00,0.00,818.37,717.84,,210.0,16/10/2017 23:32,,POLLUTION PROBLEM,2018-01-24
BADARPUR TPS,5,L,210.0,2.90,0.00,809.60,839.13,,210.0,16/10/2017 23:59,,POLLUTION PROBLEM,2018-01-24
PANIPAT TPS,,,920.00,4.65,0.00,1404.60,2008.87,9,920.00,,,,2018-01-24
PANIPAT TPS,5,L,210.0,0.00,0.00,0.00,76.06,,210.0,15/10/2017 01:,,"RESERVE SHUT DOWN / STANDBYUNIT",2018-01-24
PANIPAT TPS,5,L,210.0,0.00,0.00,0.00,76.06,,210.0,02,,"RESERVE SHUT DOWN / STANDBYUNIT",2018-01-24
PANIPAT TPS,6,S,210.0,0.00,0.00,0.00,273.11,,210.0,09/01/2018 20:22,,"RESERVE SHUT DOWN / STANDBYUNIT",2018-01-24
PANIPAT TPS,7,L,250.0,2.19,0.00,656.56,1047.27,,250.0,28/12/2017 05:04,,WATER WALL TUBE LEAKAGE,2018-01-24
PANIPAT TPS,8,S,250.0,2.46,0.00,748.04,612.43,,250.0,19/01/2018 07:28,,RSD/LOW SCHEDULE,2018-01-24
RAJIV GANDHI TPS,1,,600.0,7.58,11.82,1999.92,1616.31,,,,,,2018-01-24
RAJIV GANDHI TPS,2,S,600.0,6.84,0.00,2044.16,1787.18,,600.0,23/01/2018 21:54,,RSD/LOW SCHEDULE,2018-01-24
YAMUNA NAGAR TPS,1,,300.0,4.94,6.57,1475.56,1397.11,,,,,,2018-01-24
YAMUNA NAGAR TPS,2,,300.0,4.94,6.54,1475.56,1603.92,,,,,,2018-01-24
MAHATMA GANDHI TPS,1,,660.0,6.03,13.25,1713.72,2934.85,,,,,,2018-01-24
MAHATMA GANDHI TPS,2,,660.0,5.97,13.31,1606.28,2738.85,,,,,,2018-01-24
INDIRA GANDHI STPP,1,L,500.0,0.00,0.00,1563.38,2202.29,,500.0,08/01/2018 00:32,,COAL SHORTAGE,2018-01-24
INDIRA GANDHI STPP,2,,500.0,4.97,9.48,1477.28,1884.75,,,,,,2018-01-24
INDIRA GANDHI STPP,3,,500.0,4.87,9.87,1464.88,2099.97,,,,,,2018-01-24
FARIDABAD CCPP,,,431.59,3.42,0.00,1024.08,689.12,137.76,,,,,2018-01-24
BASSI  HPS,,,66.00,0.29,0.22,280.96,303.70,33.00,,,,,2018-01-24
BHAKRA H  P S,,,1325.00,10.23,11.20,3952.52,4302.04,265.00,,,,,2018-01-24
DEHAR H P S,,,990.00,2.94,3.04,2621.56,2903.61,495.00,,,,,2018-01-24
GIRI BATA HPS,,,60.00,0.32,0.27,167.68,158.20,30.00,,,,,2018-01-24
KASHANG INTEGRATED HEP,,,195.0,0.26,0.14,230.24,189.07,65.0,,,,,2018-01-24
LARJI  HPS,,,126.0,0.48,0.55,544.52,576.47,42.0,,,,,2018-01-24
PONG H P S,,,396.0,2.26,4.37,805.24,1317.73,,,,,,2018-01-24
SAINJ HPS,,,100.0,0.13,0.31,292.12,115.52,,,,,,2018-01-24
SANJAY  HPS,,,120.0,0.48,0.62,489.52,454.49,80.0,,,,,2018-01-24
UHL-III HPS,,,0.0,0.00,0.00,0.00,0.00,,,,,,2018-01-24
ALLAIN DUHANGAN  HPS,,,192.0,0.65,0.33,655.60,660.32,,,,,,2018-01-24
BASPA  HPS,,,300.0,0.97,0.96,1188.28,1275.92,,,,,,2018-01-24
BUDHIL HPS,,,70.0,0.16,0.14,267.84,309.96,,,,,,2018-01-24
CHANJU-I HPS,,,36.0,0.00,0.11,0.00,74.22,,,,,,2018-01-24
KARCHAM WANGTOO HPS,,,1000.0,3.55,3.23,4022.20,4345.62,,,,,,2018-01-24
MALANA  HPS,,,86.0,0.19,0.22,326.56,334.13,,,,,,2018-01-24
MALANA-II  HPS,,,100.0,0.06,0.19,350.44,357.70,,,,,,2018-01-24
SORANG HPS,,,0.0,0.00,0.00,0.00,0.00,,,,,,2018-01-24
TIDONG HPS,,,0.0,0.32,0.00,179.68,0.00,,,,,,2018-01-24
BAIRA SIUL  HPS,,,180.0,0.48,0.38,582.52,594.33,60.0,,,,,2018-01-24
CHAMERA- I  HPS,,,540.0,1.77,1.80,2140.48,2212.40,,,,,,2018-01-24
CHAMERA- II  HPS,,,300.0,1.13,1.09,1342.12,1404.58,,,,,,2018-01-24
CHAMERA-III HPS,,,231.0,0.61,0.77,983.64,1015.74,77.0,,,,,2018-01-24
KOLDAM,,,800.0,2.45,2.71,2858.80,3149.72,,,,,,2018-01-24
NATHPA JHAKRI HPS,,,1500.0,6.06,6.28,6333.44,6791.57,,,,,,2018-01-24
PARBATI-III HPS,,,520.0,0.52,0.31,638.48,687.18,260.0,,,,,2018-01-24
RAMPUR HPS,,,412.02,1.94,1.79,1736.56,1900.35,,,,,,2018-01-24
PAMPORE GPS (Liq.),,,175.00,0.0,0.00,0.00,0.00,,,,,,2018-01-24
BAGLIHAR  HPS,,,450.00,3.77,2.88,2147.48,2486.49,,,,,,2018-01-24
BAGLIHAR II  HPS,,,450.00,0.0,0.00,1302.00,1629.57,150.00,,,,,2018-01-24
LOWER JHELUM  HPS,,,105.00,0.68,0.51,466.32,422.82,,,,,,2018-01-24
UPPER SINDH-II HPS,,,105.00,0.19,0.23,271.56,313.28,,,,,,2018-01-24
CHUTAK HPS,,,44.00,0.16,0.15,38.84,37.41,33.00,,,,,2018-01-24
DULHASTI  HPS,,,390.00,2.65,2.81,2006.60,2174.37,130.00,,,,,2018-01-24
KISHENGANGA HPS,,,0.00,0.87,0.00,385.88,0.00,,,,,,2018-01-24
NIMMO BAZGO HPS,,,45.00,0.32,0.38,66.68,75.44,,,,,,2018-01-24
SALAL  HPS,,,690.00,2.81,2.08,2982.44,3056.10,230.00,,,,,2018-01-24
SEWA-II  HPS,,,120.00,0.42,0.28,391.08,445.62,,,,,,2018-01-24
URI-I HPS,,,480.00,2.77,1.88,2265.48,2101.50,240.00,,,,,2018-01-24
URI-II HPS,,,240.00,1.71,1.18,905.04,1058.90,60.00,,,,,2018-01-24
GH TPS (LEH.MOH.),1,S,210.0,2.13,0.00,630.12,371.16,,210.0,13/01/2018 14:07,,RSD/LOW SCHEDULE,2018-01-24
GH TPS (LEH.MOH.),2,S,210.0,2.13,0.00,630.12,427.27,,210.0,23/01/2018 10:32,,RSD/LOW SCHEDULE,2018-01-24
GH TPS (LEH.MOH.),3,S,250.0,3.26,0.00,975.24,840.84,,250.0,23/01/2018 15:05,,RSD/LOW SCHEDULE,2018-01-24
GH TPS (LEH.MOH.),4,,250.0,2.90,5.02,858.60,675.88,,,,,,2018-01-24
GND TPS(BHATINDA),1,P,110.0,0.26,0.00,74.24,10.20,,110.0,27/09/2017 08:40,,UNIT LIKELY TO BE SCRAPPED.,2018-01-24
GND TPS(BHATINDA),2,P,110.0,0.26,0.00,74.24,16.05,,110.0,25/09/2017 14:09,,UNIT LIKELY TO BE SCRAPPED.,2018-01-24
GND TPS(BHATINDA),3,P,110.0,0.32,0.00,88.68,170.21,,110.0,22/09/2017 01:02,,UNIT LIKELY TO BE SCRAPPED.,2018-01-24
GND TPS(BHATINDA),4,P,110.0,0.32,0.00,88.68,104.87,,110.0,23/09/2017 22:,,UNIT LIKELY TO BE SCRAPPED.,2018-01-24
GND TPS(BHATINDA),4,P,110.0,0.32,0.00,88.68,104.87,,110.0,35,,UNIT LIKELY TO BE SCRAPPED.,2018-01-24
ROPAR TPS,1,P,210.0,2.03,0.00,614.72,144.09,,210.0,28/12/2017 00:40,,UNIT LIKELY TO BE SCRAPPED.,2018-01-24
ROPAR TPS,2,P,210.0,2.03,0.00,614.72,272.97,,210.0,25/12/2017 22:50,,UNIT LIKELY TO BE SCRAPPED.,2018-01-24
ROPAR TPS,3,L,210.0,1.81,0.00,531.44,280.34,,210.0,17/10/2017 23:20,,RSD/LOW SCHEDULE,2018-01-24
ROPAR TPS,4,L,210.0,2.03,0.00,614.72,366.40,,210.0,18/10/2017 19:25,,RSD/LOW SCHEDULE,2018-01-24
ROPAR TPS,5,S,210.0,1.81,0.00,531.44,435.09,,210.0,15/01/2018 18:20,,AIR PREHEATERS PROBLEM,2018-01-24
ROPAR TPS,6,,210.0,1.81,4.18,531.44,365.28,,,,,,2018-01-24
ANANDPUR SAHIB HPS,,,134.00,1.19,0.76,602.56,544.54,,,,,,2018-01-24
GANGUWAL  HPS,,,77.65,1.23,1.07,345.52,380.04,24.20,,,,,2018-01-24
KOTLA  HPS,,,77.65,1.32,1.80,346.68,394.26,,,,,,2018-01-24
MUKERIAN  HPS,,,207.00,3.28,3.79,884.72,984.11,,,,,,2018-01-24
RANJIT SAGAR  HPS,,,600.00,2.77,2.78,1459.48,1711.48,150.00,,,,,2018-01-24
SHANAN  HPS,,,110.00,0.39,0.36,480.36,488.77,50.00,,,,,2018-01-24
GOINDWAL SAHIB TPP,1,S,270.0,2.03,0.00,614.72,866.52,,270.0,11/01/2018 00:00,,ESP PROBLEM,2018-01-24
GOINDWAL SAHIB TPP,2,*,270.0,2.03,3.29,614.72,380.13,,,10/01/2018 00:30,"24/01/201806.55.00",FURNACE CLINKER FORMATION,2018-01-24
RAJPURA TPP,1,,700.0,12.03,14.58,3604.72,3859.04,,,,,,2018-01-24
RAJPURA TPP,2,,700.0,10.94,14.42,3277.56,3332.24,,,,,,2018-01-24
TALWANDI SABO TPP,1,,660.0,6.00,10.79,1803.00,2361.53,,,,,,2018-01-24
TALWANDI SABO TPP,2,,660.0,6.00,11.20,1803.00,2181.71,,,,,,2018-01-24
TALWANDI SABO TPP,3,,660.0,6.00,9.73,1803.00,2275.76,,,,,,2018-01-24
CHHABRA TPP,1,,250.00,4.77,5.93,1289.48,1249.10,,,,,,2018-01-24
CHHABRA TPP,2,,250.00,4.77,5.99,1289.48,1205.43,,,,,,2018-01-24
CHHABRA TPP,3,L,250.00,4.77,0.00,1334.48,1054.04,,250.0,13/12/2017 12:28,,"GENERATOR PROTECTION RELAYOPERATION PROBLEM",2018-01-24
CHHABRA TPP,4,,250.00,4.77,5.91,1289.48,1400.33,,,,,,2018-01-24
CHHABRA TPP,5,P,660.00,6.03,0.00,1621.72,939.38,,660.0,27/11/2017 18:00,,PG TEST PREPARATION,2018-01-24
GIRAL TPS,1,P,125.00,0.00,0.00,0.00,0.00,,125.0,11/07/2014 08:20,"03/06/201800.00.00",UNIT LIKELY TO BE SCRAPPED.,2018-01-24
GIRAL TPS,2,P,125.00,0.00,0.00,0.00,0.00,,125.0,27/01/2016 15:27,"12/07/201800.00.00",UNIT LIKELY TO BE SCRAPPED.,2018-01-24
KALISINDH TPS,1,,600.00,10.19,13.36,2827.56,2575.73,,,,,,2018-01-24
KALISINDH TPS,2,,600.00,10.19,13.42,2827.56,2433.35,,,,,,2018-01-24
KOTA TPS,1,,110.00,1.42,2.32,405.08,366.65,,,,,,2018-01-24
