name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,1.79,1.81,256.75000000000006,221.81,,180.0,,,,2020-08-25
PRAGATI CCGT-III,,,1500.0,10.169999999999998,7.35,1479.2500000000011,1232.9299999999998,,500.0,,,,2020-08-25
PRAGATI CCPP,,,330.4,4.55,3.6399999999999997,669.7499999999995,699.09,,104.6,,,,2020-08-25
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2020-08-25
PANIPAT TPS,,,710.0,5.58,0.0,898.4999999999995,493.32,39.0,710.0,,,,2020-08-25
PANIPAT TPS,Unit 6,L,210.0,0.0,0.0,0.0,51.9,,210.0,44035.510416666664,,RSD/LOW SCHEDULE,2020-08-25
PANIPAT TPS,Unit 7,S,250.0,2.71,0.0,434.7499999999995,208.43,,250.0,44056.330555555556,,RSD/LOW SCHEDULE,2020-08-25
PANIPAT TPS,Unit 8,S,250.0,2.87,0.0,463.7500000000001,232.99,,250.0,44062.555555555555,,RSD/LOW SCHEDULE,2020-08-25
RAJIV GANDHI TPS,,,1200.0,14.940000000000001,0.0,2118.5000000000014,586.51,53.0,1200.0,,,,2020-08-25
RAJIV GANDHI TPS,Unit 1,L,600.0,6.71,0.0,791.7500000000009,290.9,,600.0,44017.18402777778,,RSD/LOW SCHEDULE,2020-08-25
RAJIV GANDHI TPS,Unit 2,L,600.0,8.23,0.0,1326.7500000000005,295.61,,600.0,44021.993055555555,,RSD/LOW SCHEDULE,2020-08-25
YAMUNA NAGAR TPS,,,600.0,10.29,0.0,1515.249999999999,867.2,41.0,600.0,,,,2020-08-25
YAMUNA NAGAR TPS,Unit 1,S,300.0,5.42,0.0,871.499999999999,400.29,,300.0,44054.205555555556,,RSD/LOW SCHEDULE,2020-08-25
