name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,0.74,0.0,247.88,187.79000000000002,,150.0,,,,2024-12-12
PRAGATI CCGT-III,,,1500.0,11.99,0.0,2961.0799999999986,2420.44,,0.0,,,,2024-12-12
PRAGATI CCPP,,,330.4,4.210000000000001,0.0,1044.6399999999999,717.03,,330.4,,,,2024-12-12
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2024-12-12
PANIPAT TPS,,,710.0,11.219999999999999,14.61,2929.639999999999,3326.79,35.0,0.0,,,,2024-12-12
PANIPAT TPS,Unit 6, ,210.0,3.13,4.31,811.56,757.36,,0.0,,,,2024-12-12
PANIPAT TPS,Unit 7, ,250.0,4.06,5.19,1058.7199999999993,1257.25,,0.0,,,,2024-12-12
PANIPAT TPS,Unit 8, ,250.0,4.03,5.11,1059.3599999999997,1312.18,,0.0,,,,2024-12-12
RAJIV GANDHI TPS,,,1200.0,10.0,20.549999999999997,5194.0,4128.24,45.0,0.0,,,,2024-12-12
RAJIV GANDHI TPS,Unit 1, ,600.0,0.0,10.27,2576.0,2010.53,,0.0,,,,2024-12-12
RAJIV GANDHI TPS,Unit 2, ,600.0,10.0,10.28,2618.0,2117.71,,0.0,,,,2024-12-12
YAMUNA NAGAR TPS,,,600.0,11.36,0.0,2964.3200000000015,2513.88,54.0,600.0,,,,2024-12-12
YAMUNA NAGAR TPS,Unit 1,P,300.0,5.68,0.0,1482.1600000000008,1153.13,,300.0,45591.04027777778,,BOILER OVERHAUL/ ANNUAL MAINTENANCE,2024-12-12
YAMUNA NAGAR TPS,Unit 2,S,300.0,5.68,0.0,1482.1600000000008,1360.75,,300.0,45629.625,,WATER WALL TUBE LEAKAGE,2024-12-12
MAHATMA GANDHI TPS,,,1320.0,23.65,22.78,6168.800000000001,5682.07,25.0,0.0,,,,2024-12-12
MAHATMA GANDHI TPS,Unit 1, ,660.0,12.71,11.35,3311.5200000000004,2733.6,,0.0,,,,2024-12-12
MAHATMA GANDHI TPS,Unit 2, ,660.0,10.94,11.43,2857.2800000000007,2948.47,,0.0,,,,2024-12-12
INDIRA GANDHI STPP,,,1500.0,23.28,26.61,6032.78,6350.24,44.0,0.0,,,,2024-12-12
INDIRA GANDHI STPP,Unit 1, ,500.0,7.86,8.89,2002.739999999999,2103.46,,0.0,,,,2024-12-12
INDIRA GANDHI STPP,Unit 2, ,500.0,7.71,8.85,2015.5200000000004,2120.18,,0.0,,,,2024-12-12
INDIRA GANDHI STPP,Unit 3, ,500.0,7.71,8.87,2014.5200000000004,2126.6,,0.0,,,,2024-12-12
FARIDABAD CCPP,,,431.59,0.42000000000000004,0.0,110.04000000000002,215.37,,275.52,,,,2024-12-12
BASSI  HPS,,,66.0,0.26,0.31,268.1199999999999,292.12,,16.5,,,,2024-12-12
GIRI BATA HPS,,,60.0,0.26,0.23,146.1199999999999,127.55,,0.0,,,,2024-12-12
KASHANG INTEGRATED HEP,,,195.0,0.16,0.17,168.91999999999996,215.56,,65.0,,,,2024-12-12
LARJI  HPS,,,126.0,0.58,0.35000000000000003,553.9600000000005,243.42,,42.0,,,,2024-12-12
SAINJ HPS,,,100.0,0.39,0.27,358.67999999999984,388.2,,0.0,,,,2024-12-12
SANJAY HPS,,,120.0,0.77,0.6599999999999999,467.2399999999998,534.83,,0.0,,,,2024-12-12
SAWRA KUDDU HPS,,,111.0,0.39,0.31,271.67999999999984,235.5,,0.0,,,,2024-12-12
SHANAN HPS,,,110.0,0.48,0.34,415.7600000000002,462.15,,95.0,,,,2024-12-12
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2024-12-12
ALLAIN DUHANGAN  HPS,,,192.0,0.55,0.5,608.5999999999995,610.76,,96.0,,,,2024-12-12
BAJOLI HOLI HPS,,,180.0,0.68,0.59,705.1599999999994,679.78,,180.0,,,,2024-12-12
BASPA  HPS,,,300.0,1.52,1.21,1058.2399999999998,1260.75,,0.0,,,,2024-12-12
BUDHIL HPS,,,70.0,0.19,0.2,252.27999999999997,264.24,,35.0,,,,2024-12-12
CHANJU-I HPS ,,,36.0,0.16,0.09,134.91999999999996,143.65,,12.0,,,,2024-12-12
KARCHAM WANGTOO HPS,,,1045.0,5.1,3.64,3665.199999999999,4162.66,,0.0,,,,2024-12-12
MALANA  HPS,,,86.0,0.29,0.25,305.48000000000025,218.39999999999998,,43.0,,,,2024-12-12
MALANA-II  HPS,,,100.0,0.16,0.0,319.9200000000003,184.0,,50.0,,,,2024-12-12
SORANG HPS,,,100.0,0.35,0.32,365.2000000000003,364.72,,0.0,,,,2024-12-12
TIDONG HPS,,,0.0,0.35,0.0,263.2000000000003,0.0,,0.0,,,,2024-12-12
BAIRA SIUL  HPS,,,180.0,0.68,0.46,616.1599999999994,475.66999999999996,,120.0,,,,2024-12-12
