name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,0.0,0.93,0.0,86.94,,180.0,,,,2021-11-02
PRAGATI CCGT-III,,,1500.0,10.29,6.92,2202.58,2092.75,,750.0,,,,2021-11-02
PRAGATI CCPP,,,330.4,5.029999999999999,3.9400000000000004,1072.06,983.1099999999999,,0.0,,,,2021-11-02
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2021-11-02
PANIPAT TPS,,,710.0,5.51,5.47,1184.02,1157.32,2.0,460.0,,,,2021-11-02
PANIPAT TPS,Unit 6,L,210.0,0.17,0.0,35.34,0.0,,210.0,44035.510416666664,,RSD/LOW SCHEDULE,2021-11-02
PANIPAT TPS,Unit 7, ,250.0,2.67,5.47,573.3399999999999,605.26,,0.0,,,,2021-11-02
PANIPAT TPS,Unit 8,S,250.0,2.67,0.0,575.3399999999999,552.06,,250.0,44497.100694444445,,RSD/LOW SCHEDULE,2021-11-02
RAJIV GANDHI TPS,,,1200.0,13.67,11.71,2960.3399999999997,1437.8,7.0,600.0,,,,2021-11-02
RAJIV GANDHI TPS,Unit 1, ,600.0,7.1,11.71,1540.1999999999998,1437.8,,0.0,,,,2021-11-02
RAJIV GANDHI TPS,Unit 2,L,600.0,6.57,0.0,1420.1399999999999,0.0,,600.0,44092.62569444445,,RSD/LOW SCHEDULE,2021-11-02
YAMUNA NAGAR TPS,,,600.0,9.86,0.85,2131.7200000000003,1359.97,5.0,600.0,,,,2021-11-02
YAMUNA NAGAR TPS,Unit 1,L,300.0,4.93,0.0,1065.8600000000001,410.16,,300.0,44385.71944444445,,FURNACE DRAFT ABNORMAL,2021-11-02
YAMUNA NAGAR TPS,Unit 2,S,300.0,4.93,0.85,1065.8600000000001,949.81,,300.0,44502.240277777775,,WATER WALL TUBE LEAKAGE,2021-11-02
MAHATMA GANDHI TPS,,,1320.0,22.3,13.03,4708.6,4783.799999999999,3.0,660.0,,,,2021-11-02
MAHATMA GANDHI TPS,Unit 1, ,660.0,10.57,13.03,2177.1400000000003,2571.14,,0.0,,,,2021-11-02
MAHATMA GANDHI TPS,Unit 2,L,660.0,11.73,0.0,2531.46,2212.66,,660.0,44486.37569444445,,COAL SHORTAGE,2021-11-02
INDIRA GANDHI STPP,,,1500.0,9.61,22.05,2071.2200000000003,3708.41,14.0,0.0,,,,2021-11-02
INDIRA GANDHI STPP,Unit 1, ,500.0,3.47,7.38,744.94,890.17,,0.0,,,,2021-11-02
INDIRA GANDHI STPP,Unit 2, ,500.0,3.27,7.37,704.54,1441.97,,0.0,,,,2021-11-02
INDIRA GANDHI STPP,Unit 3, ,500.0,2.87,7.3,621.74,1376.27,,0.0,,,,2021-11-02
FARIDABAD CCPP,,,431.59,2.23,0.0,418.46,121.14000000000001,,431.59,,,,2021-11-02
BASSI  HPS,,,66.0,0.4,0.43,253.8,258.33,,0.0,,,,2021-11-02
GIRI BATA HPS,,,60.0,0.33,0.47,138.66000000000003,142.58,,0.0,,,,2021-11-02
KASHANG INTEGRATED HEP,,,195.0,0.13,0.28,165.26,181.04,,65.0,,,,2021-11-02
LARJI  HPS,,,126.0,0.87,1.07,511.74,458.55,,0.0,,,,2021-11-02
SAINJ HPS,,,100.0,0.43,0.64,295.86,360.65999999999997,,50.0,,,,2021-11-02
SANJAY HPS,,,120.0,0.83,1.33,400.65999999999997,530.44,,40.0,,,,2021-11-02
SAWRA KUDDU HPS,,,111.0,0.67,0.0,219.33999999999997,0.0,,0.0,,,,2021-11-02
SHANAN HPS,,,110.0,0.53,0.68,426.05999999999995,419.67,,0.0,,,,2021-11-02
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2021-11-02
ALLAIN DUHANGAN  HPS,,,192.0,0.7,0.95,606.4000000000001,543.93,,0.0,,,,2021-11-02
BAJOLI HOLI HPS,,,0.0,0.37,0.0,128.74,0.0,,0.0,,,,2021-11-02
BASPA  HPS,,,300.0,1.93,2.15,1072.8600000000001,1128.69,,0.0,,,,2021-11-02
BUDHIL HPS,,,70.0,0.27,0.31,239.54000000000002,238.70999999999998,,70.0,,,,2021-11-02
CHANJU-I HPS ,,,36.0,0.2,0.21,127.4,123.04,,0.0,,,,2021-11-02
