name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,0.95,0.98,231.05000000000018,185.15,,150.0,,,,2024-11-19
PRAGATI CCGT-III,,,1500.0,8.079999999999998,0.0,2718.1799999999994,2419.16,,0.0,,,,2024-11-19
PRAGATI CCPP,,,330.4,2.77,0.0,981.6299999999997,717.02,,330.4,,,,2024-11-19
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2024-11-19
PANIPAT TPS,,,710.0,11.24,9.89,2671.560000000002,3025.0299999999997,45.0,210.0,,,,2024-11-19
PANIPAT TPS,Unit 6,L,210.0,3.1,0.0,739.9000000000004,688.31,,210.0,45579.8125,,RSD/LOW SCHEDULE,2024-11-19
PANIPAT TPS,Unit 7, ,250.0,4.07,4.94,965.330000000001,1139.84,,0.0,,,,2024-11-19
PANIPAT TPS,Unit 8, ,250.0,4.07,4.95,966.330000000001,1196.88,,0.0,,,,2024-11-19
RAJIV GANDHI TPS,,,1200.0,10.07,9.24,4963.270000000004,3877.69,45.0,600.0,,,,2024-11-19
RAJIV GANDHI TPS,Unit 1,L,600.0,0.0,0.0,2575.9400000000005,1917.77,,600.0,45597.43194444444,,RESERVE SHUT DOWN / STANDBY UNIT,2024-11-19
RAJIV GANDHI TPS,Unit 2, ,600.0,10.07,9.24,2387.330000000003,1959.92,,0.0,,,,2024-11-19
YAMUNA NAGAR TPS,,,600.0,11.14,5.06,2705.6599999999976,2449.19,39.0,300.0,,,,2024-11-19
YAMUNA NAGAR TPS,Unit 1,P,300.0,5.57,0.0,1352.8299999999988,1153.14,,300.0,45591.04027777778,,BOILER OVERHAUL/ ANNUAL MAINTENANCE,2024-11-19
YAMUNA NAGAR TPS,Unit 2, ,300.0,5.57,5.06,1352.8299999999988,1296.05,,0.0,,,,2024-11-19
MAHATMA GANDHI TPS,,,1320.0,23.43,20.9,5627.169999999996,5351.12,31.0,0.0,,,,2024-11-19
MAHATMA GANDHI TPS,Unit 1, ,660.0,12.43,10.43,3022.169999999997,2627.72,,0.0,,,,2024-11-19
MAHATMA GANDHI TPS,Unit 2, ,660.0,11.0,10.47,2605.0,2723.4,,0.0,,,,2024-11-19
INDIRA GANDHI STPP,,,1500.0,23.419999999999998,24.160000000000004,5550.980000000001,5851.1,34.0,0.0,,,,2024-11-19
INDIRA GANDHI STPP,Unit 1, ,500.0,7.88,8.01,1876.720000000002,1967.96,,0.0,,,,2024-11-19
INDIRA GANDHI STPP,Unit 2, ,500.0,7.77,8.09,1837.6299999999997,1928.7,,0.0,,,,2024-11-19
INDIRA GANDHI STPP,Unit 3, ,500.0,7.77,8.06,1836.6299999999997,1954.44,,0.0,,,,2024-11-19
FARIDABAD CCPP,,,431.59,0.39,0.0,100.41000000000003,215.37,,431.59,,,,2024-11-19
BASSI  HPS,,,66.0,0.43,0.3,260.17000000000013,286.24,,0.0,,,,2024-11-19
GIRI BATA HPS,,,60.0,0.33,0.24,139.27000000000024,123.15,,0.0,,,,2024-11-19
KASHANG INTEGRATED HEP,,,195.0,0.2,0.22,164.79999999999978,211.3,,0.0,,,,2024-11-19
LARJI  HPS,,,126.0,0.77,0.68,538.6299999999997,234.0,,42.0,,,,2024-11-19
SAINJ HPS,,,100.0,0.57,0.41000000000000003,347.82999999999987,379.93,,0.0,,,,2024-11-19
SANJAY HPS,,,120.0,1.17,0.78,445.2300000000003,520.47,,0.0,,,,2024-11-19
SAWRA KUDDU HPS,,,111.0,0.53,0.37,261.06999999999977,227.85,,0.0,,,,2024-11-19
SHANAN HPS,,,110.0,0.67,0.55,402.7300000000003,452.39,,50.0,,,,2024-11-19
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2024-11-19
