name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,1,L,67.5,0.00,0.00,0.00,0.00,,67.5,08/05/2015 13:40,,RSD/LOW SCHEDULE,2018-01-23
RAJGHAT TPS,2,L,67.5,0.00,0.00,0.00,0.00,,67.5,21/05/2015 10:20,,RSD/LOW SCHEDULE,2018-01-23
I.P.CCPP,,,270.00,1.99,0.97,576.77,486.50,,,,,,2018-01-23
PRAGATI CCGT-III,,,1500.00,6.06,11.09,1797.38,2442.01,,,,,,2018-01-23
PRAGATI CCPP,,,330.40,5.45,6.66,1633.35,1622.44,,,,,,2018-01-23
RITHALA CCPP,,,108.00,0.0,0.00,0.00,0.00,108.00,,,,,2018-01-23
BADARPUR TPS,1,L,95.0,0.00,0.00,0.00,0.00,,95.0,17/10/2014 18:16,,POLLUTION PROBLEM,2018-01-23
BADARPUR TPS,2,L,95.0,0.00,0.00,0.00,0.00,,95.0,24/09/2015 19:52,,POLLUTION PROBLEM,2018-01-23
BADARPUR TPS,3,L,95.0,0.00,0.00,0.00,0.00,,95.0,09/10/2015 19:52,,POLLUTION PROBLEM,2018-01-23
BADARPUR TPS,4,L,210.0,0.00,0.00,818.37,717.84,,210.0,16/10/2017 23:32,,POLLUTION PROBLEM,2018-01-23
BADARPUR TPS,5,L,210.0,2.90,0.00,806.70,839.13,,210.0,16/10/2017 23:59,,POLLUTION PROBLEM,2018-01-23
PANIPAT TPS,,,920.00,4.65,0.00,1399.95,2008.87,9,920.00,,,,2018-01-23
PANIPAT TPS,5,L,210.0,0.00,0.00,0.00,76.06,,210.0,15/10/2017 01:,,"RESERVE SHUT DOWN / STANDBYUNIT",2018-01-23
PANIPAT TPS,5,L,210.0,0.00,0.00,0.00,76.06,,210.0,02,,"RESERVE SHUT DOWN / STANDBYUNIT",2018-01-23
PANIPAT TPS,6,S,210.0,0.00,0.00,0.00,273.11,,210.0,09/01/2018 20:22,,"RESERVE SHUT DOWN / STANDBYUNIT",2018-01-23
PANIPAT TPS,7,L,250.0,2.19,0.00,654.37,1047.27,,250.0,28/12/2017 05:04,,WATER WALL TUBE LEAKAGE,2018-01-23
PANIPAT TPS,8,S,250.0,2.46,0.00,745.58,612.43,,250.0,19/01/2018 07:28,,RSD/LOW SCHEDULE,2018-01-23
RAJIV GANDHI TPS,1,,600.0,7.58,9.45,1992.34,1604.49,,,,,,2018-01-23
RAJIV GANDHI TPS,2,S,600.0,6.84,8.76,2037.32,1787.18,,,23/01/2018 21:54,,RSD/LOW SCHEDULE,2018-01-23
YAMUNA NAGAR TPS,1,,300.0,4.94,6.00,1470.62,1390.54,,,,,,2018-01-23
YAMUNA NAGAR TPS,2,,300.0,4.94,5.99,1470.62,1597.38,,,,,,2018-01-23
MAHATMA GANDHI TPS,1,,660.0,6.03,11.07,1707.69,2921.60,,,,,,2018-01-23
MAHATMA GANDHI TPS,2,,660.0,5.97,11.09,1600.31,2725.54,,,,,,2018-01-23
INDIRA GANDHI STPP,1,S,500.0,0.00,0.00,1563.38,2202.29,,500.0,08/01/2018 00:32,,COAL SHORTAGE,2018-01-23
INDIRA GANDHI STPP,2,,500.0,4.97,7.92,1472.31,1875.27,,,,,,2018-01-23
INDIRA GANDHI STPP,3,,500.0,4.87,8.11,1460.01,2090.10,,,,,,2018-01-23
FARIDABAD CCPP,,,431.59,3.42,0.00,1020.66,689.12,137.76,,,,,2018-01-23
BASSI  HPS,,,66.00,0.29,0.21,280.67,303.48,33.00,,,,,2018-01-23
BHAKRA H  P S,,,1325.00,10.23,12.82,3942.29,4290.84,265.00,,,,,2018-01-23
DEHAR H P S,,,990.00,2.94,2.66,2618.62,2900.57,495.00,,,,,2018-01-23
GIRI BATA HPS,,,60.00,0.32,0.20,167.36,157.93,30.00,,,,,2018-01-23
KASHANG INTEGRATED HEP,,,195.0,0.26,0.14,229.98,188.93,65.0,,,,,2018-01-23
LARJI  HPS,,,126.0,0.48,0.55,544.04,575.92,42.0,,,,,2018-01-23
PONG H P S,,,396.0,2.26,4.39,802.98,1313.36,,,,,,2018-01-23
SAINJ HPS,,,100.0,0.13,0.23,291.99,115.21,,,,,,2018-01-23
