name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,1,L,67.5,0.00,0.00,0.00,0.00,,67.5,08/05/2015 13:40,,RSD/LOW SCHEDULE,2017-10-10
RAJGHAT TPS,2,L,67.5,0.00,0.00,0.00,0.00,,67.5,21/05/2015 10:20,,RSD/LOW SCHEDULE,2017-10-10
I.P.CCPP,,,270.00,2.07,3.68,371.70,343.56,,,,,,2017-10-10
PRAGATI CCGT-III,,,1500.00,6.12,11.95,1159.20,1629.49,,,,,,2017-10-10
PRAGATI CCPP,,,330.40,5.45,6.72,1059.50,946.30,,,,,,2017-10-10
RITHALA CCPP,,,108.00,0.0,0.00,0.00,0.00,108.00,,,,,2017-10-10
BADARPUR TPS,1,L,95.0,0.00,0.00,0.00,0.00,,95.0,17/10/2014 18:16,,POLLUTION PROBLEM,2017-10-10
BADARPUR TPS,2,L,95.0,0.00,0.00,0.00,0.00,,95.0,24/09/2015 19:52,,POLLUTION PROBLEM,2017-10-10
BADARPUR TPS,3,L,95.0,0.00,0.00,0.00,0.00,,95.0,09/10/2015 19:52,,POLLUTION PROBLEM,2017-10-10
BADARPUR TPS,4,,210.0,2.90,3.90,560.00,694.70,,,,,,2017-10-10
BADARPUR TPS,5,,210.0,2.90,3.97,560.00,815.18,,,,,,2017-10-10
PANIPAT TPS,,,920.00,4.71,5.56,908.10,1428.80,0,460.00,,,,2017-10-10
PANIPAT TPS,5,,210.0,0.00,0.00,0.00,69.52,,,,,,2017-10-10
PANIPAT TPS,6,S,210.0,0.00,0.00,0.00,176.15,,210.0,08/10/2017 21:,15/10/2017,WATER WALL TUBE LEAKAGE,2017-10-10
PANIPAT TPS,6,S,210.00,0.00,0.00,0.00,176.15,,210.0,59,00.00.00,WATER WALL TUBE LEAKAGE,2017-10-10
PANIPAT TPS,7,,250.00,2.19,5.56,423.90,772.07,,,,,,2017-10-10
PANIPAT TPS,8,L,250.00,2.52,0.00,484.20,411.06,,250.0,22/09/2017 17:14,,RSD/LOW SCHEDULE,2017-10-10
RAJIV GANDHI TPS,1,,600.00,7.60,11.31,1462.00,1020.10,,,,,,2017-10-10
RAJIV GANDHI TPS,2,,600.00,6.84,11.23,1319.40,1276.74,,,,,,2017-10-10
