name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,0.0,0.92,0.0,217.39000000000001,,180.0,,,,2022-03-27
PRAGATI CCGT-III,,,1500.0,10.25,7.83,3559.2499999999955,3166.7700000000004,,750.0,,,,2022-03-27
PRAGATI CCPP,,,330.4,3.36,4.78,1686.52,1506.37,,104.6,,,,2022-03-27
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2022-03-27
PANIPAT TPS,,,710.0,5.46,15.650000000000002,1978.4199999999987,2688.59,10.0,0.0,,,,2022-03-27
PANIPAT TPS,Unit 6, ,210.0,0.16,4.38,59.31999999999991,177.33,,0.0,,,,2022-03-27
PANIPAT TPS,Unit 7, ,250.0,2.65,5.65,959.5499999999994,1360.3,,0.0,,,,2022-03-27
PANIPAT TPS,Unit 8, ,250.0,2.65,5.62,959.5499999999994,1150.96,,0.0,,,,2022-03-27
RAJIV GANDHI TPS,,,1200.0,13.71,6.42,4945.170000000001,2602.69,25.0,600.0,,,,2022-03-27
RAJIV GANDHI TPS,Unit 1,*,600.0,7.13,6.42,2571.510000000003,2602.69,,0.0,44644.37013888889,27/03/2022 09:50:00,WATER WALL TUBE LEAKAGE,2022-03-27
RAJIV GANDHI TPS,Unit 2,L,600.0,6.58,0.0,2373.659999999998,0.0,,600.0,44092.62569444445,,RSD/LOW SCHEDULE,2022-03-27
YAMUNA NAGAR TPS,,,600.0,9.84,13.57,3560.680000000004,2553.01,6.0,0.0,,,,2022-03-27
YAMUNA NAGAR TPS,Unit 1, ,300.0,4.94,6.75,1780.3800000000015,984.44,,0.0,,,,2022-03-27
YAMUNA NAGAR TPS,Unit 2, ,300.0,4.9,6.82,1780.3000000000025,1568.57,,0.0,,,,2022-03-27
MAHATMA GANDHI TPS,,,1320.0,10.55,8.52,7445.850000000005,7754.98,33.0,1320.0,,,,2022-03-27
MAHATMA GANDHI TPS,Unit 1,S,660.0,10.55,8.52,3707.850000000005,4171.05,,660.0,44647.683333333334,31/03/2022,TURBINE CONTROL VALVE PROBLEM,2022-03-27
MAHATMA GANDHI TPS,Unit 2,P,660.0,0.0,0.0,3738.0,3583.93,,660.0,44614.98541666667,,SCHEDULED CAPITAL MAINTENANCE,2022-03-27
INDIRA GANDHI STPP,,,1500.0,9.58,30.6,3461.6600000000008,6923.38,11.0,0.0,,,,2022-03-27
INDIRA GANDHI STPP,Unit 1, ,500.0,3.45,10.18,1246.1500000000012,2034.16,,0.0,,,,2022-03-27
INDIRA GANDHI STPP,Unit 2, ,500.0,3.26,10.21,1177.0199999999998,2646.56,,0.0,,,,2022-03-27
INDIRA GANDHI STPP,Unit 3, ,500.0,2.87,10.21,1038.4899999999996,2242.66,,0.0,,,,2022-03-27
FARIDABAD CCPP,,,431.59,2.23,0.0,741.2100000000005,120.42000000000002,,431.59,,,,2022-03-27
BASSI  HPS,,,66.0,0.58,1.01,301.65999999999957,314.08000000000004,,0.0,,,,2022-03-27
GIRI BATA HPS,,,60.0,0.26,0.36,179.01999999999975,226.63,,0.0,,,,2022-03-27
KASHANG INTEGRATED HEP,,,195.0,0.13,0.23,184.50999999999988,209.04999999999998,,65.0,,,,2022-03-27
LARJI  HPS,,,126.0,0.65,1.35,616.5499999999994,574.09,,0.0,,,,2022-03-27
SAINJ HPS,,,100.0,0.23,0.51,339.2100000000005,422.79999999999995,,0.0,,,,2022-03-27
SANJAY HPS,,,120.0,0.58,0.87,497.65999999999957,638.14,,40.0,,,,2022-03-27
SAWRA KUDDU HPS,,,111.0,0.39,0.42,294.52999999999963,18.36,,0.0,,,,2022-03-27
SHANAN HPS,,,110.0,0.71,1.82,499.16999999999945,512.28,,0.0,,,,2022-03-27
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2022-03-27
ALLAIN DUHANGAN  HPS,,,192.0,0.39,1.1600000000000001,674.5299999999996,631.88,,0.0,,,,2022-03-27
BAJOLI HOLI HPS,,,0.0,2.29,0.0,263.82999999999987,0.0,,0.0,,,,2022-03-27
BASPA  HPS,,,300.0,1.42,1.35,1294.340000000002,1313.35,,0.0,,,,2022-03-27
BUDHIL HPS,,,70.0,0.23,0.4,269.2100000000005,249.78000000000003,,35.0,,,,2022-03-27
CHANJU-I HPS ,,,36.0,0.29,0.27,156.82999999999979,145.52,,0.0,,,,2022-03-27
KARCHAM WANGTOO HPS,,,1045.0,4.45,4.92,4113.149999999995,4218.24,,0.0,,,,2022-03-27
MALANA  HPS,,,86.0,0.26,0.47,343.01999999999975,313.43,,0.0,,,,2022-03-27
MALANA-II  HPS,,,100.0,0.23,0.54,366.2100000000005,348.36,,0.0,,,,2022-03-27
SORANG HPS,,,100.0,0.48,0.46,36.95999999999997,55.489999999999995,,0.0,,,,2022-03-27
TIDONG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2022-03-27
BAIRA SIUL  HPS,,,180.0,2.29,2.92,640.829999999999,575.3299999999999,,60.0,,,,2022-03-27
BHAKRA LEFT HPS,,,612.0,4.1,5.04,1831.6999999999975,2174.72,,252.0,,,,2022-03-27
BHAKRA RIGHT HPS,,,785.0,3.97,3.6999999999999997,2686.1899999999946,2147.03,,0.0,,,,2022-03-27
CHAMERA-I HPS,,,540.0,4.77,4.39,2440.7899999999995,1879.1499999999999,,0.0,,,,2022-03-27
CHAMERA-II HPS,,,300.0,3.32,2.73,1436.6399999999983,1343.67,,100.0,,,,2022-03-27
CHAMERA-III HPS,,,231.0,1.55,2.15,1043.8499999999988,992.88,,0.0,,,,2022-03-27
DEHAR HPS,,,990.0,5.39,6.33,2928.5299999999966,3076.3999999999996,,330.0,,,,2022-03-27
KOLDAM,,,800.0,2.97,3.2499999999999996,3088.1899999999946,3103.36,,0.0,,,,2022-03-27
NATHPA JHAKRI HPS,,,1500.0,6.94,9.14,7076.379999999989,7020.469999999999,,750.0,,,,2022-03-27
PARBATI-II HPS,,,0.0,0.71,0.0,447.16999999999945,0.0,,0.0,,,,2022-03-27
PARBATI-III HPS,,,520.0,0.9,0.81,806.2999999999994,609.12,,0.0,,,,2022-03-27
PONG HPS,,,396.0,2.55,0.21,1139.8499999999988,1102.12,,330.0,,,,2022-03-27
RAMPUR HPS,,,412.02000000000004,1.94,2.6100000000000003,1969.3800000000015,1967.1000000000001,,0.0,,,,2022-03-27
PAMPORE GPS (Liq.),,,175.0,0.0,0.0,0.0,0.0,,175.0,,,,2022-03-27
BAGLIHAR  HPS,,,450.0,4.52,7.84,2518.0399999999995,2656.55,,0.0,,,,2022-03-27
BAGLIHAR II  HPS,,,450.0,0.0,0.1,1450.0,1564.46,,150.0,,,,2022-03-27
LOWER JHELUM  HPS,,,105.0,1.87,1.22,583.4900000000001,597.65,,35.0,,,,2022-03-27
UPPER SINDH-II HPS,,,105.0,0.29,0.26,308.83000000000055,245.03,,0.0,,,,2022-03-27
DULHASTI  HPS,,,390.0,3.13,3.8600000000000003,2247.510000000003,2196.6400000000003,,0.0,,,,2022-03-27
KISHANGANGA HPS,,,330.0,5.26,7.949999999999999,1664.0199999999998,1474.9299999999998,,0.0,,,,2022-03-27
SALAL HPS,,,690.0,6.55,7.15,3573.850000000005,3454.5999999999995,,115.0,,,,2022-03-27
SEWA-II HPS,,,120.0,2.16,2.88,116.31999999999991,51.760000000000005,,0.0,,,,2022-03-27
URI-I HPS,,,480.0,10.32,11.399999999999999,2908.6400000000044,2991.11,,0.0,,,,2022-03-27
URI-II HPS,,,240.0,4.68,5.86,1551.3600000000017,1626.15,,0.0,,,,2022-03-27
CHUTAK HPS,,,44.0,0.26,0.14,208.01999999999975,169.92000000000002,,22.0,,,,2022-03-27
NIMMO BAZGO HPS,,,45.0,0.48,0.41000000000000003,232.95999999999972,233.76,,15.0,,,,2022-03-27
GH TPS (LEH.MOH.),,,920.0,6.58,21.02,2973.660000000004,1922.3500000000001,26.0,0.0,,,,2022-03-27
GH TPS (LEH.MOH.),Unit 1, ,210.0,1.94,4.97,692.3800000000015,573.54,,0.0,,,,2022-03-27
GH TPS (LEH.MOH.),Unit 2, ,210.0,0.0,4.7,700.0,238.63,,0.0,,,,2022-03-27
GH TPS (LEH.MOH.),Unit 3, ,250.0,2.32,5.54,790.6400000000014,615.77,,0.0,,,,2022-03-27
GH TPS (LEH.MOH.),Unit 4, ,250.0,2.32,5.81,790.6400000000014,494.41,,0.0,,,,2022-03-27
ROPAR TPS,,,840.0,8.06,13.89,2847.6199999999985,1678.07,24.0,210.0,,,,2022-03-27
ROPAR TPS,Unit 3, ,210.0,2.0,4.44,727.0,273.78,,0.0,,,,2022-03-27
ROPAR TPS,Unit 4, ,210.0,2.0,4.64,727.0,580.68,,0.0,,,,2022-03-27
ROPAR TPS,Unit 5,P,210.0,2.0,0.0,667.0,331.81,,210.0,44630.0,,SCHEDULED ANNUAL MAINTENANCE,2022-03-27
ROPAR TPS,Unit 6, ,210.0,2.06,4.81,726.6199999999985,491.8,,0.0,,,,2022-03-27
ANANDPUR SAHIB-I HPS ,,,67.0,0.97,0.0,348.19000000000074,197.31,,0.0,,,,2022-03-27
