name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,1.2000000000000002,1.72,36.0,34.650000000000006,,180.0,,,,2022-04-30
PRAGATI CCGT-III,,,1500.0,11.969999999999999,24.79,349.0,363.0,,750.0,,,,2022-04-30
PRAGATI CCPP,,,330.4,4.9399999999999995,6.79,148.0,152.06,,0.0,,,,2022-04-30
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2022-04-30
PANIPAT TPS,,,710.0,7.77,16.04,233.0,463.2900000000001,4.0,0.0,,,,2022-04-30
PANIPAT TPS,Unit 6, ,210.0,1.37,4.4,41.0,130.62,,0.0,,,,2022-04-30
PANIPAT TPS,Unit 7, ,250.0,2.97,6.0,89.0,169.47,,0.0,,,,2022-04-30
PANIPAT TPS,Unit 8, ,250.0,3.43,5.64,103.0,163.20000000000002,,0.0,,,,2022-04-30
RAJIV GANDHI TPS,,,1200.0,17.56,14.14,527.0,346.82,20.0,600.0,,,,2022-04-30
RAJIV GANDHI TPS,Unit 1, ,600.0,10.43,14.14,313.0,346.82,,0.0,,,,2022-04-30
RAJIV GANDHI TPS,Unit 2,P,600.0,7.13,0.0,214.0,0.0,,600.0,44092.62569444445,,CAPITAL MAINTENANCE,2022-04-30
YAMUNA NAGAR TPS,,,600.0,11.86,14.379999999999999,356.0,385.77,5.0,0.0,,,,2022-04-30
YAMUNA NAGAR TPS,Unit 1, ,300.0,5.93,7.17,178.0,183.87999999999997,,0.0,,,,2022-04-30
YAMUNA NAGAR TPS,Unit 2, ,300.0,5.93,7.21,178.0,201.89,,0.0,,,,2022-04-30
MAHATMA GANDHI TPS,,,1320.0,24.02,21.71,496.0,591.34,18.0,0.0,,,,2022-04-30
MAHATMA GANDHI TPS,Unit 1, ,660.0,12.2,10.86,366.0,453.95,,0.0,,,,2022-04-30
MAHATMA GANDHI TPS,Unit 2, ,660.0,11.82,10.85,130.0,137.39000000000001,,0.0,,,,2022-04-30
INDIRA GANDHI STPP,,,1500.0,10.84,34.91,325.0,973.9200000000001,8.0,0.0,,,,2022-04-30
INDIRA GANDHI STPP,Unit 1, ,500.0,0.0,11.73,0.0,291.18,,0.0,,,,2022-04-30
INDIRA GANDHI STPP,Unit 2, ,500.0,5.77,11.54,173.0,341.0100000000001,,0.0,,,,2022-04-30
INDIRA GANDHI STPP,Unit 3, ,500.0,5.07,11.64,152.0,341.72999999999996,,0.0,,,,2022-04-30
FARIDABAD CCPP,,,431.59,0.94,0.0,20.0,0.1,,431.59,,,,2022-04-30
BASSI  HPS,,,66.0,1.0,1.08,30.0,31.42,,16.5,,,,2022-04-30
GIRI BATA HPS,,,60.0,0.3,0.12,9.0,5.94,,30.0,,,,2022-04-30
KASHANG INTEGRATED HEP,,,195.0,0.0,0.55,0.0,12.379999999999997,,130.0,,,,2022-04-30
LARJI  HPS,,,126.0,1.4,1.5499999999999998,42.0,51.64000000000001,,0.0,,,,2022-04-30
SAINJ HPS,,,100.0,0.52,0.8999999999999999,15.5,26.33,,0.0,,,,2022-04-30
SANJAY HPS,,,120.0,1.33,2.53,40.0,54.019999999999996,,0.0,,,,2022-04-30
SAWRA KUDDU HPS,,,111.0,0.47,0.8500000000000001,14.0,22.28,,0.0,,,,2022-04-30
SHANAN HPS,,,110.0,1.47,1.79,44.0,61.14,,0.0,,,,2022-04-30
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2022-04-30
ALLAIN DUHANGAN  HPS,,,192.0,1.07,1.71,32.0,47.019999999999996,,96.0,,,,2022-04-30
BAJOLI HOLI HPS,,,180.0,2.67,0.0,80.0,0.0,,0.0,,,,2022-04-30
BASPA  HPS,,,300.0,1.73,3.42,52.0,69.92999999999999,,0.0,,,,2022-04-30
BUDHIL HPS,,,70.0,0.83,0.62,25.0,18.050000000000004,,0.0,,,,2022-04-30
CHANJU-I HPS ,,,36.0,0.33,0.29,10.0,9.899999999999999,,0.0,,,,2022-04-30
KARCHAM WANGTOO HPS,,,1045.0,7.93,8.129999999999999,238.0,220.24,,0.0,,,,2022-04-30
MALANA  HPS,,,86.0,0.6,0.63,18.0,18.61,,0.0,,,,2022-04-30
MALANA-II  HPS,,,100.0,0.4,0.6799999999999999,12.0,20.650000000000002,,50.0,,,,2022-04-30
SORANG HPS,,,100.0,0.97,0.96,29.0,23.7,,0.0,,,,2022-04-30
TIDONG HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2022-04-30
BAIRA SIUL  HPS,,,180.0,2.33,2.04,70.0,73.81,,60.0,,,,2022-04-30
BHAKRA LEFT HPS,,,612.0,4.07,7.09,122.0,133.62,,126.0,,,,2022-04-30
BHAKRA RIGHT HPS,,,785.0,5.37,5.720000000000001,161.0,147.10999999999999,,0.0,,,,2022-04-30
CHAMERA-I HPS,,,540.0,6.67,5.739999999999999,200.0,174.96000000000004,,0.0,,,,2022-04-30
CHAMERA-II HPS,,,300.0,4.33,4.46,130.0,126.79999999999998,,200.0,,,,2022-04-30
CHAMERA-III HPS,,,231.0,2.17,3.39,65.0,94.77999999999997,,77.0,,,,2022-04-30
DEHAR HPS,,,990.0,7.03,7.42,211.0,242.70999999999998,,330.0,,,,2022-04-30
KOLDAM,,,800.0,4.44,5.420000000000001,133.28,153.68,,0.0,,,,2022-04-30
NATHPA JHAKRI HPS,,,1500.0,8.33,16.060000000000002,250.0,425.66999999999996,,750.0,,,,2022-04-30
PARBATI-II HPS,,,0.0,0.37,0.0,11.0,0.0,,0.0,,,,2022-04-30
PARBATI-III HPS,,,520.0,0.83,1.03,25.0,34.970000000000006,,130.0,,,,2022-04-30
PONG HPS,,,396.0,1.53,0.33,46.0,23.639999999999997,,330.0,,,,2022-04-30
RAMPUR HPS,,,412.02000000000004,2.37,4.58,71.0,120.89000000000001,,0.0,,,,2022-04-30
PAMPORE GPS (Liq.),,,175.0,0.0,0.0,0.0,0.0,,175.0,,,,2022-04-30
BAGLIHAR  HPS,,,450.0,7.37,7.2,221.0,204.3499999999999,,0.0,,,,2022-04-30
BAGLIHAR II  HPS,,,450.0,0.0,5.88,0.0,95.11000000000001,,150.0,,,,2022-04-30
LOWER JHELUM  HPS,,,105.0,2.2,1.22,66.0,36.59999999999999,,35.0,,,,2022-04-30
UPPER SINDH-II HPS,,,105.0,0.83,0.26,25.0,7.799999999999995,,0.0,,,,2022-04-30
DULHASTI  HPS,,,390.0,6.13,9.09,184.0,216.91,,130.0,,,,2022-04-30
KISHANGANGA HPS,,,330.0,7.4,8.05,222.0,233.21000000000004,,0.0,,,,2022-04-30
SALAL HPS,,,690.0,9.67,10.91,290.0,255.59999999999997,,115.0,,,,2022-04-30
SEWA-II HPS,,,120.0,1.73,1.26,52.0,54.04,,0.0,,,,2022-04-30
URI-I HPS,,,480.0,10.77,11.35,323.0,344.95,,0.0,,,,2022-04-30
URI-II HPS,,,240.0,4.4,1.5700000000000003,132.0,171.03,,0.0,,,,2022-04-30
