name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,0.9299999999999999,0.98,266.79,203.36,,150.0,,,,2025-01-03
PRAGATI CCGT-III,,,1500.0,11.59,0.0,3223.7700000000004,2436.07,,0.0,,,,2025-01-03
PRAGATI CCPP,,,330.4,4.12,0.0,1137.3600000000001,717.03,,330.4,,,,2025-01-03
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2025-01-03
PANIPAT TPS,,,710.0,10.8,10.35,3175.4000000000005,3614.88,37.0,210.0,,,,2025-01-03
PANIPAT TPS,Unit 6,S,210.0,3.0,0.0,880.0,820.62,,210.0,45653.850694444445,,RSD/LOW SCHEDULE,2025-01-03
PANIPAT TPS,Unit 7, ,250.0,3.9,5.22,1147.7000000000003,1370.85,,0.0,,,,2025-01-03
PANIPAT TPS,Unit 8, ,250.0,3.9,5.13,1147.7000000000003,1423.41,,0.0,,,,2025-01-03
RAJIV GANDHI TPS,,,1200.0,9.65,10.53,5412.950000000001,4501.71,41.0,600.0,,,,2025-01-03
RAJIV GANDHI TPS,Unit 1,S,600.0,0.0,0.0,2576.0,2163.25,,600.0,45654.375,,RESERVE SHUT DOWN / STANDBY UNIT,2025-01-03
RAJIV GANDHI TPS,Unit 2, ,600.0,9.65,10.53,2836.9500000000003,2338.46,,0.0,,,,2025-01-03
YAMUNA NAGAR TPS,,,600.0,10.96,0.0,3212.88,2513.8500000000004,69.0,600.0,,,,2025-01-03
YAMUNA NAGAR TPS,Unit 1,P,300.0,5.48,0.0,1606.44,1153.13,,300.0,45591.04027777778,,BOILER OVERHAUL/ ANNUAL MAINTENANCE,2025-01-03
YAMUNA NAGAR TPS,Unit 2,L,300.0,5.48,0.0,1606.44,1360.72,,300.0,45629.625,,WATER WALL TUBE LEAKAGE,2025-01-03
MAHATMA GANDHI TPS,,,1320.0,22.84,23.72,6686.52,6189.64,20.0,0.0,,,,2025-01-03
MAHATMA GANDHI TPS,Unit 1, ,660.0,12.29,11.92,3589.87,2987.07,,0.0,,,,2025-01-03
MAHATMA GANDHI TPS,Unit 2, ,660.0,10.55,11.8,3096.6500000000005,3202.57,,0.0,,,,2025-01-03
INDIRA GANDHI STPP,,,1500.0,22.42,25.910000000000004,6542.26,6899.31,38.0,0.0,,,,2025-01-03
INDIRA GANDHI STPP,Unit 1, ,500.0,7.58,8.56,2174.74,2291.52,,0.0,,,,2025-01-03
INDIRA GANDHI STPP,Unit 2, ,500.0,7.42,8.68,2184.26,2291.59,,0.0,,,,2025-01-03
INDIRA GANDHI STPP,Unit 3, ,500.0,7.42,8.67,2183.26,2316.2,,0.0,,,,2025-01-03
FARIDABAD CCPP,,,431.59,0.42000000000000004,0.0,119.26,215.37,,293.83,,,,2025-01-03
BASSI  HPS,,,66.0,0.26,0.13,273.78,295.04999999999995,,0.0,,,,2025-01-03
GIRI BATA HPS,,,60.0,0.29,0.27,151.86999999999998,133.14,,0.0,,,,2025-01-03
KASHANG INTEGRATED HEP,,,195.0,0.13,0.17,172.39,219.14999999999998,,65.0,,,,2025-01-03
LARJI  HPS,,,126.0,0.48,0.33999999999999997,566.44,249.69,,42.0,,,,2025-01-03
SAINJ HPS,,,100.0,0.32,0.23,366.96,394.03,,50.0,,,,2025-01-03
SANJAY HPS,,,120.0,0.77,0.52,484.30999999999995,548.21,,0.0,,,,2025-01-03
