name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,1,,67.5,0.00,0.00,0.00,0.00,,,,,,2017-09-05
RAJGHAT TPS,2,,67.5,0.00,0.00,0.00,0.00,,,,,,2017-09-05
I.P.CCPP,,,270.0,1.8,0.86,306.00,234.22,,,,,,2017-09-05
PRAGATI CCGT-III,,,1500.0,6.0,12.02,948.00,1325.26,,,,,,2017-09-05
PRAGATI CCPP,,,330.4,5.49,6.53,867.45,720.77,,,,,,2017-09-05
RITHALA CCPP,,,108.0,0.0,0.00,0.00,0.00,108.0,,,,,2017-09-05
BADARPUR TPS,1,,95.0,0.00,0.00,0.00,0.00,,,,,,2017-09-05
BADARPUR TPS,2,,95.0,0.00,0.00,0.00,0.00,,,,,,2017-09-05
BADARPUR TPS,3,,95.0,0.00,0.00,0.00,0.00,,,,,,2017-09-05
BADARPUR TPS,4,,210.0,2.90,0.25,458.50,576.75,,,,,,2017-09-05
BADARPUR TPS,5,,210.0,2.90,4.48,458.50,663.20,,,,,,2017-09-05
PANIPAT TPS,,,920.0,4.7,5.32,743.50,1158.65,3,,,,,2017-09-05
PANIPAT TPS,5,,210.0,0.00,0.00,0.00,69.52,,,,,,2017-09-05
PANIPAT TPS,6,,210.0,0.00,0.00,0.00,125.72,,,,,,2017-09-05
PANIPAT TPS,7,,250.0,2.20,5.32,347.00,596.05,,,,,,2017-09-05
PANIPAT TPS,8,,250.00,2.50,0.00,396.50,367.36,,,,,,2017-09-05
RAJIV GANDHI TPS,1,,600.00,7.57,0.00,1196.85,842.32,,,,,,2017-09-05
RAJIV GANDHI TPS,2,,600.00,6.83,9.80,1080.15,1009.56,,,,,,2017-09-05
YAMUNA NAGAR TPS,1,,300.00,4.93,0.00,779.65,588.67,,,,,,2017-09-05
YAMUNA NAGAR TPS,2,,300.00,4.93,5.68,779.65,786.44,,,,,,2017-09-05
MAHATMA GANDHI TPS,1,,660.00,6.03,11.44,953.15,1430.98,,,,,,2017-09-05
MAHATMA GANDHI TPS,2,,660.00,5.97,11.35,766.85,1206.62,,,,,,2017-09-05
INDIRA GANDHI STPP,1,,500.00,5.27,8.52,831.35,1240.85,,,,,,2017-09-05
INDIRA GANDHI STPP,2,S,500.00,5.00,0.00,775.00,1200.63,,500.0,31/08/2017 07:29,,WATER WALL TUBE LEAKAGE,2017-09-05
INDIRA GANDHI STPP,3,,500.00,4.90,8.30,774.50,864.18,,,,,,2017-09-05
FARIDABAD CCPP,,,431.59,3.43,0.00,541.15,231.43,,,,,,2017-09-05
BASSI  HPS,,,66.00,1.07,1.41,206.35,226.36,,,,,,2017-09-05
BHAKRA H  P S,,,1325.00,16.44,17.02,2331.20,2336.05,108.0,,,,,2017-09-05
DEHAR H P S,,,990.00,12.27,14.02,1811.35,2050.95,165.0,,,,,2017-09-05
GIRI BATA HPS,,,60.00,0.83,1.38,104.15,87.16,,,,,,2017-09-05
KASHANG INTEGRATED HEP,,,195.00,0.80,0.68,163.00,152.84,,,,,,2017-09-05
LARJI  HPS,,,126.00,2.67,2.80,383.35,409.23,,,,,,2017-09-05
PONG H P S,,,396.00,3.53,4.79,364.65,492.47,66.0,,,,,2017-09-05
SAINJ HPS,,,100.00,0.57,1.94,254.85,3.89,,,,,,2017-09-05
SANJAY  HPS,,,120.0,2.33,1.95,336.65,282.74,,,,,,2017-09-05
UHL-III HPS,,,0.0,0.00,0.00,0.00,0.00,,,,,,2017-09-05
ALLAIN DUHANGAN  HPS,,,192.0,2.57,2.20,476.85,523.76,,,,,,2017-09-05
BASPA  HPS,,,300.0,5.67,6.02,864.35,961.15,,,,,,2017-09-05
BUDHIL HPS,,,70.0,0.93,1.05,213.65,223.56,,,,,,2017-09-05
CHANJU-I HPS,,,24.0,0.00,0.00,0.00,53.27,,,,,,2017-09-05
KARCHAM WANGTOO HPS,,,1000.0,16.67,17.95,3023.35,3388.53,,,,,,2017-09-05
MALANA  HPS,,,86.0,1.43,1.26,250.15,255.83,,,,,,2017-09-05
MALANA-II  HPS,,,100.0,1.83,1.58,268.15,279.88,,,,,,2017-09-05
SORANG HPS,,,0.0,0.00,0.00,0.00,0.00,,,,,,2017-09-05
TIDONG HPS,,,0.0,2.40,0.00,12.00,0.00,,,,,,2017-09-05
BAIRA SIUL  HPS,,,180.0,2.00,1.62,455.00,491.16,,,,,,2017-09-05
CHAMERA- I  HPS,,,540.0,8.37,9.35,1679.85,1808.15,,,,,,2017-09-05
CHAMERA- II  HPS,,,300.0,5.53,5.80,1000.65,1078.72,,,,,,2017-09-05
CHAMERA-III HPS,,,231.0,3.93,4.01,710.65,793.74,,,,,,2017-09-05
KOLDAM,,,800.0,9.80,10.48,2262.00,2467.10,,,,,,2017-09-05
