name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
RAJGHAT TPS,1,L,67.5,0.00,0.00,0.00,0.00,,67.5,08/05/2015 13:40,,RSD/LOW SCHEDULE,2017-11-30
RAJGHAT TPS,2,L,67.5,0.00,0.00,0.00,0.00,,67.5,21/05/2015 10:20,,RSD/LOW SCHEDULE,2017-11-30
I.P.CCPP,,,270.00,1.8,1.92,468.00,428.42,,,,,,2017-11-30
PRAGATI CCGT-III,,,1500.00,6.0,6.60,1468.00,2004.57,250.00,,,,,2017-11-30
PRAGATI CCPP,,,330.40,5.49,6.76,1339.00,1274.66,,,,,,2017-11-30
RITHALA CCPP,,,108.00,0.0,0.00,0.00,0.00,108.00,,,,,2017-11-30
BADARPUR TPS,1,L,95.0,0.00,0.00,0.00,0.00,,95.0,17/10/2014 18:16,,POLLUTION PROBLEM,2017-11-30
BADARPUR TPS,2,L,95.0,0.00,0.00,0.00,0.00,,95.0,24/09/2015 19:52,,POLLUTION PROBLEM,2017-11-30
BADARPUR TPS,3,L,95.0,0.00,0.00,0.00,0.00,,95.0,09/10/2015 19:52,,POLLUTION PROBLEM,2017-11-30
BADARPUR TPS,4,L,210.0,2.90,0.00,708.00,717.85,,210.0,16/10/2017 23:32,,POLLUTION PROBLEM,2017-11-30
BADARPUR TPS,5,L,210.0,0.00,0.00,659.00,839.14,,210.0,16/10/2017 23:59,,POLLUTION PROBLEM,2017-11-30
PANIPAT TPS,,,920.00,4.7,11.39,1148.00,1716.48,10,420.00,,,,2017-11-30
PANIPAT TPS,5,L,210.0,0.00,0.00,0.00,76.06,,210.0,15/10/2017 01:,,"RESERVE SHUT DOWN / STANDBYUNIT",2017-11-30
PANIPAT TPS,5,L,210.0,0.00,0.00,0.00,76.06,,210.0,02,,"RESERVE SHUT DOWN / STANDBYUNIT",2017-11-30
PANIPAT TPS,6,L,210.0,0.00,0.00,0.00,260.13,,210.0,06/11/2017 19:41,,"RESERVE SHUT DOWN / STANDBYUNIT",2017-11-30
PANIPAT TPS,7,,250.0,2.20,5.66,536.00,951.50,,,,,,2017-11-30
PANIPAT TPS,8,,250.0,2.50,5.73,612.00,428.79,,,,,,2017-11-30
RAJIV GANDHI TPS,1,L,600.0,7.55,0.00,1583.00,1124.88,,600.0,19/10/2017 19:40,,RSD/LOW SCHEDULE,2017-11-30
RAJIV GANDHI TPS,2,S,600.0,6.83,0.00,1668.00,1390.74,,600.0,26/11/2017 19:59,,RSD/LOW SCHEDULE,2017-11-30
YAMUNA NAGAR TPS,1,,300.0,4.93,6.78,1204.00,1044.65,,,,,,2017-11-30
YAMUNA NAGAR TPS,2,,300.0,4.93,6.78,1204.00,1262.21,,,,,,2017-11-30
MAHATMA GANDHI TPS,1,,660.0,6.07,13.38,1382.00,2282.91,,,,,,2017-11-30
MAHATMA GANDHI TPS,2,,660.0,5.97,13.55,1279.00,2112.60,,,,,,2017-11-30
INDIRA GANDHI STPP,1,,500.0,5.27,10.03,1284.00,1885.87,,,,,,2017-11-30
INDIRA GANDHI STPP,2,L,500.0,5.00,0.00,1204.00,1447.81,,500.0,08/11/2017 16:10,,COAL SHORTAGE,2017-11-30
INDIRA GANDHI STPP,3,,500.0,4.90,10.02,1196.00,1643.35,,,,,,2017-11-30
FARIDABAD CCPP,,,431.59,3.43,7.27,836.00,584.86,137.76,,,,,2017-11-30
BASSI  HPS,,,66.00,0.4,0.31,265.00,288.30,,,,,,2017-11-30
BHAKRA H  P S,,,1325.00,9.94,12.50,3370.00,3551.98,216.00,,,,,2017-11-30
DEHAR H P S,,,990.00,4.37,3.59,2450.00,2731.16,330.00,,,,,2017-11-30
GIRI BATA HPS,,,60.00,0.37,0.27,151.00,145.44,,,,,,2017-11-30
KASHANG INTEGRATED HEP,,,195.0,0.43,0.19,212.00,180.42,130.0,,,,,2017-11-30
LARJI  HPS,,,126.0,0.77,0.68,515.00,543.04,,,,,,2017-11-30
PONG H P S,,,396.0,3.37,5.22,655.00,1004.61,66.0,,,,,2017-11-30
SAINJ HPS,,,100.0,0.20,0.49,284.00,99.14,,,,,,2017-11-30
SANJAY  HPS,,,120.0,0.83,0.90,460.00,413.52,40.0,,,,,2017-11-30
UHL-III HPS,,,0.0,0.00,0.00,0.00,0.00,,,,,,2017-11-30
ALLAIN DUHANGAN  HPS,,,192.0,1.00,0.56,613.00,635.48,,,,,,2017-11-30
BASPA  HPS,,,300.0,1.47,1.36,1130.00,1212.06,,,,,,2017-11-30
BUDHIL HPS,,,70.0,0.23,0.22,258.00,272.78,,,,,,2017-11-30
CHANJU-I HPS,,,36.0,0.00,0.09,0.00,69.16,,,,,,2017-11-30
KARCHAM WANGTOO HPS,,,1000.0,5.67,4.85,3810.00,4131.87,,,,,,2017-11-30
