name,unit,outage_status,capacity,day prog,day gen,month cumm prog,month cumm gen,coal stock,cap under outage,outage_day_time,expected_resync,remarks,datetime
I.P.CCPP,,,270.0,0.94,0.85,173.1000000000002,130.01,,180.0,,,,2024-09-15
PRAGATI CCGT-III,,,1500.0,11.93,0.0,2108.9500000000003,2000.0200000000002,,0.0,,,,2024-09-15
PRAGATI CCPP,,,330.4,4.24,0.0,743.6000000000001,649.9200000000001,,330.4,,,,2024-09-15
RITHALA CCPP,,,108.0,0.0,0.0,0.0,0.0,,108.0,,,,2024-09-15
PANIPAT TPS,,,710.0,11.469999999999999,9.52,1965.0499999999988,2292.0099999999998,19.0,210.0,,,,2024-09-15
PANIPAT TPS,Unit 6,S,210.0,3.17,0.0,544.5499999999996,600.92,,210.0,45549.415972222225,18/09/2024,RSD/LOW SCHEDULE,2024-09-15
PANIPAT TPS,Unit 7, ,250.0,4.13,4.73,709.9499999999999,816.55,,0.0,,,,2024-09-15
PANIPAT TPS,Unit 8, ,250.0,4.17,4.79,710.5499999999994,874.54,,0.0,,,,2024-09-15
RAJIV GANDHI TPS,,,1200.0,21.53,16.330000000000002,3696.95,2941.19,22.0,0.0,,,,2024-09-15
RAJIV GANDHI TPS,Unit 1, ,600.0,11.3,6.78,1941.4999999999993,1616.89,,0.0,,,,2024-09-15
RAJIV GANDHI TPS,Unit 2, ,600.0,10.23,9.55,1755.4500000000003,1324.3,,0.0,,,,2024-09-15
YAMUNA NAGAR TPS,,,600.0,11.6,9.04,1995.9999999999986,1866.36,37.0,0.0,,,,2024-09-15
YAMUNA NAGAR TPS,Unit 1, ,300.0,5.8,4.54,997.9999999999993,924.43,,0.0,,,,2024-09-15
YAMUNA NAGAR TPS,Unit 2, ,300.0,5.8,4.5,997.9999999999993,941.93,,0.0,,,,2024-09-15
MAHATMA GANDHI TPS,,,1320.0,24.14,19.29,4143.0999999999985,3983.0600000000004,30.0,0.0,,,,2024-09-15
MAHATMA GANDHI TPS,Unit 1, ,660.0,12.97,9.48,2227.5499999999975,1920.51,,0.0,,,,2024-09-15
MAHATMA GANDHI TPS,Unit 2, ,660.0,11.17,9.81,1915.550000000001,2062.55,,0.0,,,,2024-09-15
INDIRA GANDHI STPP,,,1500.0,23.799999999999997,23.69,4083.9999999999995,4198.57,54.0,0.0,,,,2024-09-15
INDIRA GANDHI STPP,Unit 1, ,500.0,8.03,7.9,1381.4499999999996,1400.57,,0.0,,,,2024-09-15
INDIRA GANDHI STPP,Unit 2, ,500.0,7.87,7.84,1352.0499999999984,1383.64,,0.0,,,,2024-09-15
INDIRA GANDHI STPP,Unit 3, ,500.0,7.9,7.95,1350.5000000000014,1414.36,,0.0,,,,2024-09-15
FARIDABAD CCPP,,,431.59,0.39,0.0,74.84999999999995,215.37,,431.59,,,,2024-09-15
BASSI  HPS,,,66.0,1.03,1.42,214.45000000000002,242.38,,0.0,,,,2024-09-15
GIRI BATA HPS,,,60.0,0.97,1.3900000000000001,101.54999999999998,84.41,,0.0,,,,2024-09-15
KASHANG INTEGRATED HEP,,,195.0,0.67,0.96,141.0499999999998,182.60000000000002,,0.0,,,,2024-09-15
LARJI  HPS,,,126.0,3.33,1.92,431.94999999999976,153.32999999999998,,42.0,,,,2024-09-15
SAINJ HPS,,,100.0,1.93,2.19,276.9500000000001,322.05,,0.0,,,,2024-09-15
SANJAY HPS,,,120.0,2.2,3.14,339.99999999999983,400.61,,0.0,,,,2024-09-15
SAWRA KUDDU HPS,,,111.0,1.6,2.67,195.99999999999991,175.35,,0.0,,,,2024-09-15
SHANAN HPS,,,110.0,1.5,2.15,342.5,384.77,,0.0,,,,2024-09-15
UHL-III HPS,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2024-09-15
ALLAIN DUHANGAN  HPS,,,192.0,2.63,2.51,503.44999999999993,514.4399999999999,,0.0,,,,2024-09-15
BAJOLI HOLI HPS,,,180.0,3.5,2.14,585.5,591.45,,0.0,,,,2024-09-15
BASPA  HPS,,,300.0,5.0,7.68,827.0,1013.74,,0.0,,,,2024-09-15
BUDHIL HPS,,,70.0,1.1,0.99,210.49999999999991,222.18,,0.0,,,,2024-09-15
CHANJU-I HPS ,,,36.0,0.6,0.59,107.99999999999991,123.03,,0.0,,,,2024-09-15
KARCHAM WANGTOO HPS,,,1045.0,15.97,19.78,3082.549999999997,3416.63,,0.0,,,,2024-09-15
MALANA  HPS,,,86.0,1.6,0.76,245.99999999999991,175.95,,0.0,,,,2024-09-15
MALANA-II  HPS,,,100.0,1.53,0.0,265.9499999999998,186.5,,50.0,,,,2024-09-15
SORANG HPS,,,100.0,2.0,1.21,281.0,296.53,,0.0,,,,2024-09-15
TIDONG HPS,,,0.0,2.0,0.0,179.0,0.0,,0.0,,,,2024-09-15
BAIRA SIUL  HPS,,,180.0,2.23,1.64,507.4500000000003,400.39,,120.0,,,,2024-09-15
BHAKRA LEFT HPS,,,630.0,7.3,9.42,981.4999999999993,1282.6899999999998,,0.0,,,,2024-09-15
BHAKRA RIGHT HPS,,,785.0,9.37,9.790000000000001,1258.5499999999984,1535.03,,157.0,,,,2024-09-15
CHAMERA-I HPS,,,540.0,8.33,4.89,1643.949999999999,1641.9900000000002,,0.0,,,,2024-09-15
CHAMERA-II HPS,,,300.0,5.13,4.47,1045.9500000000005,1037.56,,200.0,,,,2024-09-15
CHAMERA-III HPS,,,231.0,3.9,3.51,765.4999999999997,777.05,,77.0,,,,2024-09-15
DEHAR HPS,,,990.0,13.33,13.9,1879.949999999999,2036.19,,0.0,,,,2024-09-15
KOLDAM,,,800.0,12.0,15.739999999999998,2359.0,2512.63,,600.0,,,,2024-09-15
NATHPA JHAKRI HPS,,,1500.0,33.4,34.83,4779.9999999999945,5327.610000000001,,750.0,,,,2024-09-15
PARBATI-II HPS,,,0.0,13.07,0.0,1312.049999999999,0.0,,0.0,,,,2024-09-15
PARBATI-III HPS,,,520.0,8.33,3.52,1004.9500000000006,436.09,,390.0,,,,2024-09-15
PONG HPS,,,396.0,4.33,6.59,434.94999999999976,658.38,,0.0,,,,2024-09-15
RAMPUR HPS,,,412.02000000000004,9.0,9.889999999999999,1296.0,1475.6799999999998,,68.67,,,,2024-09-15
PAMPORE GPS (Liq.),,,175.0,0.0,0.0,0.0,0.0,,175.0,,,,2024-09-15
BAGLIHAR  HPS,,,450.0,9.2,10.8,1563.0000000000007,1751.55,,0.0,,,,2024-09-15
BAGLIHAR II  HPS,,,450.0,2.83,6.61,1448.449999999999,1403.29,,150.0,,,,2024-09-15
LOWER JHELUM  HPS,,,105.0,1.83,0.0,321.44999999999976,253.18,,35.0,,,,2024-09-15
UPPER SINDH-II HPS,,,105.0,1.3,0.0,317.50000000000017,77.89,,0.0,,,,2024-09-15
DULHASTI  HPS,,,390.0,9.0,9.370000000000001,1350.0,1392.51,,0.0,,,,2024-09-15
KISHANGANGA HPS,,,330.0,2.9,3.67,1151.5000000000014,1051.32,,110.0,,,,2024-09-15
SALAL HPS,,,690.0,15.13,13.04,2428.9500000000016,2464.73,,115.0,,,,2024-09-15
SEWA-II HPS,,,120.0,1.03,0.9199999999999999,294.4499999999996,257.05,,40.0,,,,2024-09-15
URI-I HPS,,,480.0,7.13,9.99,1755.9500000000016,1369.27,,0.0,,,,2024-09-15
URI-II HPS,,,240.0,4.37,5.36,901.5500000000001,897.12,,60.0,,,,2024-09-15
CHUTAK HPS,,,44.0,0.8,0.81,119.99999999999996,127.20999999999998,,22.0,,,,2024-09-15
NIMMO BAZGO HPS,,,45.0,1.0,1.0899999999999999,135.0,147.08,,45.0,,,,2024-09-15
GH TPS (LEH.MOH.),,,920.0,11.1,12.870000000000001,1896.5,2284.16,34.0,210.0,,,,2024-09-15
GH TPS (LEH.MOH.),Unit 1, ,210.0,3.17,4.26,543.5499999999997,703.23,,0.0,,,,2024-09-15
GH TPS (LEH.MOH.),Unit 2,L,210.0,0.7,0.0,115.50000000000004,0.0,,210.0,44681.62569444445,,ASH HANDLING SYSTEM PROBLEM,2024-09-15
GH TPS (LEH.MOH.),Unit 3, ,250.0,3.63,4.31,622.4499999999999,736.31,,0.0,,,,2024-09-15
GH TPS (LEH.MOH.),Unit 4, ,250.0,3.6,4.3,615.0000000000003,844.62,,0.0,,,,2024-09-15
GOINDWAL SAHIB TPP,,,540.0,8.34,9.57,1421.0999999999988,1627.42,28.0,0.0,,,,2024-09-15
GOINDWAL SAHIB TPP,Unit 1, ,270.0,4.17,4.62,710.5499999999994,816.39,,0.0,,,,2024-09-15
GOINDWAL SAHIB TPP,Unit 2, ,270.0,4.17,4.95,710.5499999999994,811.03,,0.0,,,,2024-09-15
ROPAR TPS,,,840.0,10.18,11.58,1745.700000000001,2329.76,38.0,0.0,,,,2024-09-15
ROPAR TPS,Unit 3, ,210.0,2.47,3.84,424.0500000000004,563.04,,0.0,,,,2024-09-15
ROPAR TPS,Unit 4, ,210.0,2.47,3.9,424.0500000000004,669.76,,0.0,,,,2024-09-15
ROPAR TPS,Unit 5, ,210.0,2.47,3.84,424.0500000000004,526.64,,0.0,,,,2024-09-15
ROPAR TPS,Unit 6, ,210.0,2.77,0.0,473.5499999999997,570.32,,0.0,,,,2024-09-15
ANANDPUR SAHIB-I HPS ,,,67.0,1.03,1.39,157.45000000000002,180.3,,0.0,,,,2024-09-15
ANANDPUR SAHIB-II HPS ,,,67.0,1.03,1.39,157.45000000000002,163.78,,0.0,,,,2024-09-15
MUKERIAN-I HPS,,,45.0,0.8,4.93,87.99999999999996,272.46,,0.0,,,,2024-09-15
MUKERIAN-II HPS,,,45.0,0.8,0.0,87.99999999999996,75.4,,0.0,,,,2024-09-15
MUKERIAN-III HPS,,,58.5,1.07,0.0,113.0499999999999,98.06,,0.0,,,,2024-09-15
MUKERIAN-IV HPS,,,58.5,1.07,0.0,113.0499999999999,92.57000000000001,,0.0,,,,2024-09-15
RANJIT SAGAR HPS,,,600.0,5.0,4.96,965.0,957.16,,0.0,,,,2024-09-15
RAJPURA TPP,,,1400.0,30.16,27.29,5068.400000000005,5037.63,11.0,0.0,,,,2024-09-15
RAJPURA TPP,Unit 1, ,700.0,15.03,13.62,2528.450000000003,2542.3,,0.0,,,,2024-09-15
RAJPURA TPP,Unit 2, ,700.0,15.13,13.67,2539.9500000000016,2495.33,,0.0,,,,2024-09-15
TALWANDI SABO TPP,,,1980.0,37.57,36.949999999999996,6452.549999999999,5697.99,7.0,0.0,,,,2024-09-15
TALWANDI SABO TPP,Unit 1, ,660.0,12.47,12.36,2140.049999999999,1935.92,,0.0,,,,2024-09-15
TALWANDI SABO TPP,Unit 2, ,660.0,12.43,12.26,2136.4499999999994,1973.49,,0.0,,,,2024-09-15
TALWANDI SABO TPP,Unit 3, ,660.0,12.67,12.33,2176.050000000001,1788.58,,0.0,,,,2024-09-15
GANGUWAL  HPS,,,77.65,1.6,1.68,245.99999999999991,281.40999999999997,,0.0,,,,2024-09-15
KOTLA  HPS,,,77.65,1.6,1.7400000000000002,245.99999999999991,276.23,,0.0,,,,2024-09-15
CHHABRA-II TPP,,,1320.0,12.47,12.6,3684.05,3380.8500000000004,12.0,660.0,,,,2024-09-15
CHHABRA-II TPP,Unit 5, ,660.0,12.47,12.6,1721.0500000000004,1494.22,,0.0,,,,2024-09-15
CHHABRA-II TPP,Unit 6,P,660.0,0.0,0.0,1963.0,1886.63,,660.0,45542.45347222222,02/10/2024,ANNUAL MAINTENANCE,2024-09-15
CHHABRA-I PH-1 TPP,,,500.0,9.969999999999999,10.34,1500.5500000000004,1425.26,8.0,0.0,,,,2024-09-15
CHHABRA-I PH-1 TPP,Unit 1, ,250.0,5.0,5.33,746.0,738.2,,0.0,,,,2024-09-15
CHHABRA-I PH-1 TPP,Unit 2, ,250.0,4.97,5.01,754.5500000000004,687.06,,0.0,,,,2024-09-15
CHHABRA-I PH-2 TPP,,,500.0,9.559999999999999,10.5,1570.3999999999992,1716.9,12.0,0.0,,,,2024-09-15
CHHABRA-I PH-2 TPP,Unit 3, ,250.0,4.93,5.24,847.9499999999992,855.41,,0.0,,,,2024-09-15
CHHABRA-I PH-2 TPP,Unit 4, ,250.0,4.63,5.26,722.4499999999999,861.49,,0.0,,,,2024-09-15
GIRAL TPS,,,250.0,0.0,0.0,0.0,0.0,,250.0,,,,2024-09-15
GIRAL TPS,Unit 1,P,125.0,0.0,0.0,0.0,0.0,,125.0,41831.34722222222,,UNIT LIKELY TO BE SCRAPPED.,2024-09-15
GIRAL TPS,Unit 2,P,125.0,0.0,0.0,0.0,0.0,,125.0,42396.64375,,UNIT LIKELY TO BE SCRAPPED.,2024-09-15
KALISINDH TPS,,,1200.0,21.43,19.7,3428.4500000000007,3434.16,15.0,0.0,,,,2024-09-15
KALISINDH TPS,Unit 1, ,600.0,10.9,7.55,1620.5000000000014,1536.8,,0.0,,,,2024-09-15
KALISINDH TPS,Unit 2, ,600.0,10.53,12.15,1807.9499999999996,1897.36,,0.0,,,,2024-09-15
KOTA TPS,,,1240.0,23.73,21.14,3830.9500000000003,4014.88,9.0,195.0,,,,2024-09-15
KOTA TPS,Unit 1, ,110.0,2.13,1.9,321.94999999999993,310.24,,0.0,,,,2024-09-15
KOTA TPS,Unit 2, ,110.0,2.13,2.1,320.94999999999993,343.46,,0.0,,,,2024-09-15
KOTA TPS,Unit 3, ,210.0,4.0,4.24,688.0,650.07,,0.0,,,,2024-09-15
KOTA TPS,Unit 4, ,210.0,4.07,4.22,700.0500000000008,676.36,,0.0,,,,2024-09-15
KOTA TPS,Unit 5, ,210.0,4.0,4.39,609.0,635.63,,0.0,,,,2024-09-15
KOTA TPS,Unit 6, ,195.0,3.8,4.29,574.9999999999993,761.13,,0.0,,,,2024-09-15
KOTA TPS,Unit 7,S,195.0,3.6,0.0,616.0000000000003,637.99,,195.0,45549.99444444444,,CONDENSER TUBE LEAKAGE/ CLEANING,2024-09-15
SURATGARH STPS,,,1320.0,20.7,10.97,3548.4999999999973,2744.05,17.0,660.0,,,,2024-09-15
SURATGARH STPS,Unit 7, ,660.0,10.33,10.97,1769.949999999999,1756.15,,0.0,,,,2024-09-15
SURATGARH STPS,Unit 8,P,660.0,10.37,0.0,1778.5499999999984,987.9,,660.0,45501.009722222225,,ANNUAL MAINTENANCE,2024-09-15
SURATGARH TPS,,,1500.0,19.74,21.67,3109.1,3891.63,3.0,250.0,,,,2024-09-15
SURATGARH TPS,Unit 1, ,250.0,3.53,3.42,527.9499999999996,686.22,,0.0,,,,2024-09-15
SURATGARH TPS,Unit 2,S,250.0,3.5,1.42,528.5,660.96,,250.0,45550.38888888889,,ABNORMAL SOUND,2024-09-15
SURATGARH TPS,Unit 3, ,250.0,3.37,4.25,503.55000000000007,664.69,,0.0,,,,2024-09-15
SURATGARH TPS,Unit 4, ,250.0,3.2,4.06,484.99999999999983,664.74,,0.0,,,,2024-09-15
SURATGARH TPS,Unit 5, ,250.0,3.07,4.24,532.0500000000003,546.8,,0.0,,,,2024-09-15
SURATGARH TPS,Unit 6, ,250.0,3.07,4.28,532.0500000000003,668.22,,0.0,,,,2024-09-15
DHOLPUR CCPP,,,330.0,0.39,0.0,69.84999999999995,40.11,,330.0,,,,2024-09-15
RAMGARH CCPP,,,273.5,1.3599999999999999,0.96,361.4,136.0,,197.5,,,,2024-09-15
JAWAHAR SAGAR  HPS,,,99.0,0.17,0.95,11.549999999999999,60.47999999999999,,0.0,,,,2024-09-15
MAHI BAJAJ-I HPS,,,50.0,0.77,1.1099999999999999,15.549999999999994,24.75,,0.0,,,,2024-09-15
MAHI BAJAJ-II HPS,,,90.0,0.4,0.57,8.000000000000002,10.36,,90.0,,,,2024-09-15
R P SAGAR  HPS,,,172.0,0.67,0.24,23.05000000000002,33.26,,43.0,,,,2024-09-15
ADANI POWER LIMITED KAWAI TPP,,,1320.0,26.43,26.09,4518.449999999998,4422.860000000001,6.0,0.0,,,,2024-09-15
ADANI POWER LIMITED KAWAI TPP,Unit 1, ,660.0,12.93,12.95,2227.949999999998,2236.48,,0.0,,,,2024-09-15
ADANI POWER LIMITED KAWAI TPP,Unit 2, ,660.0,13.5,13.14,2290.5,2186.38,,0.0,,,,2024-09-15
JALIPA KAPURDI TPP,,,1080.0,18.779999999999998,19.22,3533.5000000000014,3063.18,,135.0,,,,2024-09-15
JALIPA KAPURDI TPP,Unit 1, ,135.0,2.67,2.63,441.05000000000024,287.46,,0.0,,,,2024-09-15
JALIPA KAPURDI TPP,Unit 2,*,135.0,2.7,0.08,398.49999999999983,419.82,,135.0,45548.01597222222,15/09/2024 21:35:00,BOILER MISC. PROBLEM,2024-09-15
JALIPA KAPURDI TPP,Unit 3, ,135.0,2.67,2.34,430.01000000000005,316.01,,0.0,,,,2024-09-15
JALIPA KAPURDI TPP,Unit 4, ,135.0,0.0,3.09,455.8400000000001,432.92,,0.0,,,,2024-09-15
