scenario,year,status,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
low,2027,pre-construction,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2027,pre-construction,offshore wind,known,1464.42,300.0,696.0,1210.5,2020.5,2960.4
low,2027,pre-construction,offshore wind,unknown,3.059,0.0,0.0,0.0,0.0,0.0
low,2027,pre-construction,onshore wind,known,19801.3197,13470.75,16508.475,19709.85,22834.025,26395.82
low,2027,pre-construction,onshore wind,unknown,768.9164000000001,0.0,110.9,390.0,958.875,1908.3600000000006
low,2027,pre-construction,utility-scale solar,known,58583.8284,50685.51,54435.625,58402.0,62480.375,66257.23999999999
low,2027,pre-construction,utility-scale solar,unknown,13188.9861,2951.64,5248.175,9861.650000000001,16930.425000000003,28400.7
low,2028,announced,hydropower,known,67.637,0.0,0.0,0.0,62.0,233.2000000000005
low,2028,announced,hydropower,unknown,0.14,0.0,0.0,0.0,0.0,0.0
low,2028,announced,offshore wind,known,603.214,0.0,0.0,120.0,750.0,2000.0
low,2028,announced,offshore wind,unknown,3.808,0.0,0.0,0.0,0.0,0.0
low,2028,announced,onshore wind,known,3392.6139,1487.8,2048.2000000000003,2807.75,4133.475,6611.780000000001
low,2028,announced,onshore wind,unknown,46.174,0.0,0.0,0.0,0.0,100.0
low,2028,announced,utility-scale solar,known,24066.829899999997,18953.16,21147.75,23402.45,26398.5,29836.36
low,2028,announced,utility-scale solar,unknown,304.887,0.0,0.0,0.0,200.0,864.0000000000009
low,2028,construction,hydropower,known,10182.83,6159.8,7954.0,10000.5,12281.0,14398.6
low,2028,construction,hydropower,unknown,1358.75,0.0,136.0,761.0,2131.0,3560.2
low,2028,construction,offshore wind,known,3085.479,924.0,1724.0,3164.0,4380.0,5180.0
low,2028,construction,offshore wind,unknown,11686.9465,7459.85,9792.25,12015.75,13855.375,15550.55
low,2028,construction,onshore wind,known,10327.536900000001,5339.97,8402.349999999999,10713.6,12657.575,14292.54
low,2028,construction,onshore wind,unknown,38348.5651,19028.95,28162.25,37751.850000000006,48788.775,58314.1
low,2028,construction,utility-scale solar,known,24758.491899999997,19257.3,21760.775,24744.95,27648.025,30695.49
low,2028,construction,utility-scale solar,unknown,45082.9611,23403.2,32575.025,44631.5,57094.1,66970.01
low,2028,pre-construction,hydropower,known,778.211,110.0,276.0,609.0,1075.25,1571.8000000000002
low,2028,pre-construction,hydropower,unknown,7.039,0.0,0.0,0.0,0.0,0.0
low,2028,pre-construction,offshore wind,known,4726.4815,1878.9,2948.75,4325.0,6126.0,8179.400000000001
low,2028,pre-construction,offshore wind,unknown,321.28520000000003,0.0,0.0,0.0,0.0,596.4000000000001
low,2028,pre-construction,onshore wind,known,28043.3982,21850.88,24803.275,27880.3,31057.5,34495.89
low,2028,pre-construction,onshore wind,unknown,13084.2637,4113.75,6673.475,10534.25,16731.25,23825.600000000002
low,2028,pre-construction,utility-scale solar,known,66176.7873,59351.56,62494.625,66131.15,69991.725,73374.91
low,2028,pre-construction,utility-scale solar,unknown,158959.326,88721.58,114679.55,152514.3,194973.275,240484.27000000002
low,2029,announced,hydropower,known,172.291,0.0,0.0,60.0,248.5,600.0
low,2029,announced,hydropower,unknown,22.775,0.0,0.0,0.0,0.0,0.0
low,2029,announced,offshore wind,known,1028.267,0.0,0.0,490.0,1783.5,2750.0
low,2029,announced,offshore wind,unknown,39.885,0.0,0.0,0.0,0.0,0.0
low,2029,announced,onshore wind,known,6035.2123,3148.0200000000004,4006.8,5464.15,7797.95,9934.039999999999
low,2029,announced,onshore wind,unknown,1005.6518000000001,0.0,50.0,300.0,1146.1,2920.2500000000014
low,2029,announced,utility-scale solar,known,30164.0617,20447.050000000003,24012.45,29560.75,35795.275,41206.73
low,2029,announced,utility-scale solar,unknown,7936.1987,996.41,2337.5,5155.0,10718.825,18200.56
low,2029,construction,hydropower,known,9031.107,5072.2,6860.0,8815.5,11157.5,13081.1
low,2029,construction,hydropower,unknown,3266.499,857.5000000000001,1733.5,3158.5,4589.75,5873.6
low,2029,construction,offshore wind,known,46.744,0.0,0.0,0.0,0.0,0.0
low,2029,construction,offshore wind,unknown,4167.8555,0.0,1400.0,3639.75,6382.25,9032.150000000001
low,2029,construction,onshore wind,known,3518.3842999999997,1162.4700000000003,1745.925,2433.45,3665.925,8266.85
low,2029,construction,onshore wind,unknown,3305.5486,169.33000000000004,687.875,1865.8000000000002,4212.625,9096.480000000001
low,2029,construction,utility-scale solar,known,4635.127,2523.4,2994.0,3728.75,4948.75,6528.800000000001
low,2029,construction,utility-scale solar,unknown,2326.0278,115.87,528.375,1603.75,3211.1,5526.76
low,2029,pre-construction,hydropower,known,1977.282,588.9,964.0,1594.0,2536.5,4021.9
low,2029,pre-construction,hydropower,unknown,217.075,0.0,0.0,0.0,0.0,531.2000000000007
low,2029,pre-construction,offshore wind,known,9140.3045,4371.9,6343.5,8803.75,11667.75,14373.300000000001
low,2029,pre-construction,offshore wind,unknown,2756.3043,0.0,0.0,500.0,2597.75,7294.100000000001
low,2029,pre-construction,onshore wind,known,30298.3247,22560.89,25133.149999999998,29312.800000000003,34656.85,39597.95
low,2029,pre-construction,onshore wind,unknown,47704.2061,22439.09,30719.875,42584.649999999994,60233.6,78075.88000000002
low,2029,pre-construction,utility-scale solar,known,38747.798,31665.980000000003,34560.125,38221.95,42397.8,46772.29
low,2029,pre-construction,utility-scale solar,unknown,275692.2211,233319.80000000002,257755.525,281105.69999999995,298003.35,310645.93
low,2030,announced,hydropower,known,272.679,0.0,0.0,150.0,358.5,744.9000000000002
low,2030,announced,hydropower,unknown,98.762,0.0,0.0,0.0,0.0,0.0
low,2030,announced,offshore wind,known,1489.563,0.0,350.0,948.0,2306.5,3707.9000000000005
low,2030,announced,offshore wind,unknown,416.7292,0.0,0.0,0.0,0.0,0.0
low,2030,announced,onshore wind,known,7269.6785,4192.8099999999995,5168.8,6687.3,8929.525000000001,11182.07
low,2030,announced,onshore wind,unknown,4894.423400000001,454.5,1200.0,3025.5,6334.5,11842.850000000006
low,2030,announced,utility-scale solar,known,21086.9505,11614.78,14757.575,20174.1,26550.925,31539.210000000003
low,2030,announced,utility-scale solar,unknown,34127.1895,12445.18,19316.225,30331.75,43612.825,62844.600000000006
low,2030,construction,hydropower,known,8080.991,4270.9,5896.75,7807.0,10122.0,12117.2
low,2030,construction,hydropower,unknown,3804.354,1744.4,2509.5,3675.0,4921.25,6042.1
low,2030,construction,offshore wind,known,86.2,0.0,0.0,0.0,200.0,200.0
low,2030,construction,offshore wind,unknown,613.183,0.0,0.0,0.0,800.0,2015.6000000000004
low,2030,construction,onshore wind,known,2028.5255,650.0,1303.2,2094.2,2752.8,3297.0
low,2030,construction,onshore wind,unknown,97.4847,0.0,0.0,0.0,15.2,200.0
low,2030,construction,utility-scale solar,known,5345.921,4188.0,4734.75,5362.0,5955.5,6470.0
low,2030,construction,utility-scale solar,unknown,16.4404,0.0,0.0,0.0,0.0,0.0
low,2030,pre-construction,hydropower,known,3430.972,1291.8,2007.75,3033.0,4462.75,6143.8
low,2030,pre-construction,hydropower,unknown,852.395,0.0,0.0,40.0,1100.0,2600.0
low,2030,pre-construction,offshore wind,known,14065.53,8093.0,10388.25,13583.75,17021.25,20794.100000000002
low,2030,pre-construction,offshore wind,unknown,9710.0488,391.40000000000026,1700.0,5234.5,11475.25,24055.350000000035
low,2030,pre-construction,onshore wind,known,27940.0796,18906.74,22225.525,27216.699999999997,32971.575,38030.63
low,2030,pre-construction,onshore wind,unknown,85554.5456,53894.520000000004,67511.0,84941.5,103564.475,118288.83
low,2030,pre-construction,utility-scale solar,known,18096.2661,10582.74,13589.85,18669.25,22191.875,24995.469999999998
low,2030,pre-construction,utility-scale solar,unknown,181699.58380000002,127068.9,159652.15,187957.0,210503.77500000002,225998.88999999998
