scenario,year,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
high,2028,offshore wind,known,16303.426,11393.4,13333.75,16145.5,18773.5,21719.8
high,2028,offshore wind,unknown,63520.0268,14207.5,25460.125,50835.95,84063.34999999999,132524.98
high,2028,onshore wind,known,55358.2146,48038.52999999999,51069.15000000001,54778.75,59277.75,63588.75
high,2028,onshore wind,unknown,281829.5165,231374.55,259321.5,286896.45,309296.85,325651.72000000003
high,2028,utility-scale solar,known,106264.1622,95136.71,100309.2,105739.9,111922.825,118313.95
high,2028,utility-scale solar,unknown,357456.16339999996,308209.08999999997,329332.35,355968.8,385038.925,407870.81
high,2029,hydropower,known,15851.163,11054.6,13298.5,15781.5,18419.75,20763.4
high,2029,hydropower,unknown,26527.264,10245.9,15359.75,23183.5,35471.5,47504.100000000006
high,2029,offshore wind,known,24563.434,17474.9,20741.875,24318.0,28154.5,31368.0
high,2029,offshore wind,unknown,114246.856,57583.1,84383.8,114144.79999999999,145069.125,169765.76
high,2029,onshore wind,known,50894.7063,40679.96,45337.2,51074.05,55970.125,60931.79000000001
high,2029,onshore wind,unknown,202492.0233,166041.33000000002,185377.575,203967.15000000002,221598.95,236205.89
high,2029,utility-scale solar,known,59843.1559,47473.29,52778.075000000004,60216.9,66706.075,72683.6
high,2029,utility-scale solar,unknown,167904.61130000002,120975.4,147005.94999999998,172002.55,193574.025,209953.07
high,2030,hydropower,known,14804.5,10804.0,12457.25,14546.0,17000.5,19182.2
high,2030,hydropower,unknown,34520.692,19209.6,27047.75,34392.0,42175.0,49523.0
high,2030,offshore wind,known,32188.201,24994.45,27944.375,32000.0,36047.75,39979.35
high,2030,offshore wind,unknown,116468.1599,86516.87,103225.025,118419.4,132823.95,143363.33000000002
high,2030,onshore wind,known,36678.533899999995,26309.77,31174.7,37093.65,41279.75,45621.79
high,2030,onshore wind,unknown,107722.42109999999,68916.54000000001,88666.625,107773.25,127171.02500000001,148011.37
high,2030,utility-scale solar,known,37933.8433,29263.48,32848.825,37536.4,42556.5,47214.030000000006
high,2030,utility-scale solar,unknown,42741.756,7144.76,19187.25,38968.3,60047.15,85072.76000000001
low,2026,hydropower,known,1091.793,0.0,120.0,500.0,1828.75,3000.0
low,2026,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,offshore wind,known,5152.725,2739.7,3753.0,5049.5,6405.0,7724.900000000001
low,2026,offshore wind,unknown,1452.45,0.0,400.0,1051.75,1952.5,3372.5
low,2026,onshore wind,known,43052.3013,36638.89000000001,39572.225,43112.35,46197.475000000006,49278.12
low,2026,onshore wind,unknown,29092.6595,18349.03,22349.35,27644.85,33927.950000000004,41578.58
low,2026,utility-scale solar,known,84888.359,75876.33000000002,80037.32500000001,84510.8,89515.6,94479.47
low,2026,utility-scale solar,unknown,76356.8275,55706.78,63307.25,74600.85,87590.79999999999,99769.25000000001
low,2027,hydropower,known,7771.684,3587.7000000000003,5256.0,7511.0,10100.5,12274.7
low,2027,hydropower,unknown,118.632,0.0,0.0,0.0,0.0,240.0
low,2027,offshore wind,known,9840.425,6855.2,8280.5,9739.0,11443.0,12893.7
low,2027,offshore wind,unknown,10071.3975,4409.3,6534.375,9508.0,13126.25,16524.1
low,2027,onshore wind,known,48652.1375,41435.920000000006,44808.375,48692.75,52630.075000000004,55966.630000000005
low,2027,onshore wind,unknown,99070.2687,82331.23999999999,91233.35,99724.35,107179.025,114533.65999999999
low,2027,utility-scale solar,known,124190.9675,113694.41,119032.05,123848.05,129545.7,134338.13999999998
low,2027,utility-scale solar,unknown,186811.94030000002,168681.93,176838.0,186309.7,195675.15000000002,205348.24
low,2028,hydropower,known,11028.678,6841.6,8808.75,10813.5,13254.0,15262.0
low,2028,hydropower,unknown,1365.929,0.0,136.0,762.5,2146.75,3567.1
low,2028,offshore wind,known,8415.1745,4820.3,6424.0,8074.0,10198.75,12386.650000000001
low,2028,offshore wind,unknown,12012.0397,8122.95,9960.5,12141.0,13924.875,15585.9
low,2028,onshore wind,known,41763.549,33826.29,37328.525,41668.65,45737.05,49817.22
low,2028,onshore wind,unknown,51479.002799999995,40075.47,44570.275,50740.15000000001,57615.675,64577.37
low,2028,utility-scale solar,known,115002.10909999999,104502.83,109656.1,114853.29999999999,120608.775,125690.6
low,2028,utility-scale solar,unknown,204347.1741,152409.52000000002,170523.85,196962.55,227698.625,266590.12
low,2029,hydropower,known,11180.68,6887.5,8780.5,11057.5,13489.25,15674.300000000001
low,2029,hydropower,unknown,3506.349,870.1000000000001,1742.0,3258.5,4902.75,6492.6
low,2029,offshore wind,known,10215.3155,5020.8,7121.75,9899.5,13021.75,15868.75
low,2029,offshore wind,unknown,6964.0448,2692.17,4007.0,5771.0,8025.75,11183.900000000001
low,2029,onshore wind,known,39851.921299999995,30534.76,34192.875,39180.399999999994,44908.7,50378.47
low,2029,onshore wind,unknown,52015.4065,28520.019999999997,35583.425,46568.75,63236.075,81559.93000000001
low,2029,utility-scale solar,known,73546.98670000001,60575.75,66351.65,73142.25,80303.2,87345.3
low,2029,utility-scale solar,unknown,285954.4476,240668.0,265947.125,290319.0,309738.9,325872.42
low,2030,hydropower,known,11784.642,7217.5,9119.75,11575.5,14175.25,16599.600000000002
low,2030,hydropower,unknown,4755.511,2052.8,3073.25,4448.0,6020.25,7680.0
low,2030,offshore wind,known,15641.293,9025.1,11586.25,15076.25,18722.5,23349.15
low,2030,offshore wind,unknown,10739.961,1499.0,3016.5,6001.85,11930.650000000001,24648.29000000002
low,2030,onshore wind,known,37238.2836,27639.41,31244.875,36568.05,42127.45,48330.36
low,2030,onshore wind,unknown,90546.4537,55075.270000000004,69825.85,88026.25,109944.15,129273.72000000002
low,2030,utility-scale solar,known,44529.1376,32278.2,37571.9,43959.7,51118.775,57621.37
low,2030,utility-scale solar,unknown,215843.2137,180756.9,201270.05,218285.5,233217.25,245247.73
