source_page_url,title,publish_date,image_order,image_url,local_path
https://www.nea.gov.cn/2024-11/01/c_1310787081.htm,2024年前三季度光伏发电建设情况---国家能源局,2024-11-01,1,https://www.nea.gov.cn/2024-11/01/1310787081_17304279799971n.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2024-11-01_2024年前三季度光伏发电建设情况---国家能源局\01.jpg
https://www.nea.gov.cn/2024-11/01/c_1310787081.htm,2024年前三季度光伏发电建设情况---国家能源局,2024-11-01,2,https://www.nea.gov.cn/2024-11/01/1310787081_17304279976081n.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2024-11-01_2024年前三季度光伏发电建设情况---国家能源局\02.jpg
https://www.nea.gov.cn/2024-11/01/c_1310787081.htm,2024年前三季度光伏发电建设情况---国家能源局,2024-11-01,3,https://www.nea.gov.cn/2024-11/01/1310787081_17304280203461n.jpg,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2024-11-01_2024年前三季度光伏发电建设情况---国家能源局\03.jpg
https://www.nea.gov.cn/20260305/4216fa1274bd4b7f8da92090ba3999aa/c.html,2025年光伏发电建设情况---国家能源局,2026-02-21,1,https://www.nea.gov.cn/20260305/4216fa1274bd4b7f8da92090ba3999aa/202603054216fa1274bd4b7f8da92090ba3999aa_202603053183d20fabdf4909a6f2711097ce52a0.png,C:\Users\james\Documents\GitHub\GIPT\China NEA\raw_images\2026-02-21_2025年光伏发电建设情况---国家能源局\01.png
