sep=;
state;date;variable;generation_gwh
India Total;2023-03-01;Other Renewables;229.41
India Total;2023-03-01;Renewables;24928.63
India Total;2023-03-01;Solar;10244.34
India Total;2023-03-01;Wind;4141.07
India Total;2023-03-01;Wind and solar;14385.41
India Total;2023-04-01;Bioenergy;1295.93
India Total;2023-04-01;Clean;28914.93
India Total;2023-04-01;Coal;109104.95
India Total;2023-04-01;Fossil;111573.48
India Total;2023-04-01;Gas;2438.18
India Total;2023-04-01;Hydro;9313.54
India Total;2023-04-01;Nuclear;3512.45
India Total;2023-04-01;Other Fossil;30.35
India Total;2023-04-01;Other Renewables;225.12
India Total;2023-04-01;Renewables;25402.48
India Total;2023-04-01;Solar;10318.69
India Total;2023-04-01;Wind;4249.2
India Total;2023-04-01;Wind and solar;14567.89
India Total;2023-05-01;Bioenergy;855.79
India Total;2023-05-01;Clean;35668
India Total;2023-05-01;Coal;108654.83
India Total;2023-05-01;Fossil;111515.28
India Total;2023-05-01;Gas;2829.79
India Total;2023-05-01;Hydro;12186
India Total;2023-05-01;Nuclear;3495.91
India Total;2023-05-01;Other Fossil;30.66
India Total;2023-05-01;Other Renewables;236.53
India Total;2023-05-01;Renewables;32172.09
India Total;2023-05-01;Solar;10776.14
India Total;2023-05-01;Wind;8117.63
India Total;2023-05-01;Wind and solar;18893.77
India Total;2023-06-01;Bioenergy;469.25
India Total;2023-06-01;Clean;40146.57
India Total;2023-06-01;Coal;106163.65
India Total;2023-06-01;Fossil;109220.04
India Total;2023-06-01;Gas;3029.3
India Total;2023-06-01;Hydro;15069.53
India Total;2023-06-01;Nuclear;3209.74
India Total;2023-06-01;Other Fossil;27.09
India Total;2023-06-01;Other Renewables;232.7
India Total;2023-06-01;Renewables;36936.83
India Total;2023-06-01;Solar;9607.58
India Total;2023-06-01;Wind;11557.77
India Total;2023-06-01;Wind and solar;21165.35
India Total;2023-07-01;Bioenergy;382.37
India Total;2023-07-01;Clean;44626.96
India Total;2023-07-01;Coal;100910.55
India Total;2023-07-01;Fossil;103175.41
India Total;2023-07-01;Gas;2238.58
India Total;2023-07-01;Hydro;19172.97
India Total;2023-07-01;Nuclear;3954.53
India Total;2023-07-01;Other Fossil;26.28
India Total;2023-07-01;Other Renewables;232.27
India Total;2023-07-01;Renewables;40672.43
India Total;2023-07-01;Solar;8435.4
India Total;2023-07-01;Wind;12449.42
India Total;2023-07-01;Wind and solar;20884.82
India Total;2023-08-01;Bioenergy;399.69
India Total;2023-08-01;Clean;49893.2
India Total;2023-08-01;Coal;106416.54
India Total;2023-08-01;Fossil;110065.64
India Total;2023-08-01;Gas;3620.76
India Total;2023-08-01;Hydro;23188.88
India Total;2023-08-01;Nuclear;4370.12
India Total;2023-08-01;Other Fossil;28.34
India Total;2023-08-01;Other Renewables;214.57
India Total;2023-08-01;Renewables;45523.08
India Total;2023-08-01;Solar;9325.8
India Total;2023-08-01;Wind;12394.14
India Total;2023-08-01;Wind and solar;21719.94
India Total;2023-09-01;Bioenergy;401.69
India Total;2023-09-01;Clean;40748.06
India Total;2023-09-01;Coal;105837.58
India Total;2023-09-01;Fossil;108820.55
India Total;2023-09-01;Gas;2957.84
India Total;2023-09-01;Hydro;17534.44
India Total;2023-09-01;Nuclear;4525.77
India Total;2023-09-01;Other Fossil;25.13
India Total;2023-09-01;Other Renewables;214.56
India Total;2023-09-01;Renewables;36222.29
India Total;2023-09-01;Solar;9220.78
India Total;2023-09-01;Wind;8850.82
India Total;2023-09-01;Wind and solar;18071.6
India Total;2023-10-01;Bioenergy;449.82
India Total;2023-10-01;Clean;31136.04
India Total;2023-10-01;Coal;114003.49
India Total;2023-10-01;Fossil;117258.64
India Total;2023-10-01;Gas;3227.73
India Total;2023-10-01;Hydro;12196.13
India Total;2023-10-01;Nuclear;4493.54
India Total;2023-10-01;Other Fossil;27.42
India Total;2023-10-01;Other Renewables;228.46
India Total;2023-10-01;Renewables;26642.5
India Total;2023-10-01;Solar;10219.75
India Total;2023-10-01;Wind;3548.34
India Total;2023-10-01;Wind and solar;13768.09
India Total;2023-11-01;Bioenergy;1718.17
India Total;2023-11-01;Clean;25121.93
India Total;2023-11-01;Coal;101991.26
India Total;2023-11-01;Fossil;103666.97
India Total;2023-11-01;Gas;1647.79
India Total;2023-11-01;Hydro;7386.27
India Total;2023-11-01;Nuclear;4424.49
India Total;2023-11-01;Other Fossil;27.92
India Total;2023-11-01;Other Renewables;227.79
India Total;2023-11-01;Renewables;20697.44
India Total;2023-11-01;Solar;7820.94
India Total;2023-11-01;Wind;3544.27
India Total;2023-11-01;Wind and solar;11365.21
India Total;2023-12-01;Bioenergy;2239.02
India Total;2023-12-01;Clean;27207.13
India Total;2023-12-01;Coal;103548.18
India Total;2023-12-01;Fossil;105491.25
India Total;2023-12-01;Gas;1913.56
India Total;2023-12-01;Hydro;6754.57
India Total;2023-12-01;Nuclear;4276.81
India Total;2023-12-01;Other Fossil;29.51
India Total;2023-12-01;Other Renewables;229.22
India Total;2023-12-01;Renewables;22930.32
India Total;2023-12-01;Solar;8594.51
India Total;2023-12-01;Wind;5113
India Total;2023-12-01;Wind and solar;13707.51
India Total;2024-01-01;Bioenergy;2273.79
India Total;2024-01-01;Clean;26568
India Total;2024-01-01;Coal;114916.04
India Total;2024-01-01;Fossil;117488.17
India Total;2024-01-01;Gas;2543.19
India Total;2024-01-01;Hydro;6835.16
India Total;2024-01-01;Nuclear;4152.32
India Total;2024-01-01;Other Fossil;28.94
India Total;2024-01-01;Other Renewables;223.14
India Total;2024-01-01;Renewables;22415.68
India Total;2024-01-01;Solar;9008.47
India Total;2024-01-01;Wind;4075.12
India Total;2024-01-01;Wind and solar;13083.59
India Total;2024-02-01;Bioenergy;1996.39
India Total;2024-02-01;Clean;27427.92
India Total;2024-02-01;Coal;106912.35
India Total;2024-02-01;Fossil;109264.82
India Total;2024-02-01;Gas;2325.01
India Total;2024-02-01;Hydro;6370.17
India Total;2024-02-01;Nuclear;3501.79
India Total;2024-02-01;Other Fossil;27.46
India Total;2024-02-01;Other Renewables;230.77
India Total;2024-02-01;Renewables;23926.13
India Total;2024-02-01;Solar;10421.22
India Total;2024-02-01;Wind;4907.58
India Total;2024-02-01;Wind and solar;15328.8
India Total;2024-03-01;Bioenergy;1760.86
India Total;2024-03-01;Clean;30318.04
India Total;2024-03-01;Coal;116194.77
India Total;2024-03-01;Fossil;118745.66
India Total;2024-03-01;Gas;2524.2
India Total;2024-03-01;Hydro;7481.93
India Total;2024-03-01;Nuclear;4019.94
India Total;2024-03-01;Other Fossil;26.69
India Total;2024-03-01;Other Renewables;251.42
India Total;2024-03-01;Renewables;26298.1
India Total;2024-03-01;Solar;12225.83
India Total;2024-03-01;Wind;4578.06
India Total;2024-03-01;Wind and solar;16803.89
India Total;2024-04-01;Bioenergy;1059.84
India Total;2024-04-01;Clean;31175.7
India Total;2024-04-01;Coal;119925.69
India Total;2024-04-01;Fossil;123681.53
India Total;2024-04-01;Gas;3720.34
India Total;2024-04-01;Hydro;8690.58
India Total;2024-04-01;Nuclear;4443.61
India Total;2024-04-01;Other Fossil;35.5
India Total;2024-04-01;Other Renewables;231.36
India Total;2024-04-01;Renewables;26732.09
India Total;2024-04-01;Solar;12021.05
India Total;2024-04-01;Wind;4729.26
India Total;2024-04-01;Wind and solar;16750.31
India Total;2024-05-01;Bioenergy;612.23
India Total;2024-05-01;Clean;39544.04
India Total;2024-05-01;Coal;122671.82
India Total;2024-05-01;Fossil;127870.48
India Total;2024-05-01;Gas;5163.85
India Total;2024-05-01;Hydro;13329.58
India Total;2024-05-01;Nuclear;4447.05
India Total;2024-05-01;Other Fossil;34.81
India Total;2024-05-01;Other Renewables;251.56
India Total;2024-05-01;Renewables;35096.99
India Total;2024-05-01;Solar;12645.99
India Total;2024-05-01;Wind;8257.63
India Total;2024-05-01;Wind and solar;20903.62
India Total;2024-06-01;Bioenergy;462.04
India Total;2024-06-01;Clean;41443.58
India Total;2024-06-01;Coal;116223.95
India Total;2024-06-01;Fossil;120865.06
India Total;2024-06-01;Gas;4612.32
India Total;2024-06-01;Hydro;14950.06
India Total;2024-06-01;Nuclear;4217.61
India Total;2024-06-01;Other Fossil;28.79
India Total;2024-06-01;Other Renewables;233.29
India Total;2024-06-01;Renewables;37225.97
India Total;2024-06-01;Solar;11445.66
India Total;2024-06-01;Wind;10134.92
India Total;2024-06-01;Wind and solar;21580.58
India Total;2024-07-01;Bioenergy;416.49
India Total;2024-07-01;Clean;48324.83
India Total;2024-07-01;Coal;108713.01
India Total;2024-07-01;Fossil;111406.42
India Total;2024-07-01;Gas;2663.57
India Total;2024-07-01;Hydro;18880.04
India Total;2024-07-01;Nuclear;4799.84
India Total;2024-07-01;Other Fossil;29.84
India Total;2024-07-01;Other Renewables;245.11
India Total;2024-07-01;Renewables;43524.99
India Total;2024-07-01;Solar;10356.35
India Total;2024-07-01;Wind;13627
India Total;2024-07-01;Wind and solar;23983.35
India Total;2024-08-01;Bioenergy;429.22
India Total;2024-08-01;Clean;49749.02
India Total;2024-08-01;Coal;101650.66
India Total;2024-08-01;Fossil;104199.24
India Total;2024-08-01;Gas;2518.73
India Total;2024-08-01;Hydro;23152.09
India Total;2024-08-01;Nuclear;5492.07
India Total;2024-08-01;Other Fossil;29.85
India Total;2024-08-01;Other Renewables;249.24
India Total;2024-08-01;Renewables;44256.95
India Total;2024-08-01;Solar;10157.52
India Total;2024-08-01;Wind;10268.88
India Total;2024-08-01;Wind and solar;20426.4
India Total;2024-09-01;Bioenergy;376.72
India Total;2024-09-01;Clean;47882.68
India Total;2024-09-01;Coal;99627.82
India Total;2024-09-01;Fossil;102151.29
India Total;2024-09-01;Gas;2493.84
India Total;2024-09-01;Hydro;22173.02
India Total;2024-09-01;Nuclear;4926.44
India Total;2024-09-01;Other Fossil;29.63
India Total;2024-09-01;Other Renewables;233.26
India Total;2024-09-01;Renewables;42956.24
India Total;2024-09-01;Solar;11302.62
India Total;2024-09-01;Wind;8870.62
India Total;2024-09-01;Wind and solar;20173.24
India Total;2024-10-01;Bioenergy;503.91
India Total;2024-10-01;Clean;36911.85
India Total;2024-10-01;Coal;111741.72
India Total;2024-10-01;Fossil;114101.72
India Total;2024-10-01;Gas;2330.48
India Total;2024-10-01;Hydro;15898.15
India Total;2024-10-01;Nuclear;4768.92
India Total;2024-10-01;Other Fossil;29.52
India Total;2024-10-01;Other Renewables;245.98
India Total;2024-10-01;Renewables;32142.93
India Total;2024-10-01;Solar;12256.61
India Total;2024-10-01;Wind;3238.28
India Total;2024-10-01;Wind and solar;15494.89
India Total;2024-11-01;Bioenergy;1302.26
India Total;2024-11-01;Clean;30187.16
India Total;2024-11-01;Coal;102767.95
India Total;2024-11-01;Fossil;104231.42
India Total;2024-11-01;Gas;1433.56
India Total;2024-11-01;Hydro;9483.05
India Total;2024-11-01;Nuclear;4809.77
India Total;2024-11-01;Other Fossil;29.91
India Total;2024-11-01;Other Renewables;236.23
India Total;2024-11-01;Renewables;25377.39
India Total;2024-11-01;Solar;11246.52
India Total;2024-11-01;Wind;3109.33
India Total;2024-11-01;Wind and solar;14355.85
India Total;2024-12-01;Bioenergy;2285.77
India Total;2024-12-01;Clean;32643.68
India Total;2024-12-01;Coal;106609.93
India Total;2024-12-01;Fossil;108241.52
India Total;2024-12-01;Gas;1599.6
India Total;2024-12-01;Hydro;8552.86
India Total;2024-12-01;Nuclear;5124.7
India Total;2024-12-01;Other Fossil;31.99
India Total;2024-12-01;Other Renewables;225.65
India Total;2024-12-01;Renewables;27518.98
India Total;2024-12-01;Solar;10707.21
India Total;2024-12-01;Wind;5747.49
India Total;2024-12-01;Wind and solar;16454.7
India Total;2025-01-01;Bioenergy;2397.47
India Total;2025-01-01;Clean;33337.67
India Total;2025-01-01;Coal;112573.8
India Total;2025-01-01;Fossil;114112.24
India Total;2025-01-01;Gas;1506.89
India Total;2025-01-01;Hydro;7999.12
India Total;2025-01-01;Nuclear;4778.41
India Total;2025-01-01;Other Fossil;31.55
India Total;2025-01-01;Other Renewables;239.24
India Total;2025-01-01;Renewables;28559.26
India Total;2025-01-01;Solar;12285.74
India Total;2025-01-01;Wind;5637.69
India Total;2025-01-01;Wind and solar;17923.43
India Total;2025-02-01;Bioenergy;1895.45
India Total;2025-02-01;Clean;31307.66
India Total;2025-02-01;Coal;108712.04
India Total;2025-02-01;Fossil;110400.13
India Total;2025-02-01;Gas;1659.05
India Total;2025-02-01;Hydro;7522.52
India Total;2025-02-01;Nuclear;4153.34
India Total;2025-02-01;Other Fossil;29.04
India Total;2025-02-01;Other Renewables;230.29
India Total;2025-02-01;Renewables;27154.32
India Total;2025-02-01;Solar;12913.58
India Total;2025-02-01;Wind;4592.48
India Total;2025-02-01;Wind and solar;17506.06
India Total;2025-03-01;Bioenergy;1332.59
India Total;2025-03-01;Clean;37256.01
India Total;2025-03-01;Coal;120840.84
India Total;2025-03-01;Fossil;122661.94
India Total;2025-03-01;Gas;1785.82
India Total;2025-03-01;Hydro;9368.74
India Total;2025-03-01;Nuclear;4719.07
India Total;2025-03-01;Other Fossil;35.28
India Total;2025-03-01;Other Renewables;248.51
India Total;2025-03-01;Renewables;32536.94
India Total;2025-03-01;Solar;16453.47
India Total;2025-03-01;Wind;5133.63
India Total;2025-03-01;Wind and solar;21587.1
India Total;2025-04-01;Bioenergy;770.4
India Total;2025-04-01;Clean;38413.4
India Total;2025-04-01;Coal;115841.39
India Total;2025-04-01;Fossil;119070.49
India Total;2025-04-01;Gas;3195.53
India Total;2025-04-01;Hydro;10303.35
India Total;2025-04-01;Nuclear;4951.45
India Total;2025-04-01;Other Fossil;33.57
India Total;2025-04-01;Other Renewables;245.67
India Total;2025-04-01;Renewables;33461.95
India Total;2025-04-01;Solar;15811.82
India Total;2025-04-01;Wind;6330.71
India Total;2025-04-01;Wind and solar;22142.53
India Total;2025-05-01;Bioenergy;599.02
India Total;2025-05-01;Clean;45006.38
India Total;2025-05-01;Coal;111280.42
India Total;2025-05-01;Fossil;114095.95
India Total;2025-05-01;Gas;2782.33
India Total;2025-05-01;Hydro;14045.51
India Total;2025-05-01;Nuclear;5137.08
India Total;2025-05-01;Other Fossil;33.2
India Total;2025-05-01;Other Renewables;252.03
India Total;2025-05-01;Renewables;39869.3
India Total;2025-05-01;Solar;14305.32
India Total;2025-05-01;Wind;10667.42
India Total;2025-05-01;Wind and solar;24972.74
India Total;2025-06-01;Bioenergy;447.07
India Total;2025-06-01;Clean;50934.45
India Total;2025-06-01;Coal;105972.24
India Total;2025-06-01;Fossil;108811.65
India Total;2025-06-01;Gas;2809.12
India Total;2025-06-01;Hydro;17946.29
India Total;2025-06-01;Nuclear;4498.01
India Total;2025-06-01;Other Fossil;30.29
India Total;2025-06-01;Other Renewables;236.06
India Total;2025-06-01;Renewables;46436.44
India Total;2025-06-01;Solar;12927.48
India Total;2025-06-01;Wind;14879.54
India Total;2025-06-01;Wind and solar;27807.02
India Total;2025-07-01;Bioenergy;1333.53
India Total;2025-07-01;Clean;59025.77
India Total;2025-07-01;Coal;103556.96
India Total;2025-07-01;Fossil;106134
India Total;2025-07-01;Gas;2545.81
India Total;2025-07-01;Hydro;23246.17
India Total;2025-07-01;Nuclear;4536.36
India Total;2025-07-01;Other Fossil;31.23
India Total;2025-07-01;Other Renewables;236.23
India Total;2025-07-01;Renewables;54489.41
India Total;2025-07-01;Solar;12100.61
India Total;2025-07-01;Wind;17572.87
India Total;2025-07-01;Wind and solar;29673.48
India Total;2025-08-01;Bioenergy;420.24
India Total;2025-08-01;Clean;55462.42
India Total;2025-08-01;Coal;102458.75
India Total;2025-08-01;Fossil;104541.85
India Total;2025-08-01;Gas;2054.73
India Total;2025-08-01;Hydro;25157.53
India Total;2025-08-01;Nuclear;4105.67
India Total;2025-08-01;Other Fossil;28.37
India Total;2025-08-01;Other Renewables;250.32
India Total;2025-08-01;Renewables;51356.75
India Total;2025-08-01;Solar;12634.94
India Total;2025-08-01;Wind;12893.72
India Total;2025-08-01;Wind and solar;25528.66
India Total;2025-09-01;Bioenergy;374.5
India Total;2025-09-01;Clean;52410.92
India Total;2025-09-01;Coal;99545.73
India Total;2025-09-01;Fossil;102013.32
India Total;2025-09-01;Gas;2440.19
India Total;2025-09-01;Hydro;23795.5
India Total;2025-09-01;Nuclear;4045.28
India Total;2025-09-01;Other Fossil;27.4
India Total;2025-09-01;Other Renewables;239.89
India Total;2025-09-01;Renewables;48365.64
India Total;2025-09-01;Solar;13556.16
India Total;2025-09-01;Wind;10399.59
India Total;2025-09-01;Wind and solar;23955.75
India Total;2025-10-01;Bioenergy;525.4
India Total;2025-10-01;Clean;42720.1
India Total;2025-10-01;Coal;96172.93
India Total;2025-10-01;Fossil;97656.54
India Total;2025-10-01;Gas;1454.48
India Total;2025-10-01;Hydro;17674.12
India Total;2025-10-01;Nuclear;4808.57
India Total;2025-10-01;Other Fossil;29.13
India Total;2025-10-01;Other Renewables;242.38
India Total;2025-10-01;Renewables;37911.53
India Total;2025-10-01;Solar;13063.14
India Total;2025-10-01;Wind;6406.49
India Total;2025-10-01;Wind and solar;19469.63
India Total;2025-11-01;Bioenergy;1766.9
India Total;2025-11-01;Clean;34268.85
India Total;2025-11-01;Coal;96125.05
India Total;2025-11-01;Fossil;97855.25
India Total;2025-11-01;Gas;1700.54
India Total;2025-11-01;Hydro;10729.17
India Total;2025-11-01;Nuclear;3860.28
India Total;2025-11-01;Other Fossil;29.66
India Total;2025-11-01;Other Renewables;243.2
India Total;2025-11-01;Renewables;30408.57
India Total;2025-11-01;Solar;13185.97
India Total;2025-11-01;Wind;4483.33
India Total;2025-11-01;Wind and solar;17669.3
