sep=;
state;date;variable;generation_gwh
India Total;2019-12-01;Other Fossil;7.62
India Total;2019-12-01;Other Renewables;29.61
India Total;2019-12-01;Renewables;19631.59
India Total;2019-12-01;Solar;3928.39
India Total;2019-12-01;Wind;3948.74
India Total;2019-12-01;Wind and solar;7877.13
India Total;2020-01-01;Bioenergy;2180.13
India Total;2020-01-01;Clean;22801.38
India Total;2020-01-01;Coal;87403.67
India Total;2020-01-01;Fossil;90803.1
India Total;2020-01-01;Gas;3392.71
India Total;2020-01-01;Hydro;9227.23
India Total;2020-01-01;Nuclear;3437.39
India Total;2020-01-01;Other Fossil;6.72
India Total;2020-01-01;Other Renewables;23.95
India Total;2020-01-01;Renewables;19363.99
India Total;2020-01-01;Solar;4612.73
India Total;2020-01-01;Wind;3319.95
India Total;2020-01-01;Wind and solar;7932.68
India Total;2020-02-01;Bioenergy;2215.67
India Total;2020-02-01;Clean;23024.8
India Total;2020-02-01;Coal;85622.78
India Total;2020-02-01;Fossil;89300.49
India Total;2020-02-01;Gas;3667.27
India Total;2020-02-01;Hydro;8998.02
India Total;2020-02-01;Nuclear;3172.9
India Total;2020-02-01;Other Fossil;10.44
India Total;2020-02-01;Other Renewables;28.68
India Total;2020-02-01;Renewables;19851.9
India Total;2020-02-01;Solar;5090.66
India Total;2020-02-01;Wind;3518.87
India Total;2020-02-01;Wind and solar;8609.53
India Total;2020-03-01;Bioenergy;1602.12
India Total;2020-03-01;Clean;24461.87
India Total;2020-03-01;Coal;78499.54
India Total;2020-03-01;Fossil;82812.39
India Total;2020-03-01;Gas;4301.69
India Total;2020-03-01;Hydro;9729.55
India Total;2020-03-01;Nuclear;4054.31
India Total;2020-03-01;Other Fossil;11.16
India Total;2020-03-01;Other Renewables;36.96
India Total;2020-03-01;Renewables;20407.56
India Total;2020-03-01;Solar;5633.32
India Total;2020-03-01;Wind;3405.61
India Total;2020-03-01;Wind and solar;9038.93
India Total;2020-04-01;Bioenergy;1158.15
India Total;2020-04-01;Clean;24693.81
India Total;2020-04-01;Coal;61936.91
India Total;2020-04-01;Fossil;66805.72
India Total;2020-04-01;Gas;4858.01
India Total;2020-04-01;Hydro;10815.01
India Total;2020-04-01;Nuclear;3860.07
India Total;2020-04-01;Other Fossil;10.8
India Total;2020-04-01;Other Renewables;33.26
India Total;2020-04-01;Renewables;20833.74
India Total;2020-04-01;Solar;5353.45
India Total;2020-04-01;Wind;3473.87
India Total;2020-04-01;Wind and solar;8827.32
India Total;2020-05-01;Bioenergy;924.79
India Total;2020-05-01;Clean;31408.3
India Total;2020-05-01;Coal;72655.32
India Total;2020-05-01;Fossil;77893.75
India Total;2020-05-01;Gas;5227.27
India Total;2020-05-01;Hydro;14793.31
India Total;2020-05-01;Nuclear;3797.54
India Total;2020-05-01;Other Fossil;11.16
India Total;2020-05-01;Other Renewables;36.47
India Total;2020-05-01;Renewables;27610.76
India Total;2020-05-01;Solar;5618.3
India Total;2020-05-01;Wind;6237.89
India Total;2020-05-01;Wind and solar;11856.19
India Total;2020-06-01;Bioenergy;482.08
India Total;2020-06-01;Clean;34802.49
India Total;2020-06-01;Coal;73055.31
India Total;2020-06-01;Fossil;78147.17
India Total;2020-06-01;Gas;5081.06
India Total;2020-06-01;Hydro;17833.2
India Total;2020-06-01;Nuclear;3764.73
India Total;2020-06-01;Other Fossil;10.8
India Total;2020-06-01;Other Renewables;123.46
India Total;2020-06-01;Renewables;31037.76
India Total;2020-06-01;Solar;4703.23
India Total;2020-06-01;Wind;7895.79
India Total;2020-06-01;Wind and solar;12599.02
