Parameter,State,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
Hydro - Generation (in MU),Punjab,157.6,463.28,434.35,575.57,684.38,508.01,357.64,309.17,379.01,277.06,272.52,229.06,227,262.34,366.16,390.89,432.81,466.33,361.5,290,279.07,291.65,277.22,265.61,177.88,439.16,451.06,499.64,619.88,456.53,397.97,304.63,373.02,379.51,295.42,325.63,131.66,339.95,339.23,450.2,356.81,479.12,428.34,364.36,397.67,359.2,277.62,411.24,286.18,561.13,560.18,507.73,577.34,521.02,369.33,328.63,341.62,346.59,391.44,332.29,335.72,502.66,565.81,570.75,505.06,437.68,401.36,316.93,360.42,288.29,267.33,195.03,119.65,272.68,449.22,471.27,482.49,344.68,287.11,263.42,316.53,160.26,237.08,305.33,229.98,276.42,449.92,399.27,544.53,466.98,366.92,330.76,378.7,309.67,342.17,304.33,217.46,319.63,442.84,688.16,649.95,541.49,355,278.41,382.23,279.95,256.51,264.79,220.66,428.66,484.14,557.94,437.77,458.19,294.86,240.94,326.44,240.02,192.56,243.93,139.58,234.77,471.73,509.91,537.3,569.53,358.64
Solar - Generation (in MU),Punjab,29.64,31.02,32.36,30.24,30.49,31.67,31.61,21.67,24.04,19.53,39.64,58.66,65.34,56.82,65.4,72.57,75.54,75.67,66.15,79.68,59.81,59.08,80.13,149.56,123.85,134.31,129.44,130.22,136.28,132.47,132.49,104.09,81.08,100.38,100.42,148.11,149.55,135.42,180.25,119.5,130.71,119.88,117.84,96.48,98.04,94.35,104.34,146.54,141.73,152.2,145.13,118.3,124.46,115.72,109.38,83.77,55.39,82.46,114.06,115.63,137.98,135.24,128.87,130.92,116.86,119.15,122.08,78.31,81.52,74.1,105.24,126.22,144.27,129.36,137.92,125.02,132.95,111.89,125.01,125.01,108.59,82.02,82.02,169.36,165.42,188.22,198.87,157.78,181.95,219.73,283.48,283.48,240.87,245.95,285.01,327.91,338.65,351.81,326.67,301.99,323.14,313.84,303.59,69.99,73.7,38.65,99.87,132.1,127.54,136.17,120.67,135.02,120.12,116.74,123.58,71,80.13,90.25,109.21,142.3,139.89,142.98,121.14,109.89,102.16,122.11,122.88
Wind - Generation (in MU),Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.54,14.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Small-Hydro - Generation (in MU),Punjab,39.54,71.26,48.68,66,52.42,55.02,54.41,32.62,27.63,20.03,15.68,6.79,8.2,28.46,56,49,58,58,50,37.11,14.19,13.77,12.43,29.65,6.78,18.81,17.46,19.03,18.51,26.39,17.38,7.27,22.47,21.91,14.5,27.11,26.09,18.2,14.65,17.1,13.02,21.34,12.59,51.28,51.22,44.02,19.03,62.68,29.92,66.28,76.89,78.45,75.63,85.01,37.74,35.31,52.68,55.5,55.5,50.47,45.37,61.41,77.56,84.79,84.48,72.93,59.1,52.76,59.36,43.97,25.97,22.63,12.94,35.57,154.59,178.35,178.16,224.39,34.75,34.75,52.71,19.05,19.05,39.06,59.17,39.26,69.28,66.09,92.29,74.72,50.06,50.06,48.76,37.34,51.56,43.89,36.25,56.38,72.8,58.97,86.77,88.58,52.86,29.59,63.08,27.14,23.44,41.11,35.69,72.45,77.48,94.72,84.75,85.32,30.73,18.36,130.83,24.27,35.73,43.68,15.63,30.22,80.87,89.26,61.49,19.18,-
Bio Power - Generation (in MU),Punjab,51.3,43.34,35.91,29.21,21.32,25.68,32.07,39.38,76.11,86.11,85.05,78.06,71.78,53.26,50.68,32.5,38.04,79.63,35.01,57.14,82.29,108.12,76.61,78.65,62.9,77.02,88.24,89.62,85.76,91.71,90.25,87.96,38.81,89.74,89.3,66.34,66.28,51,49.5,52.56,6,25.47,33.12,36.89,61.53,78.2,71.75,68.78,57.93,64.28,52.34,34.42,31.05,26.75,30.78,35.08,73.32,88.02,96.53,61.01,39.74,65.25,54.41,47.57,51.57,45.31,58.82,65.27,101.34,87.99,100.83,91.92,64.28,63.9,60.46,48.86,39.61,29.76,49.45,49.45,101.43,95.86,95.86,86.47,82.54,53.56,46.09,32.99,24.92,13.28,37.29,37.29,98.89,94.11,93.75,93.74,79.94,65.23,53.57,36.67,47.47,36.86,52.04,60.3,92.11,97.33,90.78,99.14,158.38,74.27,62.8,49.11,51.6,51.55,74.65,65.74,110.57,118.92,110.87,111.71,98.87,75.57,65.32,55.74,49.75,45.16,-
Total,Maharashtra,10651.13,11239.27,9908.33,10450.43,10300.88,10433.82,11474.82,10694.65,11095.62,10634.05,10387.47,11109.09,11215.71,11084.45,9946.73,9540.9,10214.68,10244.18,10727.32,11440,11643.38,10945.16,10227.23,12514.84,12652.97,12561.15,10800.33,10138.19,10758.4,9873.95,10428.84,11172.28,11942.74,11884.1,11023.68,13267.45,13833.03,13976.14,12394.37,12379.71,12132.22,12173.74,13009.15,12765.22,12304.05,12643.54,11179.23,13208.27,13654.44,14599.23,13494.14,12271,11331.42,10553.28,10682.55,10250.75,11965.33,11944.09,12711.81,11924.91,8536.39,9964.38,8477.4,9215.18,9205.82,9536.93,11179.63,11871.96,12952.83,13053.52,12366.81,15275.92,14242.75,12779.65,11627.97,12093.35,13396.36,11548.47,12218.61,12082.36,12774.93,12698.85,12283.45,15318.51,15279.48,15250.64,13724.57,11416.86,11583.12,11419.05,10803.82,12860.02,13888.66,13970.4,13981.77,14814.99,14100.62,14736.3,14491.43,13419.03,14274.25,13316.72,13996.35,13070.78,13141.78,14770.05,14418.59,15302,15616.8,16239.62,14130.5,13749.03,13384.01,13048.59,13371.51,13089.62,13876.65,14233.32,13573.43,15928.98,15581.37,14882.24,13979.36,13354.88,13748.55,13191.61,13081.34
Total,Telangana,3109.91,3227.73,2531.63,2925.88,3305.19,2800.07,2959.69,2999.41,3078.36,2901.95,3152.77,3686.43,3433.95,3314.45,2976.44,3082.64,3344.58,3349.17,3950.64,3671.32,3954.8,4396,4297.38,4802.84,4373.77,4260.1,3649.26,3878.74,4267.21,4617.12,5057.55,4541.67,4554.2,4478.14,4490.95,5286.46,4862.32,4825.95,4170.05,4204.86,5030.24,5159.86,5084.47,4474.33,4167.61,4860.51,4844.91,5325.94,5225.66,5294.94,4928.27,4340,5190.22,5437.36,5077.98,4669.76,4505.7,4777.31,4697.55,4504.81,3866.26,4095.57,3473.94,4697.42,4755.53,4437.6,4842.13,4511.86,5065.96,4998.99,4877.44,5663.68,5446.19,4814.4,4723.12,5176.13,6221.61,6025.22,6483.65,4737.96,4657.1,5061.76,5205.21,5970.25,5505.35,5312.21,4880.72,4122.25,5443.83,5808.46,6132.91,5248.02,5167.52,5621.32,5088.9,5846.68,5529.18,5445.85,4799.14,5000.61,5551.82,4939.75,5933.03,4911.33,5359.07,6164.82,5630.12,6401.43,5938.65,6110.56,5433.35,4819.69,5918.27,6213.23,6710.08,5317.07,5112.6,6178.86,5657.23,6657,6211.13,5714.55,5427.52,5932.97,6582.43,6456.93,5606.4
Total,Karnataka,5102.58,5074.32,4516.25,5428.39,4922.82,4426.59,4258.92,4335,4708.39,5076.52,4774.51,4990.01,4881.34,4194.93,3649.62,3656.29,4258.8,4323.96,4716.43,5088.37,4888.5,4793.29,4317.08,4886.8,4813.54,4582.34,4285.08,4708.49,4937.57,4558.94,4476.47,4714.67,4843.95,5233.54,5085.15,5897.96,5648.73,5629.98,4990.13,5221.75,5795.91,6202.35,6479.84,6040.25,6296.52,6118.87,5865.31,7124.9,6266.8,6033.08,4972.46,5401.95,5632.47,5430.34,4795.21,5247.4,6238.41,6597.14,6765.13,7422.28,5327.54,5522.01,4907.26,4685.61,5233.28,4561.27,4840.49,5199.74,5936.6,6759.97,6637.39,7780.16,7143.94,5343.81,5240.58,7040.57,7251.75,7037.57,6511.9,5483.3,6615.15,7306.59,7026.11,8566.79,7958.2,7933,7272.16,6683,6776.95,6436.51,5238.1,6226.02,6620.87,8048.2,7827.27,8170.08,7781.43,7603.25,7946.66,7322.36,8132.36,7605.49,7710.69,6787.41,7203.58,7829.85,7618.88,7927.02,7886.14,7589.62,7855.71,9494.72,8492.97,8042.18,7465.24,7488.78,8153.29,9330.9,8755.68,9626.94,8714.61,8192.56,7637.09,10910.14,8217.45,8944.38,7197.6
Total,Punjab,1318.38,1794.15,2520.07,2898.96,2686.14,2912.71,2368.12,1488.7,2029.3,2128.37,1623.2,1368.79,1924.02,2547.75,3201,2950.19,2766.25,3239.75,2462.22,1719.98,2311.12,2131.12,1813.28,1884.01,1758.58,2224.14,2182.94,3373.4,3175.42,3176.27,3029.14,2278.65,2377.17,2931.94,2386.43,3179.93,2227.68,2950.7,2848.44,3080.92,3257.7,2908.63,3247.57,2543.29,2910.66,2701.82,2043.75,2423.7,2476,2588.51,3460,3399.51,3167.24,3089.5,2225.89,1894.78,1987.6,1927.31,1608.6,926.23,558.81,902.4,2854.86,3272.21,3373.87,3254.09,1624.32,829.42,1943.82,2297.3,2243.33,2444.25,2079.03,1928.21,2994.08,3250.83,3582.02,2532.62,2628.68,1935.48,2100.3,2281.38,2612.29,3202.8,3294.46,3250.9,3672.04,3233.95,3891.18,3237.68,2693.92,2972.24,3541.5,3732.05,3044.97,3510.52,3494.58,3382.18,3688,3683.09,4472.36,3695.16,3599.41,2704.24,3195.85,3356.83,2898.95,3091.03,3484.35,4018.37,3976.34,4225.44,3463.26,3705.62,3407.12,2415.41,3071.5,2985.97,2806.07,3288.78,3285.51,3309.77,3952.8,4163.04,3565.35,3374.66,2857.88
Coal - Generation (in MU),Madhya Pradesh,6675.71,6837.47,6150.31,6604.09,6365.94,7619.4,8932.98,8345.93,8751,8161.05,8025.4,8401.4,8680.26,7986,7671.69,5958.93,4936.92,6416.48,7198.83,8598.89,8853.4,8666.5,7782.85,8332.43,8861.81,9528.71,7913.08,7851.72,8534.34,8658.54,9248.84,9553.54,9367.44,9990.82,8914.52,10156.66,10045.31,10138.75,9767.66,8820.01,9152.8,9439.91,10518.32,10271.31,10003.18,10265.11,9157.33,10701.41,10661.84,10597.64,9616.76,9283.99,8475.04,8204.33,8336.2,8965.36,10430,10565.25,10837.21,8844.65,7948.05,9568.5,8740.41,10345.82,10083.81,9847.99,11107.35,11181.42,10899.5,11464.79,10073.15,11828.97,11950.61,10450.75,9173.89,10269.8,9808.48,10180.49,10583.73,10716.81,11409.87,11017.1,11505.15,12567.72,12562.93,13026.58,12389.54,11229.95,10295.7,10045.67,9393.96,11044.65,12050.58,11827.13,10425.73,11546.05,12092.72,12135.81,11923.83,11865.53,11922.37,11656.55,12852.5,12826.2,13071.75,13647.84,11593,13091.93,13218.1,13476.91,12969.37,11069.46,10288.01,10503.71,11940.14,12417.48,12091.72,12701.92,12242.43,13197.51,12605.01,11928.55,11443.05,11563.36,11237.14,11270.4,10433.07
Oil & Gas - Generation (in MU),Madhya Pradesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hydro - Generation (in MU),Madhya Pradesh,423.97,337.91,193.07,281.87,786.5,289.74,373.19,321.73,435.55,394.81,354.66,298.31,253.74,303.3,140.53,854.68,1343.47,753.81,778.33,560.64,562.64,632.91,526.92,445.69,329.38,294.26,337.17,241.16,117.82,250.78,150.07,181.29,174.74,195.35,165.17,143.99,89.44,158.54,116.24,134.11,310.06,619.44,380.69,318.1,402.71,308.9,253.04,305.4,267.53,293.04,140.71,192.99,968.12,1280.19,943.56,448.21,404.08,441.95,408.62,492.74,424.14,406.78,632.35,273.72,499.93,1286.26,568.66,380.15,609.26,635.21,430.26,330.58,423.21,485.17,439.87,294.95,409.2,325.81,443.92,343.16,417.9,310.63,374.4,418.47,383.08,184.01,197.26,760.74,1162.29,1378.74,1018.24,402.49,400.6,459.2,692.12,270.29,154.77,227.9,398.84,784.29,1329.34,904.67,705.2,446.18,362.06,500.48,383.3,247.73,396.99,587.26,413.97,407.67,1381.2,1417.15,705.51,447.16,493,523.01,447.82,385.99,254.12,212.32,325.55,1143.16,1530.41,1454.88,944.3
Solar - Generation (in MU),Madhya Pradesh,79.82,95.71,101.48,57.31,78.18,104.17,108.9,89.63,112.2,110.65,117.19,131.05,131.28,133.94,113.11,77.45,74.24,115.43,126.46,128.09,132.87,125.37,134.53,156.83,155.65,149.03,164.36,118.75,148.76,169.34,145.49,197.22,182.48,225.45,236.74,290.25,258.07,272.84,213.48,145.46,145.45,199.1,289.78,248.6,259.86,270.17,283.69,309.99,324,339.39,299.11,234.94,214.92,201.33,268.64,277.62,269.85,309.67,362.42,394.37,391.23,412.8,303.74,313.41,242.69,421.31,342.68,324.04,322.23,336.77,376.16,414.97,404.47,401.69,336.52,292.28,256.6,280.36,371.39,211.59,293.65,328.85,388.29,441.02,422.59,419.26,340.79,276.51,234.28,265.66,321.89,309.32,264.78,300.84,351.49,331.88,327.15,365.63,303.34,253.98,252.16,250.87,341.2,282.01,319.95,289.36,395.63,643.91,482.19,548.09,497.44,390.04,417.89,438.38,649.72,648.47,631.84,736.02,795.19,888.46,913.33,596.44,556.49,479.87,504.78,541.25,474.63
Wind - Generation (in MU),Madhya Pradesh,103.83,157.54,150.66,271.42,197.85,119.55,72.74,63.5,78.17,55.98,133.41,153.8,253.81,457.2,490.14,454.98,509.29,290.72,165.1,78.71,113.92,201.31,251.73,296.27,518.58,533.73,530.21,692.5,427.98,212,145.41,143.42,260.75,155.25,155.31,364.72,453.04,628.34,698.77,606.48,653.51,433.85,159.42,119.35,240.79,221.87,289.97,322.81,414.14,607.59,536.45,657.83,497.17,261.5,158.49,123.08,298.8,260.92,264.81,345.22,347.63,605.51,450.6,331.96,522.09,216.97,215.27,210.74,214.6,263.07,189.81,345.19,364.58,505.63,559.95,622.57,550.43,256.65,144.54,273.69,281.17,233.02,265.34,289.1,481.72,722.52,592.66,424.02,432.07,363.77,236.98,138.72,261.42,346.41,186.31,300.14,442.25,506.69,723.57,415.43,695.22,423.41,258.61,194.47,286.95,169.63,405.54,428,439.77,596.75,492.8,529.59,549.8,378.13,199.15,160.45,354.48,287.32,289.1,435.5,548.69,479.6,657.83,686.28,526.98,323.72,252.5
Small-Hydro - Generation (in MU),Madhya Pradesh,9.52,6.87,4.77,3.89,14.63,11.95,8.81,12.17,15.55,15.41,9.8,5.18,3.66,3.67,4.45,15.31,26.01,30.1,24.35,28.41,28.31,25.5,19.4,15.3,8.74,4.1,6.9,10.22,12.39,12.6,8.43,16.8,16.93,12.02,7.86,7.12,3.74,4.04,4.62,11.53,15.14,17.77,10.85,19.27,21.14,14.95,11.3,11.12,10.89,10.32,4.51,7.26,25.4,38.13,31.47,24.9,27.94,27.25,27.25,14.56,12.74,11.39,14.33,21.73,32.19,42.41,27.3,30.47,30.7,26.65,15.77,16.09,12.46,7.14,13.45,13.51,23.73,33.5,21.72,21.71,25,18.47,16.97,13.78,12.38,10.53,4.46,23.56,41.3,54.75,33.83,33.17,43.84,43.28,35.68,21.19,28.2,28.66,26.73,40.08,52.73,56.1,40.93,40.57,41.13,43.11,38.09,33.27,32.42,29.19,19.42,32.05,54.79,62.6,48.82,41.41,43.92,41.84,40.45,35.28,31.71,17.18,25.56,50.92,63.99,64.41,-
Bio Power - Generation (in MU),Madhya Pradesh,9.89,12.36,9.25,9.31,11.94,13.61,11.47,7.72,9.31,16.91,6.27,10.15,10.35,9.49,10.13,6.57,8.23,8.83,8.88,11.11,14.81,10.64,6.66,9.15,8.24,5.86,4.17,6.46,5.13,2.44,5.22,7.26,7.15,12.1,24.56,28.67,24.49,7.73,6.31,2.67,0.79,4.17,3.25,6.87,21.52,27.93,32.85,24.88,13.34,2.98,3.06,1.9,0.9,1.63,3.72,1.38,25.17,27.51,26.72,21.16,2.45,3.22,2.6,3.14,2.58,2.38,3.41,9.6,23.32,27.21,20.49,24.52,6.03,2.94,2.8,2.77,2.27,2.22,4.41,5.2,21.24,33.58,29.17,29.16,20.15,14.73,3.72,3.04,3.3,2.1,3.44,6.29,27.22,35.53,40.36,28.87,21.71,10.44,11.17,8.99,5.35,8.52,8.87,11.65,25.3,35.86,33.43,29.18,26.37,26.05,17.61,5.38,4.26,10.16,13.13,14.98,34.19,37.44,34.36,24.64,24.12,23.34,10.84,6.34,4,6.63,-
Coal - Generation (in MU),Haryana,1188,1904.31,1435.77,1693.79,1531.06,1774.23,2532.75,1737.09,2140.28,2246.41,1800.3,1162.51,1577.51,1821.23,2007.82,1465.48,1230.19,1345.61,1698.75,1325,1851.04,1519.72,1014.1,999.94,1407.47,2191.76,1828.44,2319.28,2374.84,1977.28,2127.25,1693.46,2665.54,2239.22,2175.06,2756.81,2352.34,2570.61,2178.48,1771.05,1972.17,1610.53,2082.06,2017.9,2644.63,2370.14,1624.63,1643.8,1151.33,1736.41,2308.94,1691.86,1380.58,1831.96,1208.45,702.37,1081.41,1473.05,1564.5,630.99,124.81,366.16,1030.63,1293.51,354.76,2057.32,1169.69,436.21,1273.49,1965.82,1740.25,2181.93,1687.46,1072.15,1842.47,1734.84,2074.56,1912.66,2020.81,1570.27,2141.58,2449.98,1935.06,2405.59,2766.51,2940.26,3101.17,2960.94,3056.77,2690.33,2284.55,2178.6,2706.21,2944.56,2515.48,1991.3,2292.75,2069.98,2506.46,2385.25,2831.44,2535.75,2675.13,1886.24,2258.38,2724.94,1972.84,1920.99,2652.16,2686.68,2852.87,3046.91,2782.9,2624.33,2643.97,1945.18,2284.35,2359.32,2117.7,2232.19,2367.71,2250.78,2211.98,2774.67,2371.01,2293.94,1672.97
Oil & Gas - Generation (in MU),Haryana,27.86,138.83,137.4,88.35,175.53,139.02,86.22,97.43,17.72,41.99,57.22,93.07,41.85,113.11,116.2,191.64,104.93,190.01,5.28,-,30.99,15.59,117.78,106.67,-,32.88,62.2,83.1,40.45,45.17,102.26,218.77,14.05,90.2,-,148.3,149.29,78.65,6.94,24.89,-,-,8.37,2.84,50.02,126.78,74.73,74.58,-,-,0.01,42.14,60.74,106.3,0.71,-,162.22,40.19,26.03,116.82,-,84.55,224,139.94,101.19,71.31,44.52,-,-,-,98.07,138.22,97.83,-,0.07,-,11.18,-,9.88,-,-,1.34,-,-,0.2,-,2.35,-,-,0.04,-,-,-,-,-,-,7.43,10.41,52.35,0.01,25.62,23.29,18.17,-,-,-,-,-,1.07,103.67,110.63,-,-,-,-,-,-,-,-,-,24.71,21.37,47.11,29.59,11.49,11,8.86
Hydro - Generation (in MU),Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Solar - Generation (in MU),Haryana,2.02,2.23,1.62,1.31,1.32,1.39,1.4,1.18,1.15,1.15,1.18,1.42,1.51,1.52,2.03,1.46,1.77,1.96,1.93,1.59,1.58,1.5,3.26,4.15,4.51,6.69,6.44,6.46,6.1,6.29,6.46,4.71,5.29,5.53,6.28,7.93,7.26,7.27,6.09,5.73,5.96,6.09,6.63,5.45,5.8,5.16,5.29,7.65,7.18,7.64,6.4,5.57,6.26,17.48,18.04,14.01,14.77,15.85,5.58,6.36,6.45,5.77,5.84,7.44,7.08,7.49,8.9,7.43,9.34,27.68,34.78,34.78,39.72,36.5,33.66,30.77,41.88,50.57,53.04,49.26,57.37,54.17,62.87,63.04,63.04,63.04,63.04,63.04,63.04,63.04,24.7,26.07,19.64,12.02,45.23,49.3,57.14,57.14,60.08,60.08,60.08,99.28,114.02,96.9,96.9,96.9,96.9,97.49,118.98,118.98,118.98,118.98,118.98,128.66,135.36,122.22,122.22,122.22,122.22,122.22,122.22,118.98,118.98,118.98,118.98,118.98,30.65
Wind - Generation (in MU),Haryana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Small-Hydro - Generation (in MU),Haryana,27.09,26.43,85.15,133.89,129.61,97.66,56.58,92.77,114.72,124.31,51.79,52.64,42.55,42.55,22.06,26.2,29.75,30.19,27.18,18.44,14.26,14.33,10.75,13.6,20.43,20.37,19.21,21.82,25.14,27.7,27.12,17.97,8.13,5.88,4.46,12.07,13.96,-,20.43,27.8,31.12,32.13,39.27,2.79,19.24,17.22,21.41,25.46,24.2,27.19,29.97,27.4,27.04,34.22,35.46,24.15,23.16,25.04,25.04,28.08,31.33,29.59,29.39,29.47,27.79,33.45,25.14,20.96,25.26,11.88,6.16,6.16,12.8,17.71,21.59,23.73,26.29,26.29,35.42,24.95,16.29,20.6,22.3,22.16,22.16,22.16,22.16,22.16,22.16,22.16,37.81,0.64,21.73,24.36,15.47,8.93,6.36,6.36,22.91,22.91,22.91,28.04,27.03,21.14,21.14,21.14,21.14,0.97,13.72,13.72,13.72,13.72,13.72,24.76,34.58,37.34,37.34,37.34,37.34,37.34,37.34,13.72,13.72,13.72,13.72,13.72,-
Bio Power - Generation (in MU),Haryana,26.81,17.93,17,15.62,14.47,14.43,14.99,16.14,28.86,17.5,27.38,24.43,20.98,14.14,14.98,15.16,15.87,14.62,14.81,18.18,18.73,-,14.8,11.81,23.41,20.2,16.3,16.96,14.35,16.9,17.59,17.19,26.47,29.2,25.37,32.23,24.75,26.96,25.02,58.59,16.44,16.58,15.24,21.92,37.5,26.06,32.71,37.3,30.72,17.15,16.27,16.98,17.43,16.79,17.01,14.23,38.39,30.48,34.92,31.11,39.59,22.42,20.63,17,11.65,19.14,20.63,21.77,38.84,30.48,35.5,35.52,26.03,15.91,14.3,13.3,18.04,12.45,16.57,16.5,36.48,36.04,31.61,55.21,55.21,55.21,55.21,55.21,55.21,55.21,36.76,41.34,62.38,46.8,41.69,62.4,55.02,55.02,33.35,33.35,33.35,29.21,25.12,28.47,28.47,28.47,28.47,58.24,43.16,43.16,43.16,43.16,43.16,25.92,35.29,35.19,35.19,35.19,35.19,35.19,35.19,43.16,43.16,43.16,43.16,43.16,-
Coal - Generation (in MU),West Bengal,5086.25,5966.51,5521.52,5073.74,5019.18,4913.59,5022.84,4899.01,5169.5,5221.54,5105.27,5509.99,6007.86,6015.17,6329.09,6172.95,5769.95,5842.92,5978.27,5476.46,5617.88,6090.06,5949.26,6427.35,6096.74,6815.42,6167.04,5945.43,5660.93,5870.76,5151.17,5226.2,5900.4,6260.53,6279.25,7045.86,6603.27,6524.99,6304.34,6380,5788.96,5301.54,5958.29,5916.1,6060.71,6363.16,6044.19,6786.7,6801.57,7134.79,6593.31,6112.92,5575.82,5626.86,5304.85,5208.04,5671.56,5901.15,5875.93,5588.59,4426.84,4499.94,5435.71,6241.73,5797.83,6217.89,6495.95,5538.51,6373.42,6924.83,6463.69,8318.69,7730.1,6563.4,6606.33,6685.24,6348.14,6255.98,6533.4,6724.08,7510.21,7330.18,6733.63,8196.05,7557.55,7525.61,7248.64,7104.79,6899.77,6682.66,6999.45,7023.65,7036.66,7868.36,7459.28,8206.03,8155.11,7736.03,7413.93,7183.96,7218.78,7037.77,7365.47,7459.47,7111.49,7415.34,7259.4,8157.2,7884.56,7902.68,8046.59,7738.4,7309.63,7456.16,8319.28,7481.66,7626.68,7712.06,7337.53,8352.93,7747.11,7695.47,7536.66,7661.59,7422.79,7050.4,7254.65
Oil & Gas - Generation (in MU),West Bengal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hydro - Generation (in MU),West Bengal,111.7,154.16,193.46,206.11,294.55,264.01,191.67,156.63,155.77,130.16,127.67,146.98,155.33,212.72,281.22,305.03,370.36,382,370.95,200.59,153.43,130.6,126.64,150.41,189.04,226.54,279.29,170.4,96.84,201.33,319.42,223.35,156.48,153.59,126.96,135.67,154.04,241.19,305.68,394.95,415.22,361.97,268.85,180.87,161.7,177.98,129.36,128,167.95,262.85,311.66,352.18,376.53,369.06,359.44,183.77,184.79,139.96,118.83,89.36,159.5,253.98,335.98,375.88,415.74,371.9,354.25,189.15,233.19,209.22,163.93,149.57,142.51,244.06,377.16,396.48,416.77,403.28,319.22,225.02,176.44,152.87,164.04,171.96,240.05,281.07,351.84,383.07,376.67,397.36,377.06,230.35,223.82,237.63,185.91,138.9,178.2,237.78,288.82,371.15,371.05,350.68,250.91,142.72,161.45,185.78,146.24,131.71,156.77,183.87,243.19,290.7,333.66,308.89,300.04,181.19,168.99,168.75,161.98,151.67,161.36,198.93,263.64,284.5,321.35,336.33,296.9
