Parameter,State,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
Oil & Gas - Generation (in MU),Karnataka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.99,108.68,113.7,171.46,42.61,-,-,-,68.6,-
Nuclear - Generation (in MU),Karnataka,630.09,683.92,668.39,637.12,471.32,650.92,594.43,620.65,692,683.07,653.57,687.23,565.21,396.21,430.81,509.88,509.45,487.67,640.92,642.03,629.03,673.28,477.33,571.67,604.68,658.49,639.67,665.37,663.33,639.85,658.64,611.78,490.76,633.53,601.78,665.53,642.28,659.28,643.54,618.84,673.36,491.8,644.82,636.69,658.87,507.21,468.44,571.41,638.13,675.31,571,598.32,526.64,619.45,660.3,535.76,677.92,603.42,527.3,644.67,454.8,537.3,650.66,665.07,680.39,654.65,672.72,595.4,411.49,555.43,614.33,601.67,595.71,627.43,630.18,579.24,525.32,628.03,632.07,642.6,676.26,675.18,607.78,672.23,647.44,667.72,618.88,675.59,659.84,515.74,618.93,604.66,496.62,674.7,597.15,665.97,655.33,596.45,557.83,627.62,657.49,653.77,533.71,605.89,674.81,625.68,636.31,677.76,648.14,660.69,629.27,675.55,671.44,605.75,638.17,643.51,531.97,495.09,500.62,657.82,500.66,517.54,388.04,346.22,516.2,501.6,514.37
Hydro - Generation (in MU),Karnataka,992.84,771.8,491.52,963.64,1319.34,519.49,317.18,194.76,243.43,467.99,576.28,621.07,686.9,410.67,457.32,447.07,638.86,364.92,598.86,435.27,386.55,548.69,709.42,1087.82,661.02,431.4,368.57,591.92,608.34,642.7,542.64,630.25,618.52,724.04,497.16,826.82,851.84,547.55,584.66,863.35,1469.6,1255.88,1010.53,995.35,1139.62,1185.62,1113.55,1170.14,1095.11,970.81,582.82,614.21,1265.66,1515.08,1322.28,1299.77,1310.44,1271.26,1304.66,1462.19,1209.98,1271.91,1163.66,1061.57,1060.59,984.78,1021.28,923.13,957.57,898.05,884.09,1150.74,1047.68,1074.55,953.66,1122.99,1341.21,1282.12,1123.81,932.19,1022.41,1229.77,1238.67,1567.39,1391.34,1070.66,612.98,1181.38,1249.63,1280.3,1119.44,1024.03,1094.95,1055.36,1084.37,992.9,1083.31,921.46,590.62,760.42,1385.58,825.63,865.34,398.45,432.02,485.28,580.4,644.66,680.49,444.68,569.11,1152.68,1647.23,1621.24,1420.05,1211.82,1246.36,1349.12,1295.92,1417.3,1247.36,1114.36,1148.06,1677.2,1598.92,1588.32,1261.26
Solar - Generation (in MU),Karnataka,12.81,12.13,10.5,13.32,14.28,16.64,18.49,13.96,17.89,18.58,18.43,20.66,22.36,23.46,18.35,19.53,28.04,30.78,45.55,43.1,47.74,64.57,82.78,98.43,124.8,149.31,133.92,136.63,16.63,144.2,168.77,165.1,223.71,264.86,311.44,552.37,507.37,548.5,534.43,457.42,501.15,649.92,709.95,673.36,648.58,759.16,745.46,840.54,791.54,822.23,667.29,592.18,810.13,820.98,896.69,995.84,995.77,1221.55,1259.99,1347.02,1226.38,1237.04,1014,980.62,1008.36,1002.65,1152.08,1089.44,1060.68,1018.72,1141.88,1307.01,1279.47,1145.81,1170.75,933.85,940.64,1051.03,1022.38,785.91,1102.02,1181.3,1250.99,1305.3,1229.97,1321.06,1133.93,925.97,1014.75,1045.53,1120.74,1042.55,1149.15,1379.44,1331.63,1459.07,1405.5,1401.19,1259.32,1017.41,1290.57,1134.95,1334.01,1095,1181.2,1314.57,1464.92,1505.44,1436.88,1385.87,1173.58,1006.3,1148.76,1216.2,1402.96,1258.45,1084.01,1455.99,1494.59,1636.04,1542.56,1365.69,1191.49,1138.75,1162.37,1722.87,1269.19
Wind - Generation (in MU),Karnataka,209.33,401.95,789.91,913.92,655.25,346.23,172.46,303.33,322.88,270.12,194.95,217.64,265.46,497.65,766.57,933.61,939.8,680.33,320.41,306.66,359.16,341.61,353.43,293.67,420.8,727.12,1179.21,1502.2,963.74,444.66,240.67,353.79,516.24,275.05,431.18,355.63,385.25,613.35,1260.1,1895.31,1878.93,694.45,570.75,531.82,476.75,529.87,543.97,397.71,514.64,887.03,1273.47,1769.73,1654.49,1075.14,396.13,474.58,682.61,478.48,524.71,417.65,445.1,752.54,1342.06,1053.56,1691.44,687.06,505.11,670.76,801.9,600.99,528.36,532.01,477.92,924.06,1263.62,1688.59,1136.35,1270.42,366.59,506.41,468.37,459.06,416.04,514.19,403.01,1111.42,1190.49,1533.7,1317.08,893.04,427.88,524.55,611.28,644.56,531.65,779.24,496.73,739.07,1537.17,2009.22,1436.09,1197.17,505.13,574.45,721.2,633.18,591.26,509.54,505.76,1064.66,1525.52,2849.14,1490.24,1608.47,394.08,808.55,783.12,1085.67,792.97,712.16,844.7,1502.32,2384.62,3494.43,1962.87,1630.75,792.16
Small-Hydro - Generation (in MU),Karnataka,40.8,51.34,92.3,253.58,285.27,224.24,192.73,159.22,78.2,35.51,26.52,43.77,33.44,31.35,68.06,264.53,362.24,220.92,142.56,307.63,32.58,28.25,82.78,22.8,15.63,19.19,59.3,212.34,312.11,348.89,287.37,131.94,92.54,51.77,37.04,36.29,21.21,45.2,165.9,316.69,411.25,272.24,216.05,137.71,79.88,50.68,41.56,44.73,36.46,35.07,30.51,184.68,287.98,349.27,345.36,245.32,164.22,92.81,92.81,62.72,42.97,46.16,93.47,238.62,368.67,399.49,386.77,240.58,144.44,96.83,70.31,71.37,49.29,54.01,142.1,272.79,413.78,392.79,394.76,258.83,190.13,113.97,80.77,97.69,78.62,99.98,125.88,309.42,399.44,360.89,317.84,203.46,161.01,97.49,77.85,77.68,47.09,53.63,34.41,188.28,281.08,228.42,187.01,211.95,65.25,32.14,19.61,21.9,8.31,35.37,88.67,305.98,413.8,381.7,368.32,232.49,159.27,97.4,85.31,82.86,63.73,109.09,294.02,467.49,480.01,428.75,-
Bio Power - Generation (in MU),Karnataka,366.81,267.58,109.72,83.34,149.17,176.38,212.08,366.6,513.08,502.75,475.81,368.62,225.79,181.36,18.26,14.24,20.36,28.14,102.59,313.38,410.36,288.64,69.23,36.2,18.01,15.19,16.89,34.62,75.83,79.2,73.65,305.42,443.42,448.16,345.2,201.98,59,22.39,13.74,14.53,69.91,90.76,103.08,363.22,539.77,547.46,446.27,230.24,106.04,49.67,23.11,34.1,80.17,102.66,93.35,285.67,506.24,509.81,387.53,198.31,41.54,93.85,41.13,61.77,104.91,128.95,164.61,474.65,523.03,509.81,407.6,247.04,52.66,31.21,50.48,634.49,66.71,69.37,178.56,450.78,534.53,509.15,468.8,465.61,303.84,134.62,89.66,66.34,62.16,56.25,184.76,405.79,481.16,593.27,421.5,344.88,229.81,142.85,59.4,38.36,52.12,61.46,97.56,465.45,534.6,516.02,375.95,227.94,120.14,67.31,64.81,42.58,67.71,65.49,88.85,335.2,510.41,580.5,366.15,197.25,94.06,88.91,42.37,945.11,62.26,55.41,-
Coal - Generation (in MU),Punjab,1040.3,1185.25,1968.77,2197.94,1897.53,2292.33,1892.39,1085.86,1522.51,1725.64,1210.31,996.22,1551.7,2146.87,2662.76,2405.23,2161.86,2560.12,1949.56,1256.05,1875.76,1658.5,1366.89,1360.54,1387.17,1554.84,1496.74,2634.89,2314.99,2469.17,2391.05,1774.7,1861.79,2340.4,1886.79,2612.74,1854.1,2406.13,2264.81,2441.56,2751.16,2262.82,2655.68,1994.28,2302.2,2126.05,1571.01,1734.46,1960.24,1742.08,2611.1,2660.61,2358.76,2341,1678.66,1411.99,1464.59,1354.74,951.07,366.83,-,137.84,2028.21,2438.18,2615.9,2579.02,982.96,316.15,1341.18,1802.95,1743.96,2008.45,1737.89,1426.7,2191.89,2427.33,2748.81,1821.9,2132.36,1462.85,1521.04,1924.19,2178.28,2602.58,2757.35,2693.44,2907.88,2577.82,3047.49,2462.97,1956.17,2270.65,2774.28,3044.98,2272.48,2740.65,2822.28,2589.13,2792.12,2597.3,3365.03,2714.39,2835.92,2265.95,2584.73,2913.76,2428.35,2553.89,2942.08,3306.82,3231.25,3388.65,2769.02,2993.82,2883.3,2019.37,2423.53,2512.51,2357.7,2747.16,2891.54,2826.23,3213.74,3398.24,2814.65,2618.68,2376.36
Oil & Gas - Generation (in MU),Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nuclear - Generation (in MU),Punjab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
