Parameter,State,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Bio Power - Generation (in MU),Uttarakhand,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71,20.71
Coal - Generation (in MU),Uttar Pradesh,12814.55,11281.97,12816.97,13853.38,15181.78,14668.41,14708.75,13442.24,12415.46,14047.42,11359.39,12180.52,12924.97,12114.29,14440.69,14409.45,14682.23,14312.17,14503.1,13620.02,13207.29,12251.0,11560.93,14002.6
Oil & Gas - Generation (in MU),Uttar Pradesh,54.5,10.16,,207.16,321.63,280.47,54.06,97.53,110.24,54.75,22.62,50.49,28.03,17.68,2.9,129.82,104.24,135.0,75.14,45.0,103.9,27.18,41.62,86.47
Nuclear - Generation (in MU),Uttar Pradesh,182.5,310.92,327.6,309.66,311.72,293.49,309.2,310.19,300.19,317.82,315.06,332.5,336.39,288.15,205.11,224.88,154.84,142.47,159.12,159.07,153.6,223.07,249.1,336.75
Hydro - Generation (in MU),Uttar Pradesh,81.22,67.52,35.07,17.58,40.44,44.84,75.98,148.61,278.34,235.58,50.87,38.71,128.92,122.91,90.96,41.88,74.94,137.07,211.22,293.93,314.46,248.06,27.51,80.35
Solar - Generation (in MU),Uttar Pradesh,205.22,340.29,458.82,466.01,476.76,422.6,368.01,376.64,360.95,420.87,351.86,356.36,423.25614485951724,519.2746298955819,647.9304046629808,626.8035707527591,614.6596343459662,531.5844428946733,491.87298715360527,474.10544322063845,578.2271043249676,565.872404953489,577.1874277733804,514.4920121872079
Small-Hydro - Generation (in MU),Uttar Pradesh,15.68,21.8,11.73,3.22,14.37,3.82,5.76,28.13,25.46,11.03,16.5,10.33,25.03,21.78,13.56,0.3,8.13,4.32,11.54,13.51,12.6,1.63,2.92,5.76
Bio Power - Generation (in MU),Uttar Pradesh,538.74,481.08,447.93,219.71,45.02,25.66,13.54,11.41,4.39,25.42,351.29,498.37,518.27,459.31,391.33,167.63,52.7,27.71,26.33,18.21,8.64,26.18,367.61,502.9
Coal - Generation (in MU),West Bengal,7415.34,7259.4,8157.2,7884.56,7902.68,8046.59,7738.4,7309.63,7456.16,8319.28,7481.66,7626.68,7712.06,7337.53,8352.93,7747.11,7695.47,7536.66,7661.59,7422.79,7050.4,7256.28,6238.03,7468.51
Oil & Gas - Generation (in MU),West Bengal,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear - Generation (in MU),West Bengal,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),West Bengal,185.78,146.24,131.71,156.77,183.87,243.19,290.7,333.66,308.89,300.04,181.19,168.99,168.75,161.98,151.67,161.36,198.93,263.64,284.5,321.35,336.33,293.24,211.27,152.01
Solar - Generation (in MU),West Bengal,9.51,17.98,21.53,23.66,24.01,22.67,18.11,15.5,24.84,28.44,29.22,27.76,39.20694349224162,41.75129483473535,53.50590343988349,55.637091874114795,52.34027764038788,43.62128374926031,38.36969666980557,40.24335684415125,44.93894691550162,44.376783486927096,47.35592852639765,42.521994584610724
Small-Hydro - Generation (in MU),West Bengal,14.94,12.6,13.26,13.37,7.55,16.06,17.6,19.0,16.4,20.26,19.27,16.2,13.05,11.14,13.38,17.45,24.23,12.37,16.15,17.51,17.07,17.34,15.58,16.15
Bio Power - Generation (in MU),West Bengal,120.99,129.59,139.85,112.68,122.87,122.3,124.81,126.85,116.21,130.2,114.71,114.96,126.2,119.45,131.22,127.34,121.22,112.92,121.25,121.25,124.36,128.76,116.29,121.87
Total,Tripura,497.57,445.74,465.79,430.84,438.41,416.08,409.13,423.91,413.55,433.27,406.83,445.31,431.09,408.23,448.97,428.27,442.91,414.46,395.45,424.13,425.15,435.08,405.57,437.92
Total,Uttarakhand,859.21,756.5,907.63,1059.47,1569.63,1527.84,2293.83,2335.65,2455.11,1319.4,883.66,925.11,762.51,877.65,855.18,976.61,1434.19,1717.08,2366.33,2570.62,2480.22,1475.36,983.86,1072.39
Total,Uttar Pradesh,13892.41,12513.74,14098.12,15076.72,16391.72,15739.29,15535.3,14414.75,13495.03,15112.89,12467.59,13467.28,14315.41,13471.49,15709.38,15502.94,15593.63,15190.03,15381.41,14525.05,14221.7,13189.6,12673.29,15368.6
Total,West Bengal,7746.56,7565.81,8463.55,8191.04,8240.98,8450.81,8189.62,7804.64,7922.5,8798.22,7826.05,7954.59,8050.61,7662.91,8692.39,8096.83,8080.16,7957.75,8110.86,7911.93,7560.31,7727.87,6616.51,7788.59
