Year,Utility-scale solar,Onshore wind,Offshore wind
2026,359.04799121639996,185.45484799999986,20.19955199999997
2027,399.65835743279996,219.4743756800001,19.08472831999984
2028,440.26872364919996,254.59027578879977,22.13828485120007
2029,480.8790898655999,295.3247199150078,25.680410427391962
2030,521.4894560820003,371.4157806161925,32.29702440140818
